"Question Text";"Answer"
"How do you collect my information?";"Answer"
"Is my information shared with others?";"Answer"
"Why do you collect my data?";"Answer"
"Do third parties share my information with others?";"Answer"
"Do you use encryption to secure my data?";"Answer"
"How long they will keep my data?";"Answer"
"Will you let me access and edit my data?";"Answer"
"What use of information does the user choice apply to?";"Answer"
"How does the website notify about policy changes?";"Answer"
"What is the company’s policy towards children?";"Answer"
"Do they honor the user’s do not track preference?";"Answer"
