attr_data_ID,annotation_ID,attr_ID,attr_val
0,13161,0,not-selected
1,13162,0,not-selected
2,13163,0,not-selected
3,13164,0,not-selected
4,13165,0,not-selected
5,12379,0,not-selected
6,12381,0,not-selected
7,12382,0,not-selected
8,12383,0,Explicit
9,12384,0,Explicit
10,12385,0,not-selected
11,12386,0,Explicit
12,12058,0,Unspecified
13,12059,0,Unspecified
14,12060,0,Unspecified
15,12063,0,Explicit
16,12064,0,Explicit
17,12066,0,Explicit
18,13166,0,not-selected
19,13167,0,not-selected
20,13168,0,not-selected
21,13169,0,not-selected
22,13170,0,not-selected
23,13171,0,not-selected
24,12389,0,not-selected
25,12390,0,not-selected
26,12391,0,not-selected
27,12392,0,not-selected
28,12393,0,not-selected
29,12394,0,not-selected
30,12395,0,not-selected
31,12396,0,not-selected
32,12398,0,not-selected
33,11993,0,Explicit
34,11994,0,Explicit
35,11995,0,Explicit
36,13172,0,not-selected
37,12400,0,Explicit
38,11998,0,Explicit
39,11999,0,Explicit
40,13173,0,not-selected
41,12402,0,Explicit
42,12403,0,Explicit
43,13174,0,not-selected
44,13175,0,not-selected
45,12404,0,Explicit
46,12405,0,Explicit
47,12009,0,Explicit
48,12010,0,Explicit
49,13176,0,not-selected
50,13177,0,not-selected
51,13178,0,not-selected
52,13179,0,not-selected
53,12412,0,Explicit
54,12413,0,Explicit
55,12414,0,Explicit
56,12415,0,Explicit
57,12416,0,Explicit
58,12417,0,not-selected
59,12168,0,Explicit
60,12169,0,Explicit
61,13186,0,Implicit
62,13187,0,Implicit
63,13188,0,Implicit
64,12424,0,not-selected
65,12426,0,not-selected
66,12428,0,not-selected
67,12429,0,not-selected
68,12430,0,not-selected
69,12431,0,not-selected
70,12016,0,Unspecified
71,12017,0,Unspecified
72,12018,0,Unspecified
73,12020,0,Unspecified
74,12022,0,Unspecified
75,12434,0,Explicit
76,12436,0,Explicit
77,12438,0,Explicit
78,12025,0,Explicit
79,12026,0,Explicit
80,13192,0,not-selected
81,12440,0,Explicit
82,12442,0,not-selected
83,12029,0,Explicit
84,13195,0,not-selected
85,12444,0,Explicit
86,12449,0,not-selected
87,13198,0,Explicit
88,12451,0,Explicit
89,12033,0,Explicit
90,13205,0,Explicit
91,12454,0,not-selected
92,12036,0,Explicit
93,13207,0,Implicit
94,13209,0,Implicit
95,13210,0,Implicit
96,13211,0,Implicit
97,13212,0,Implicit
98,13213,0,Implicit
99,13216,0,Implicit
100,12456,0,Implicit
101,12458,0,not-selected
102,12461,0,not-selected
103,12462,0,not-selected
104,12464,0,Implicit
105,12465,0,Implicit
106,12466,0,Implicit
107,12468,0,not-selected
108,12469,0,not-selected
109,12072,0,Implicit
110,12073,0,Implicit
111,12074,0,Implicit
112,12075,0,Implicit
113,12076,0,Implicit
114,12077,0,Implicit
115,12078,0,Implicit
116,12079,0,Implicit
117,12080,0,Implicit
118,12081,0,Implicit
119,12082,0,Implicit
120,12083,0,Implicit
121,13229,0,not-selected
