site_sector_map_ID,policy_ID,sector
0,20,Regional
1,21,Regional
2,26,Regional
3,33,Regional
4,58,Regional
5,93,Regional
6,98,Regional
7,105,Regional
8,135,Regional
9,144,Regional
10,175,Regional
11,186,Regional
12,200,Regional
13,228,Regional
14,303,Regional
15,320,Regional
16,325,Regional
17,348,Regional
18,359,Regional
19,414,Regional
20,481,Regional
21,503,Regional
22,517,Regional
23,523,Regional
24,531,Regional
25,559,Regional
26,571,Regional
27,584,Regional
28,586,Regional
29,591,Regional
30,627,Regional
31,686,Regional
32,701,Regional
33,760,Regional
34,777,Regional
35,856,Regional
36,883,Regional
37,919,Regional
38,928,Regional
39,940,Regional
40,988,Regional
41,995,Regional
42,1050,Regional
43,1070,Regional
44,1089,Regional
45,1106,Regional
46,1164,Regional
47,1205,Regional
48,1224,Regional
49,1252,Regional
50,1259,Regional
51,1264,Regional
52,1300,Regional
53,1360,Regional
54,1361,Regional
55,1419,Regional
56,1539,Regional
57,1582,Regional
58,1610,Regional
59,1618,Regional
60,1637,Regional
61,1666,Regional
62,1673,Regional
63,1683,Regional
64,1694,Regional
65,20,Health
66,26,Health
67,93,Health
68,144,Health
69,186,Health
70,202,Health
71,303,Health
72,320,Health
73,517,Health
74,523,Health
75,581,Health
76,642,Health
77,686,Health
78,856,Health
79,884,Health
80,891,Health
81,898,Health
82,919,Health
83,1206,Health
84,1221,Health
85,1259,Health
86,1264,Health
87,1361,Health
88,1610,Health
89,1694,Health
90,21,Kids and Teens
91,33,Kids and Teens
92,70,Kids and Teens
93,93,Kids and Teens
94,200,Kids and Teens
95,207,Kids and Teens
96,523,Kids and Teens
97,531,Kids and Teens
98,559,Kids and Teens
99,591,Kids and Teens
100,635,Kids and Teens
101,641,Kids and Teens
102,686,Kids and Teens
103,745,Kids and Teens
104,746,Kids and Teens
105,760,Kids and Teens
106,777,Kids and Teens
107,919,Kids and Teens
108,988,Kids and Teens
109,1050,Kids and Teens
110,1083,Kids and Teens
111,1468,Kids and Teens
112,1582,Kids and Teens
113,1610,Kids and Teens
114,20,Reference
115,26,Reference
116,98,Reference
117,105,Reference
118,186,Reference
119,207,Reference
120,303,Reference
121,523,Reference
122,531,Reference
123,541,Reference
124,559,Reference
125,591,Reference
126,642,Reference
127,686,Reference
128,919,Reference
129,1206,Reference
130,1224,Reference
131,1252,Reference
132,1610,Reference
133,1636,Reference
134,1637,Reference
135,26,Home
136,32,Home
137,59,Home
138,70,Home
139,82,Home
140,105,Home
141,133,Home
142,186,Home
143,202,Home
144,523,Home
145,591,Home
146,686,Home
147,723,Home
148,745,Home
149,746,Home
150,1034,Home
151,1099,Home
152,1259,Home
153,1361,Home
154,1582,Home
155,1610,Home
156,33,Business
157,105,Business
158,133,Business
159,144,Business
160,164,Business
161,186,Business
162,320,Business
163,331,Business
164,348,Business
165,359,Business
166,503,Business
167,523,Business
168,531,Business
169,586,Business
170,591,Business
171,627,Business
172,652,Business
173,676,Business
174,686,Business
175,701,Business
176,898,Business
177,919,Business
178,928,Business
179,1050,Business
180,1106,Business
181,1259,Business
182,1261,Business
183,1306,Business
184,1582,Business
185,1694,Business
186,20,Arts
187,21,Arts
188,26,Arts
189,33,Arts
190,58,Arts
191,93,Arts
192,105,Arts
193,135,Arts
194,144,Arts
195,175,Arts
196,186,Arts
197,200,Arts
198,228,Arts
199,303,Arts
200,325,Arts
201,394,Arts
202,453,Arts
203,531,Arts
204,559,Arts
205,591,Arts
206,919,Arts
207,1034,Arts
208,1070,Arts
209,1259,Arts
210,1361,Arts
211,1545,Arts
212,1582,Arts
213,1610,Arts
214,1666,Arts
215,20,Science
216,26,Science
217,93,Science
218,105,Science
219,186,Science
220,200,Science
221,453,Science
222,531,Science
223,559,Science
224,591,Science
225,723,Science
226,760,Science
227,777,Science
228,856,Science
229,883,Science
230,919,Science
231,928,Science
232,940,Science
233,988,Science
234,1017,Science
235,1028,Science
236,1050,Science
237,1206,Science
238,1224,Science
239,1252,Science
240,1361,Science
241,1610,Science
242,20,Games
243,82,Games
244,93,Games
245,105,Games
246,133,Games
247,207,Games
248,303,Games
249,456,Games
250,591,Games
251,635,Games
252,641,Games
253,744,Games
254,856,Games
255,995,Games
256,1468,Games
257,1470,Games
258,1582,Games
259,20,Society
260,26,Society
261,58,Society
262,93,Society
263,98,Society
264,105,Society
265,186,Society
266,200,Society
267,303,Society
268,320,Society
269,325,Society
270,394,Society
271,453,Society
272,523,Society
273,531,Society
274,559,Society
275,591,Society
276,642,Society
277,686,Society
278,856,Society
279,862,Society
280,919,Society
281,928,Society
282,988,Society
283,1034,Society
284,1164,Society
285,1205,Society
286,1252,Society
287,1259,Society
288,1264,Society
289,1361,Society
290,1419,Society
291,1582,Society
292,1610,Society
293,1618,Society
294,20,Recreation
295,33,Recreation
296,59,Recreation
297,105,Recreation
298,186,Recreation
299,200,Recreation
300,303,Recreation
301,456,Recreation
302,571,Recreation
303,581,Recreation
304,591,Recreation
305,723,Recreation
306,760,Recreation
307,817,Recreation
308,919,Recreation
309,940,Recreation
310,1034,Recreation
311,1050,Recreation
312,1083,Recreation
313,1099,Recreation
314,1164,Recreation
315,1259,Recreation
316,1539,Recreation
317,1582,Recreation
318,1610,Recreation
319,20,News
320,26,News
