annotation_ID,segment_ID,category,attr_val,policy_ID,segment_text
9602,0,Other,"{""Other Type"": {""endIndexInSegment"": 25, ""startIndexInSegment"": 0, ""selectedText"": ""Amazon.com Privacy Notice"", ""value"": ""Introductory/Generic""}}",105,Amazon.com Privacy Notice  
8956,0,Other,"{""Other Type"": {""endIndexInSegment"": 25, ""startIndexInSegment"": 0, ""selectedText"": ""Amazon.com Privacy Notice"", ""value"": ""Introductory/Generic""}}",105,Amazon.com Privacy Notice  
9045,0,Other,"{""Other Type"": {""endIndexInSegment"": 25, ""startIndexInSegment"": 0, ""selectedText"": ""Amazon.com Privacy Notice"", ""value"": ""Introductory/Generic""}}",105,Amazon.com Privacy Notice  
9603,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: March 3, 2014. To see what has changed, click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""General notice in privacy policy""}}",105,"Last updated: March 3, 2014. To see what has changed, click here.  "
9608,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""General notice in privacy policy""}}",105,"Last updated: March 3, 2014. To see what has changed, click here.  "
8957,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 29, ""selectedText"": ""To see what has changed, click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 12, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated"", ""value"": ""General notice in privacy policy""}}",105,"Last updated: March 3, 2014. To see what has changed, click here.  "
8993,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 29, ""selectedText"": ""To see what has changed, click here."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 54, ""selectedText"": ""click here."", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 12, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated"", ""value"": ""General notice in privacy policy""}}",105,"Last updated: March 3, 2014. To see what has changed, click here.  "
9046,1,Other,"{""Other Type"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: March 3, 2014. To see what has changed, click here."", ""value"": ""Introductory/Generic""}}",105,"Last updated: March 3, 2014. To see what has changed, click here.  "
9605,2,Other,"{""Other Type"": {""endIndexInSegment"": 190, ""startIndexInSegment"": 149, ""selectedText"": ""This notice describes our privacy policy."", ""value"": ""Introductory/Generic""}}",105,"Amazon.com knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully and sensibly. This notice describes our privacy policy. By visiting Amazon.com, you are accepting the practices described in this Privacy Notice.     What Personal Information About Customers Does Amazon.com Gather?     What About Cookies?     Does Amazon.com Share the Information It Receives?     How Secure Is Information About Me?     What About Third-Party Advertisers and Links to Other Websites?     Which Information Can I Access?     What Choices Do I Have?     Are Children Allowed to Use Amazon.com?     Does Amazon.com Participate in the Safe Harbor Program?     Conditions of Use, Notices, and Revisions     Examples of Information Collected  "
9607,2,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 191, ""selectedText"": ""By visiting Amazon.com, you are accepting the practices described in this Privacy Notice."", ""value"": ""Unspecified""}}",105,"Amazon.com knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully and sensibly. This notice describes our privacy policy. By visiting Amazon.com, you are accepting the practices described in this Privacy Notice.     What Personal Information About Customers Does Amazon.com Gather?     What About Cookies?     Does Amazon.com Share the Information It Receives?     How Secure Is Information About Me?     What About Third-Party Advertisers and Links to Other Websites?     Which Information Can I Access?     What Choices Do I Have?     Are Children Allowed to Use Amazon.com?     Does Amazon.com Participate in the Safe Harbor Program?     Conditions of Use, Notices, and Revisions     Examples of Information Collected  "
8958,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 256, ""startIndexInSegment"": 234, ""selectedText"": ""he practices described"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 56, ""startIndexInSegment"": 35, ""selectedText"": ""information about you"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 124, ""startIndexInSegment"": 111, ""selectedText"": ""we will do so"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 170, ""startIndexInSegment"": 161, ""selectedText"": ""describes"", ""value"": ""Unspecified""}}",105,"Amazon.com knows that you care how information about you is used and shared, and we appreciate your trust that we will do so carefully and sensibly. This notice describes our privacy policy. By visiting Amazon.com, you are accepting the practices described in this Privacy Notice.     What Personal Information About Customers Does Amazon.com Gather?     What About Cookies?     Does Amazon.com Share the Information It Receives?     How Secure Is Information About Me?     What About Third-Party Advertisers and Links to Other Websites?     Which Information Can I Access?     What Choices Do I Have?     Are Children Allowed to Use Amazon.com?     Does Amazon.com Participate in the Safe Harbor Program?     Conditions of Use, Notices, and Revisions     Examples of Information Collected  "
