annotation_ID,segment_ID,category,attr_val,policy_ID,segment_text
2623,0,Other,"{""Other Type"": {""endIndexInSegment"": 250, ""startIndexInSegment"": 103, ""selectedText"": ""We take seriously your interest in how your information is collected and used. Please read the following to understand about our privacy practices."", ""value"": ""Introductory/Generic""}}",1089," Privacy Policy     Last Updated: January 3, 2013    We take seriously your interest in how your information is collected and used. Please read the following to understand about our privacy practices.  "
3549,0,Other,"{""Other Type"": {""endIndexInSegment"": 250, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy Last Updated: January 3, 2013 We take seriously your interest in how your information is collected and used. Please read the following to understand about our privacy practices."", ""value"": ""Introductory/Generic""}}",1089," Privacy Policy     Last Updated: January 3, 2013    We take seriously your interest in how your information is collected and used. Please read the following to understand about our privacy practices.  "
4054,0,Other,"{""Other Type"": {""endIndexInSegment"": 250, ""startIndexInSegment"": 103, ""selectedText"": ""We take seriously your interest in how your information is collected and used. Please read the following to understand about our privacy practices."", ""value"": ""Introductory/Generic""}}",1089," Privacy Policy     Last Updated: January 3, 2013    We take seriously your interest in how your information is collected and used. Please read the following to understand about our privacy practices.  "
2624,1,Other,"{""Other Type"": {""endIndexInSegment"": 467, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Notice discloses the privacy practices of our website, mobile site or app (the \""Site\""). Specifically, it outlines the types of information that we gather about you while you are using the Site, and the ways in which we use and share this information. This Privacy Notice does not apply to any information you may provide to us, or that we may collect, offline and/or through other means (for example, at a live event, via telephone, or through the mail)."", ""value"": ""Introductory/Generic""}}",1089,"This Privacy Notice discloses the privacy practices of our website, mobile site or app (the ""Site""). Specifically, it outlines the types of information that we gather about you while you are using the Site, and the ways in which we use and share this information. This Privacy Notice does not apply to any information you may provide to us, or that we may collect, offline and/or through other means (for example, at a live event, via telephone, or through the mail).  "
3550,1,Other,"{""Other Type"": {""endIndexInSegment"": 467, ""startIndexInSegment"": 1, ""selectedText"": ""his Privacy Notice discloses the privacy practices of our website, mobile site or app (the \""Site\""). Specifically, it outlines the types of information that we gather about you while you are using the Site, and the ways in which we use and share this information. This Privacy Notice does not apply to any information you may provide to us, or that we may collect, offline and/or through other means (for example, at a live event, via telephone, or through the mail)."", ""value"": ""Introductory/Generic""}}",1089,"This Privacy Notice discloses the privacy practices of our website, mobile site or app (the ""Site""). Specifically, it outlines the types of information that we gather about you while you are using the Site, and the ways in which we use and share this information. This Privacy Notice does not apply to any information you may provide to us, or that we may collect, offline and/or through other means (for example, at a live event, via telephone, or through the mail).  "
3994,1,Other,"{""Other Type"": {""endIndexInSegment"": 467, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Notice discloses the privacy practices of our website, mobile site or app (the \""Site\""). Specifically, it outlines the types of information that we gather about you while you are using the Site, and the ways in which we use and share this information. This Privacy Notice does not apply to any information you may provide to us, or that we may collect, offline and/or through other means (for example, at a live event, via telephone, or through the mail)."", ""value"": ""Introductory/Generic""}}",1089,"This Privacy Notice discloses the privacy practices of our website, mobile site or app (the ""Site""). Specifically, it outlines the types of information that we gather about you while you are using the Site, and the ways in which we use and share this information. This Privacy Notice does not apply to any information you may provide to us, or that we may collect, offline and/or through other means (for example, at a live event, via telephone, or through the mail).  "
2625,2,Policy Change,"{""Change Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 472, ""selectedText"": ""By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""None""}, ""Notification Type"": {""endIndexInSegment"": 400, ""startIndexInSegment"": 353, ""selectedText"": ""post the revised Privacy Notice on this website"", ""value"": ""General notice on website""}}",1089,"Please read this Privacy Notice carefully. By visiting and using the Site, you agree that your use of our Site, and any dispute over our online privacy practices, is governed by this Privacy Notice and our Terms of Service. Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the ""Last Updated"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified. Your access of the Site for the limited and exclusive purpose of reviewing this Privacy Notice does not constitute your acceptance of this Notice unless you make any further access or use of our Site.  "
2626,2,Other,"{""Other Type"": {""endIndexInSegment"": 221, ""startIndexInSegment"": 0, ""selectedText"": ""Please read this Privacy Notice carefully. By visiting and using the Site, you agree that your use of our Site, and any dispute over our online privacy practices, is governed by this Privacy Notice and our Terms of Servic"", ""value"": ""Introductory/Generic""}}",1089,"Please read this Privacy Notice carefully. By visiting and using the Site, you agree that your use of our Site, and any dispute over our online privacy practices, is governed by this Privacy Notice and our Terms of Service. Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the ""Last Updated"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified. Your access of the Site for the limited and exclusive purpose of reviewing this Privacy Notice does not constitute your acceptance of this Notice unless you make any further access or use of our Site.  "
3551,2,Policy Change,"{""Change Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 471, ""startIndexInSegment"": 348, ""selectedText"": ""e'll post the revised Privacy Notice on this website and update the \""Last Updated\"" date to reflect the date of the changes."", ""value"": ""General notice in privacy policy""}}",1089,"Please read this Privacy Notice carefully. By visiting and using the Site, you agree that your use of our Site, and any dispute over our online privacy practices, is governed by this Privacy Notice and our Terms of Service. Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the ""Last Updated"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified. Your access of the Site for the limited and exclusive purpose of reviewing this Privacy Notice does not constitute your acceptance of this Notice unless you make any further access or use of our Site.  "
3552,2,Other,"{""Other Type"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 1, ""selectedText"": ""lease read this Privacy Notice carefully. By visiting and using the Site, you agree that your use of our Site, and any dispute over our online privacy practices, is governed by this Privacy Notice and our Terms of Service."", ""value"": ""Introductory/Generic""}}",1089,"Please read this Privacy Notice carefully. By visiting and using the Site, you agree that your use of our Site, and any dispute over our online privacy practices, is governed by this Privacy Notice and our Terms of Service. Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the ""Last Updated"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified. Your access of the Site for the limited and exclusive purpose of reviewing this Privacy Notice does not constitute your acceptance of this Notice unless you make any further access or use of our Site.  "
3995,2,Policy Change,"{""Change Type"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 224, ""selectedText"": ""Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the \""Last Updated\"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 472, ""selectedText"": ""By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 400, ""startIndexInSegment"": 333, ""selectedText"": ""in which case we'll post the revised Privacy Notice on this website"", ""value"": ""General notice on website""}}",1089,"Please read this Privacy Notice carefully. By visiting and using the Site, you agree that your use of our Site, and any dispute over our online privacy practices, is governed by this Privacy Notice and our Terms of Service. Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the ""Last Updated"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified. Your access of the Site for the limited and exclusive purpose of reviewing this Privacy Notice does not constitute your acceptance of this Notice unless you make any further access or use of our Site.  "
3996,2,Policy Change,"{""Change Type"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 224, ""selectedText"": ""Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the \""Last Updated\"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 576, ""startIndexInSegment"": 472, ""selectedText"": ""By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 471, ""startIndexInSegment"": 405, ""selectedText"": ""update the \""Last Updated\"" date to reflect the date of the changes."", ""value"": ""General notice in privacy policy""}}",1089,"Please read this Privacy Notice carefully. By visiting and using the Site, you agree that your use of our Site, and any dispute over our online privacy practices, is governed by this Privacy Notice and our Terms of Service. Because the Web is an evolving medium, we may need to change our Privacy Notice at some point in the future, in which case we'll post the revised Privacy Notice on this website and update the ""Last Updated"" date to reflect the date of the changes. By continuing to use the Site after we post any such changes, you accept the Privacy Notice as modified. Your access of the Site for the limited and exclusive purpose of reviewing this Privacy Notice does not constitute your acceptance of this Notice unless you make any further access or use of our Site.  "
2627,3,International and Specific Audiences,"{""Audience Type"": {""endIndexInSegment"": 744, ""startIndexInSegment"": 60, ""selectedText"": ""California Civil Code Section 1798.83, also known as the \""Shine The Light\"" law, permits our customers who are California residents to request and obtain from us once a year, free of charge, information about the personal information (if any) we disclosed to third parties for direct marketing purposes in the preceding calendar year. If applicable, this information would include a list of the categories of personal information that was shared and the names and addresses of all third parties with which we shared information in the immediately preceding calendar year. If you are a California resident and would like to make such a request, please submit your request in writing to:"", ""value"": ""Californians""}}",1089," Your California Privacy Rights    California Civil Code Section 1798.83, also known as the ""Shine The Light"" law, permits our customers who are California residents to request and obtain from us once a year, free of charge, information about the personal information (if any) we disclosed to third parties for direct marketing purposes in the preceding calendar year. If applicable, this information would include a list of the categories of personal information that was shared and the names and addresses of all third parties with which we shared information in the immediately preceding calendar year. If you are a California resident and would like to make such a request, please submit your request in writing to:   Mark Faris   Online Privacy Coordinator   Gannett Law Department   7950 Jones Branch Drive   McLean, VA 22107  "
3553,3,Other,"{""Other Type"": {""endIndexInSegment"": 896, ""startIndexInSegment"": 756, ""selectedText"": ""ark Faris <br> <br> Online Privacy Coordinator <br> <br> Gannett Law Department <br> <br> 7950 Jones Branch Drive <br> <br> McLean, VA 22107"", ""value"": ""Privacy contact information""}}",1089," Your California Privacy Rights    California Civil Code Section 1798.83, also known as the ""Shine The Light"" law, permits our customers who are California residents to request and obtain from us once a year, free of charge, information about the personal information (if any) we disclosed to third parties for direct marketing purposes in the preceding calendar year. If applicable, this information would include a list of the categories of personal information that was shared and the names and addresses of all third parties with which we shared information in the immediately preceding calendar year. If you are a California resident and would like to make such a request, please submit your request in writing to:   Mark Faris   Online Privacy Coordinator   Gannett Law Department   7950 Jones Branch Drive   McLean, VA 22107  "
3554,3,International and Specific Audiences,"{""Audience Type"": {""endIndexInSegment"": 744, ""startIndexInSegment"": 9, ""selectedText"": ""Your California Privacy Rights California Civil Code Section 1798.83, also known as the \""Shine The Light\"" law, permits our customers who are California residents to request and obtain from us once a year, free of charge, information about the personal information (if any) we disclosed to third parties for direct marketing purposes in the preceding calendar year. If applicable, this information would include a list of the categories of personal information that was shared and the names and addresses of all third parties with which we shared information in the immediately preceding calendar year. If you are a California resident and would like to make such a request, please submit your request in writing to:"", ""value"": ""Californians""}}",1089," Your California Privacy Rights    California Civil Code Section 1798.83, also known as the ""Shine The Light"" law, permits our customers who are California residents to request and obtain from us once a year, free of charge, information about the personal information (if any) we disclosed to third parties for direct marketing purposes in the preceding calendar year. If applicable, this information would include a list of the categories of personal information that was shared and the names and addresses of all third parties with which we shared information in the immediately preceding calendar year. If you are a California resident and would like to make such a request, please submit your request in writing to:   Mark Faris   Online Privacy Coordinator   Gannett Law Department   7950 Jones Branch Drive   McLean, VA 22107  "
3997,3,Other,"{""Other Type"": {""endIndexInSegment"": 896, ""startIndexInSegment"": 755, ""selectedText"": ""Mark Faris Online Privacy Coordinator Gannett Law Department 7950 Jones Branch Drive McLean, VA 22107"", ""value"": ""Privacy contact information""}}",1089," Your California Privacy Rights    California Civil Code Section 1798.83, also known as the ""Shine The Light"" law, permits our customers who are California residents to request and obtain from us once a year, free of charge, information about the personal information (if any) we disclosed to third parties for direct marketing purposes in the preceding calendar year. If applicable, this information would include a list of the categories of personal information that was shared and the names and addresses of all third parties with which we shared information in the immediately preceding calendar year. If you are a California resident and would like to make such a request, please submit your request in writing to:   Mark Faris   Online Privacy Coordinator   Gannett Law Department   7950 Jones Branch Drive   McLean, VA 22107  "
2628,4,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 79, ""startIndexInSegment"": 72, ""selectedText"": ""Provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 169, ""startIndexInSegment"": 165, ""selectedText"": ""Site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 243, ""startIndexInSegment"": 188, ""selectedText"": ""information that can be used to contact or identify you"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 87, ""startIndexInSegment"": 84, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",1089," How We Collect Information    Information You Provide. We may collect and store information that you voluntarily supply to us while on our Site. This may include information that can be used to contact or identify you, such as your name, email address, or postal address. Some examples of this type of information include information that you electronically submit when you contact us with questions or participate in contests, surveys or sweepstakes, information that you post on blogs, discussion forums or other community posting and social networking areas on our Site, and information that you electronically submit when you complete an online registration form to access and use certain features of our Site. We also may ask for information (including a credit card number and other financial information) from those users who make purchases or have payment transactions on our Site.  "
