annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
7781,95,0,Other,"{""Other Type"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy Statement Revised May 29, 2015 Thank you for choosing Allstate. We value you, respect your privacy and work hard to protect your personal information."", ""value"": ""Introductory/Generic""}}",1106," Privacy Policy Statement     Revised May 29, 2015    Thank you for choosing Allstate. We value you, respect your privacy and work hard to protect your personal information.  "
8793,103,0,Policy Change,"{""Change Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 83, ""startIndexInSegment"": 63, ""selectedText"": ""Revised May 29, 2015"", ""value"": ""General notice in privacy policy""}}",1106," Privacy Policy Statement     Revised May 29, 2015    Thank you for choosing Allstate. We value you, respect your privacy and work hard to protect your personal information.  "
8794,103,0,Data Security,"{""Security Measure"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 104, ""selectedText"": ""Thank you for choosing Allstate. We value you, respect your privacy and work hard to protect your personal information."", ""value"": ""Generic""}}",1106," Privacy Policy Statement     Revised May 29, 2015    Thank you for choosing Allstate. We value you, respect your privacy and work hard to protect your personal information.  "
23774,123,0,Data Security,"{""Security Measure"": {""endIndexInSegment"": 223, ""startIndexInSegment"": 137, ""selectedText"": ""We value you, respect your privacy and work hard to protect your personal information."", ""value"": ""Generic""}}",1106," Privacy Policy Statement     Revised May 29, 2015    Thank you for choosing Allstate. We value you, respect your privacy and work hard to protect your personal information.  "
7782,95,1,Other,"{""Other Type"": {""endIndexInSegment"": 256, ""startIndexInSegment"": 0, ""selectedText"": ""This statement is provided on behalf of Allstate Insurance Company and the affiliates (\""Allstate\"") listed at the end of this notice. We would like to explain how we collect, use and share the information we obtain about you in the course of doing business."", ""value"": ""Introductory/Generic""}}",1106,"This statement is provided on behalf of Allstate Insurance Company and the affiliates (""Allstate"") listed at the end of this notice. We would like to explain how we collect, use and share the information we obtain about you in the course of doing business.  "
8795,103,1,Other,"{""Other Type"": {""endIndexInSegment"": 256, ""startIndexInSegment"": 0, ""selectedText"": ""This statement is provided on behalf of Allstate Insurance Company and the affiliates (\""Allstate\"") listed at the end of this notice. We would like to explain how we collect, use and share the information we obtain about you in the course of doing business."", ""value"": ""Introductory/Generic""}}",1106,"This statement is provided on behalf of Allstate Insurance Company and the affiliates (""Allstate"") listed at the end of this notice. We would like to explain how we collect, use and share the information we obtain about you in the course of doing business.  "
23775,123,1,Other,"{""Other Type"": {""endIndexInSegment"": 256, ""startIndexInSegment"": 0, ""selectedText"": ""This statement is provided on behalf of Allstate Insurance Company and the affiliates (\""Allstate\"") listed at the end of this notice. We would like to explain how we collect, use and share the information we obtain about you in the course of doing business."", ""value"": ""Introductory/Generic""}}",1106,"This statement is provided on behalf of Allstate Insurance Company and the affiliates (""Allstate"") listed at the end of this notice. We would like to explain how we collect, use and share the information we obtain about you in the course of doing business.  "
7783,95,2,Other,"{""Other Type"": {""endIndexInSegment"": 340, ""startIndexInSegment"": 0, ""selectedText"": ""The Truste certification covers: Allstate.com Miallstate.com M.allstate.com M.miallstate.com Goodhandsroadside.allstate.com Mobile application for Allstate Mobile application for Good Hands Roadside"", ""value"": ""Introductory/Generic""}}",1106,The Truste certification covers:   Allstate.com     Miallstate.com     M.allstate.com     M.miallstate.com     Goodhandsroadside.allstate.com     Mobile application for Allstate     Mobile application for Good Hands Roadside  
23776,123,2,Other,"{""Other Type"": {""endIndexInSegment"": 32, ""startIndexInSegment"": 0, ""selectedText"": ""The Truste certification covers:"", ""value"": ""Introductory/Generic""}}",1106,The Truste certification covers:   Allstate.com     Miallstate.com     M.allstate.com     M.miallstate.com     Goodhandsroadside.allstate.com     Mobile application for Allstate     Mobile application for Good Hands Roadside  
7784,95,3,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 122, ""startIndexInSegment"": 116, ""selectedText"": ""anyone"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 81, ""selectedText"": ""personal or medical information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 81, ""selectedText"": ""personal or medical information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 64, ""selectedText"": ""do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 75, ""startIndexInSegment"": 71, ""selectedText"": ""sell"", ""value"": ""Other""}}",1106," Our Privacy Assurance      We do not sell your personal or medical information to anyone.     We do not share your information with non-affiliate companies that would use it to contact you about their own products and services, unless permitted pursuant to a joint marketing agreement.     We require persons or organizations that represent or assist us in servicing your policy and claims to keep your information confidential.     We require our employees to protect your personal information and keep it confidential.  "
