annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
7902,95,0,Other,"{""Other Type"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 0, ""selectedText"": ""User Agreement and Privacy Policy"", ""value"": ""Introductory/Generic""}}",1164,User Agreement and Privacy Policy  
23999,121,0,Other,"{""Other Type"": {""selectedText"": ""User Agreement and Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 38, ""value"": ""Introductory/Generic""}}",1164,User Agreement and Privacy Policy  
7903,95,1,Other,"{""Other Type"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 0, ""selectedText"": ""Last Revised: December 23, 2013 To jump to our Privacy Policy, click here To opt-out of Third Party Tracking Technologies, click here To opt-out of Third Party Sharing, click here If you have a complaint about another user, click here Kids and parents click here"", ""value"": ""Introductory/Generic""}}",1164,"Last Revised: December 23, 2013   To jump to our Privacy Policy, click here   To opt-out of Third Party Tracking Technologies, click here   To opt-out of Third Party Sharing, click here   If you have a complaint about another user, click here   Kids and parents click here  "
9231,103,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 31, ""startIndexInSegment"": 0, ""selectedText"": ""Last Revised: December 23, 2013"", ""value"": ""General notice in privacy policy""}}",1164,"Last Revised: December 23, 2013   To jump to our Privacy Policy, click here   To opt-out of Third Party Tracking Technologies, click here   To opt-out of Third Party Sharing, click here   If you have a complaint about another user, click here   Kids and parents click here  "
24000,121,1,Other,"{""Other Type"": {""selectedText"": ""Last Revised: December 23, 2013"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 31, ""value"": ""Other""}}",1164,"Last Revised: December 23, 2013   To jump to our Privacy Policy, click here   To opt-out of Third Party Tracking Technologies, click here   To opt-out of Third Party Sharing, click here   If you have a complaint about another user, click here   Kids and parents click here  "
24001,121,1,International and Specific Audiences,"{""Audience Type"": {""selectedText"": ""Kids and parents click here"", ""startIndexInSegment"": 280, ""endIndexInSegment"": 312, ""value"": ""Children""}}",1164,"Last Revised: December 23, 2013   To jump to our Privacy Policy, click here   To opt-out of Third Party Tracking Technologies, click here   To opt-out of Third Party Sharing, click here   If you have a complaint about another user, click here   Kids and parents click here  "
24002,121,1,Other,"{""Other Type"": {""selectedText"": ""If you have a complaint about another user, click here"", ""startIndexInSegment"": 215, ""endIndexInSegment"": 274, ""value"": ""Practice not covered""}}",1164,"Last Revised: December 23, 2013   To jump to our Privacy Policy, click here   To opt-out of Third Party Tracking Technologies, click here   To opt-out of Third Party Sharing, click here   If you have a complaint about another user, click here   Kids and parents click here  "
24003,121,1,User Choice/Control,"{""Choice Type"": {""selectedText"": ""To opt-out of Third Party Sharing, click here"", ""startIndexInSegment"": 164, ""endIndexInSegment"": 209, ""value"": ""Opt-out link""}, ""Choice Scope"": {""selectedText"": ""Third Party Sharing"", ""startIndexInSegment"": 178, ""endIndexInSegment"": 197, ""value"": ""Third party sharing/collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",1164,"Last Revised: December 23, 2013   To jump to our Privacy Policy, click here   To opt-out of Third Party Tracking Technologies, click here   To opt-out of Third Party Sharing, click here   If you have a complaint about another user, click here   Kids and parents click here  "
24004,121,1,User Choice/Control,"{""Choice Type"": {""selectedText"": ""To opt-out of Third Party Tracking Technologies, click here"", ""startIndexInSegment"": 94, ""endIndexInSegment"": 153, ""value"": ""Opt-out link""}, ""Choice Scope"": {""selectedText"": ""Third Party Tracking Technologies"", ""startIndexInSegment"": 108, ""endIndexInSegment"": 141, ""value"": ""Third party sharing/collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",1164,"Last Revised: December 23, 2013   To jump to our Privacy Policy, click here   To opt-out of Third Party Tracking Technologies, click here   To opt-out of Third Party Sharing, click here   If you have a complaint about another user, click here   Kids and parents click here  "
7904,95,2,Other,"{""Other Type"": {""endIndexInSegment"": 93, ""startIndexInSegment"": 9, ""selectedText"": ""PRIVACY POLICY 1. The Type of Information the Service Collects :"", ""value"": ""Introductory/Generic""}}",1164, PRIVACY POLICY    1. The Type of Information the Service Collects :  
24005,121,2,Other,"{""Other Type"": {""selectedText"": ""PRIVACY POLICY 1. The Type of Information the Service Collects :"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 98, ""value"": ""Introductory/Generic""}}",1164, PRIVACY POLICY    1. The Type of Information the Service Collects :  
7905,95,3,Other,"{""Other Type"": {""endIndexInSegment"": 400, ""startIndexInSegment"": 0, ""selectedText"": ""A. The following Privacy Policy summarizes the various ways we treat personally identifiable and other information about you and your computer, mobile or other device when you access, visit and/or use the Service. This Privacy Policy does not cover information collected elsewhere, including without limitation offline and on sites, applications, destinations, or services linked to from the Service."", ""value"": ""Introductory/Generic""}}",1164,"A. The following Privacy Policy summarizes the various ways we treat personally identifiable and other information about you and your computer, mobile or other device when you access, visit and/or use the Service. This Privacy Policy does not cover information collected elsewhere, including without limitation offline and on sites, applications, destinations, or services linked to from the Service.  "
9232,103,3,Other,"{""Other Type"": {""endIndexInSegment"": 400, ""startIndexInSegment"": 0, ""selectedText"": ""A. The following Privacy Policy summarizes the various ways we treat personally identifiable and other information about you and your computer, mobile or other device when you access, visit and/or use the Service. This Privacy Policy does not cover information collected elsewhere, including without limitation offline and on sites, applications, destinations, or services linked to from the Service."", ""value"": ""Introductory/Generic""}}",1164,"A. The following Privacy Policy summarizes the various ways we treat personally identifiable and other information about you and your computer, mobile or other device when you access, visit and/or use the Service. This Privacy Policy does not cover information collected elsewhere, including without limitation offline and on sites, applications, destinations, or services linked to from the Service.  "
24006,121,3,Other,"{""Other Type"": {""selectedText"": ""A. The following Privacy Policy summarizes the various ways we treat personally identifiable and other information about you and your computer, mobile or other device when you access, visit and/or use the Service. This Privacy Policy does not cover information collected elsewhere, including without limitation offline and on sites, applications, destinations, or services linked to from the Service."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 405, ""value"": ""Introductory/Generic""}}",1164,"A. The following Privacy Policy summarizes the various ways we treat personally identifiable and other information about you and your computer, mobile or other device when you access, visit and/or use the Service. This Privacy Policy does not cover information collected elsewhere, including without limitation offline and on sites, applications, destinations, or services linked to from the Service.  "
7906,95,4,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 559, ""startIndexInSegment"": 493, ""selectedText"": ""credit, debit, or charge card number, or other payment information"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 678, ""startIndexInSegment"": 572, ""selectedText"": ""your name, telephone number(s), email and/or street address, and other personally identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 184, ""startIndexInSegment"": 126, ""selectedText"": ""when you enter a sweepstakes or contest, complete a survey"", ""value"": ""Additional service/feature""}}",1164,"B. The Service generally collects personally identifiable information with your specific knowledge and consent. For instance, when you enter a sweepstakes or contest, complete a survey, make a purchase, subscribe to our publication(s), register for certain services, or register and/or set up an account/profile to access, visit and/or use certain portions of the Service, or the Service as a whole, you may be provided, or required to choose, a password and/or User ID, and you may provide a credit, debit, or charge card number, or other payment information, as well as your name, telephone number(s), email and/or street address, and other personally identifiable information. Other information such as your age, gender, an avatar, and the number for your mobile or other device may also be requested. In addition, you may be asked to send us similar information via messaging (e.g., email, SMS, MMS, or other technologies). All such information shall be referred to in this Privacy Policy as your Registration Information.  "
7907,95,4,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 559, ""startIndexInSegment"": 493, ""selectedText"": ""credit, debit, or charge card number, or other payment information"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 678, ""startIndexInSegment"": 572, ""selectedText"": ""your name, telephone number(s), email and/or street address, and other personally identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 399, ""startIndexInSegment"": 186, ""selectedText"": ""make a purchase, subscribe to our publication(s), register for certain services, or register and/or set up an account/profile to access, visit and/or use certain portions of the Service, or the Service as a whole,"", ""value"": ""Basic service/feature""}}",1164,"B. The Service generally collects personally identifiable information with your specific knowledge and consent. For instance, when you enter a sweepstakes or contest, complete a survey, make a purchase, subscribe to our publication(s), register for certain services, or register and/or set up an account/profile to access, visit and/or use certain portions of the Service, or the Service as a whole, you may be provided, or required to choose, a password and/or User ID, and you may provide a credit, debit, or charge card number, or other payment information, as well as your name, telephone number(s), email and/or street address, and other personally identifiable information. Other information such as your age, gender, an avatar, and the number for your mobile or other device may also be requested. In addition, you may be asked to send us similar information via messaging (e.g., email, SMS, MMS, or other technologies). All such information shall be referred to in this Privacy Policy as your Registration Information.  "
7908,95,4,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 632, ""startIndexInSegment"": 572, ""selectedText"": ""your name, telephone number(s), email and/or street address,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 678, ""startIndexInSegment"": 572, ""selectedText"": ""your name, telephone number(s), email and/or street address, and other personally identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 184, ""startIndexInSegment"": 126, ""selectedText"": ""when you enter a sweepstakes or contest, complete a survey"", ""value"": ""Additional service/feature""}}",1164,"B. The Service generally collects personally identifiable information with your specific knowledge and consent. For instance, when you enter a sweepstakes or contest, complete a survey, make a purchase, subscribe to our publication(s), register for certain services, or register and/or set up an account/profile to access, visit and/or use certain portions of the Service, or the Service as a whole, you may be provided, or required to choose, a password and/or User ID, and you may provide a credit, debit, or charge card number, or other payment information, as well as your name, telephone number(s), email and/or street address, and other personally identifiable information. Other information such as your age, gender, an avatar, and the number for your mobile or other device may also be requested. In addition, you may be asked to send us similar information via messaging (e.g., email, SMS, MMS, or other technologies). All such information shall be referred to in this Privacy Policy as your Registration Information.  "
7909,95,4,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 632, ""startIndexInSegment"": 572, ""selectedText"": ""your name, telephone number(s), email and/or street address,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": 110, ""startIndexInSegment"": 70, ""selectedText"": ""with your specific knowledge and consent"", ""value"": ""Dont use service/feature""}, ""Identifiability"": {""endIndexInSegment"": 678, ""startIndexInSegment"": 572, ""selectedText"": ""your name, telephone number(s), email and/or street address, and other personally identifiable information"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 33, ""startIndexInSegment"": 15, ""selectedText"": ""generally collects"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 398, ""startIndexInSegment"": 186, ""selectedText"": ""make a purchase, subscribe to our publication(s), register for certain services, or register and/or set up an account/profile to access, visit and/or use certain portions of the Service, or the Service as a whole"", ""value"": ""Basic service/feature""}}",1164,"B. The Service generally collects personally identifiable information with your specific knowledge and consent. For instance, when you enter a sweepstakes or contest, complete a survey, make a purchase, subscribe to our publication(s), register for certain services, or register and/or set up an account/profile to access, visit and/or use certain portions of the Service, or the Service as a whole, you may be provided, or required to choose, a password and/or User ID, and you may provide a credit, debit, or charge card number, or other payment information, as well as your name, telephone number(s), email and/or street address, and other personally identifiable information. Other information such as your age, gender, an avatar, and the number for your mobile or other device may also be requested. In addition, you may be asked to send us similar information via messaging (e.g., email, SMS, MMS, or other technologies). All such information shall be referred to in this Privacy Policy as your Registration Information.  "
