annotation_ID,segment_ID,category,attr_val,policy_ID,segment_text
4508,0,Other,"{""Other Type"": {""endIndexInSegment"": 358, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy and Security Commitment Our Promise to You Dallas County Community College District's (DCCCD) Privacy Commitment is based on two principles. We promise to: Comply with all the applicable local, state and federal laws and regulations; and Protect your privacy while still offering relevant, personalized service."", ""value"": ""Introductory/Generic""}}",1206," Privacy and Security Commitment    Our Promise to You   Dallas County Community College District's (DCCCD) Privacy Commitment is based on two principles. We promise to: Comply with all the applicable local, state and federal laws and regulations; and Protect your privacy while still offering relevant, personalized service.  "
14472,0,Data Security,"{""Security Measure"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 285, ""selectedText"": ""Protect your privacy"", ""value"": ""Generic""}}",1206," Privacy and Security Commitment    Our Promise to You   Dallas County Community College District's (DCCCD) Privacy Commitment is based on two principles. We promise to: Comply with all the applicable local, state and federal laws and regulations; and Protect your privacy while still offering relevant, personalized service.  "
14473,0,Other,"{""Other Type"": {""endIndexInSegment"": 358, ""startIndexInSegment"": 61, ""selectedText"": ""Our Promise to You Dallas County Community College District's (DCCCD) Privacy Commitment is based on two principles. We promise to: Comply with all the applicable local, state and federal laws and regulations; and Protect your privacy while still offering relevant, personalized service."", ""value"": ""Introductory/Generic""}}",1206," Privacy and Security Commitment    Our Promise to You   Dallas County Community College District's (DCCCD) Privacy Commitment is based on two principles. We promise to: Comply with all the applicable local, state and federal laws and regulations; and Protect your privacy while still offering relevant, personalized service.  "
4509,1,Other,"{""Other Type"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 0, ""selectedText"": ""DCCCD is a public higher education institution and therefore bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA). Continue reading for more detailed information about DCCCD's Privacy and Security Commitment."", ""value"": ""Introductory/Generic""}}",1206,DCCCD is a public higher education institution and therefore bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA). Continue reading for more detailed information about DCCCD's Privacy and Security Commitment.  
7540,1,Data Security,"{""Security Measure"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 0, ""selectedText"": ""DCCCD is a public higher education institution and therefore bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA). Continue reading for more detailed information about DCCCD's Privacy and Security Commitment."", ""value"": ""Privacy review/audit""}}",1206,DCCCD is a public higher education institution and therefore bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA). Continue reading for more detailed information about DCCCD's Privacy and Security Commitment.  
14474,1,Other,"{""Other Type"": {""endIndexInSegment"": 253, ""startIndexInSegment"": 0, ""selectedText"": ""DCCCD is a public higher education institution and therefore bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA). Continue reading for more detailed information about DCCCD's Privacy and Security Commitment."", ""value"": ""Introductory/Generic""}}",1206,DCCCD is a public higher education institution and therefore bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA). Continue reading for more detailed information about DCCCD's Privacy and Security Commitment.  
14475,1,Other,"{""Other Type"": {""endIndexInSegment"": 159, ""startIndexInSegment"": 61, ""selectedText"": ""bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA)."", ""value"": ""Practice not covered""}}",1206,DCCCD is a public higher education institution and therefore bound by the Texas Public Information Act and the Family Education Rights and Privacy Act (FERPA). Continue reading for more detailed information about DCCCD's Privacy and Security Commitment.  
4510,2,Other,"{""Other Type"": {""endIndexInSegment"": 309, ""startIndexInSegment"": 9, ""selectedText"": ""Texas Public Information Act The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act."", ""value"": ""Introductory/Generic""}}",1206, Texas Public Information Act    The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act.  
7541,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 200, ""selectedText"": ""Most information kept by a public body is public under the Act."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 114, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 309, ""startIndexInSegment"": 58, ""selectedText"": ""The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act."", ""value"": ""Legal requirement""}}",1206, Texas Public Information Act    The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act.  
7542,2,Data Retention,"{""Personal Information Type"": {""endIndexInSegment"": 125, ""startIndexInSegment"": 114, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Retention Period"": {""endIndexInSegment"": 263, ""startIndexInSegment"": 200, ""selectedText"": ""Most information kept by a public body is public under the Act."", ""value"": ""Unspecified""}, ""Retention Purpose"": {""endIndexInSegment"": 309, ""startIndexInSegment"": 58, ""selectedText"": ""The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act."", ""value"": ""Legal requirement""}}",1206, Texas Public Information Act    The Texas Public Information Act requires disclosure of information by a public body -- unless the law specifically protects the information. Most information kept by a public body is public under the Act. The State Attorney General enforces this Act.  
