annotation_ID,segment_ID,category,attr_val,policy_ID,segment_text
4568,0,Other,"{""Other Type"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 9, ""selectedText"": ""Web Privacy Statement"", ""value"": ""Introductory/Generic""}}",1224, Web Privacy Statement   
7563,0,Other,"{""Other Type"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 9, ""selectedText"": ""Web Privacy Statement"", ""value"": ""Introductory/Generic""}}",1224, Web Privacy Statement   
15852,0,Other,"{""Other Type"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 9, ""selectedText"": ""Web Privacy Statement"", ""value"": ""Introductory/Generic""}}",1224, Web Privacy Statement   
4569,1,Other,"{""Other Type"": {""endIndexInSegment"": 92, ""startIndexInSegment"": 0, ""selectedText"": ""Austin Community College (ACC) is committed to ensuring the privacy of personal information."", ""value"": ""Introductory/Generic""}}",1224,"Austin Community College (ACC) is committed to ensuring the privacy of personal information. We do not actively share personal information gathered from our Web servers. However, because ACC is a public institution, some information collected from the ACC web site, including summary server log information, emails, and information collected from Web-based forms, may be subject to. This means that while we do not share or sell information unless solicited, in some cases we may be compelled by Open Records law to release information.  "
4570,1,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 138, ""startIndexInSegment"": 118, ""selectedText"": ""personal information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 138, ""startIndexInSegment"": 118, ""selectedText"": ""personal information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 102, ""startIndexInSegment"": 93, ""selectedText"": ""We do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 117, ""startIndexInSegment"": 103, ""selectedText"": ""actively share"", ""value"": ""Receive/Shared with""}}",1224,"Austin Community College (ACC) is committed to ensuring the privacy of personal information. We do not actively share personal information gathered from our Web servers. However, because ACC is a public institution, some information collected from the ACC web site, including summary server log information, emails, and information collected from Web-based forms, may be subject to. This means that while we do not share or sell information unless solicited, in some cases we may be compelled by Open Records law to release information.  "
4571,1,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 535, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law to release information"", ""value"": ""Public""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 512, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 306, ""startIndexInSegment"": 276, ""selectedText"": ""summary server log information"", ""value"": ""Computer information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 266, ""selectedText"": ""including summary server log information, emails, and information collected from Web-based forms"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 473, ""selectedText"": ""we may be compelled by Open Records law to release"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 516, ""selectedText"": ""release"", ""value"": ""Receive/Shared with""}}",1224,"Austin Community College (ACC) is committed to ensuring the privacy of personal information. We do not actively share personal information gathered from our Web servers. However, because ACC is a public institution, some information collected from the ACC web site, including summary server log information, emails, and information collected from Web-based forms, may be subject to. This means that while we do not share or sell information unless solicited, in some cases we may be compelled by Open Records law to release information.  "
4572,1,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 535, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law to release information"", ""value"": ""Public""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 512, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 314, ""startIndexInSegment"": 308, ""selectedText"": ""emails"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 266, ""selectedText"": ""including summary server log information, emails, and information collected from Web-based forms"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 473, ""selectedText"": ""we may be compelled by Open Records law to release"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 516, ""selectedText"": ""release"", ""value"": ""Receive/Shared with""}}",1224,"Austin Community College (ACC) is committed to ensuring the privacy of personal information. We do not actively share personal information gathered from our Web servers. However, because ACC is a public institution, some information collected from the ACC web site, including summary server log information, emails, and information collected from Web-based forms, may be subject to. This means that while we do not share or sell information unless solicited, in some cases we may be compelled by Open Records law to release information.  "
4573,1,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 535, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law to release information"", ""value"": ""Public""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 512, ""startIndexInSegment"": 496, ""selectedText"": ""Open Records law"", ""value"": ""Legal requirement""}, ""Personal Information Type"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 320, ""selectedText"": ""information collected from Web-based forms"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 266, ""selectedText"": ""including summary server log information, emails, and information collected from Web-based forms"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 473, ""selectedText"": ""we may be compelled by Open Records law to release"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 523, ""startIndexInSegment"": 516, ""selectedText"": ""release"", ""value"": ""Receive/Shared with""}}",1224,"Austin Community College (ACC) is committed to ensuring the privacy of personal information. We do not actively share personal information gathered from our Web servers. However, because ACC is a public institution, some information collected from the ACC web site, including summary server log information, emails, and information collected from Web-based forms, may be subject to. This means that while we do not share or sell information unless solicited, in some cases we may be compelled by Open Records law to release information.  "
7564,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 169, ""startIndexInSegment"": 139, ""selectedText"": ""gathered from our Web servers."", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 138, ""startIndexInSegment"": 118, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 102, ""startIndexInSegment"": 93, ""selectedText"": ""We do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 169, ""startIndexInSegment"": 103, ""selectedText"": ""actively share personal information gathered from our Web servers."", ""value"": ""Other""}}",1224,"Austin Community College (ACC) is committed to ensuring the privacy of personal information. We do not actively share personal information gathered from our Web servers. However, because ACC is a public institution, some information collected from the ACC web site, including summary server log information, emails, and information collected from Web-based forms, may be subject to. This means that while we do not share or sell information unless solicited, in some cases we may be compelled by Open Records law to release information.  "
7565,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 216, ""selectedText"": ""some information collected from the ACC web site,"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 362, ""startIndexInSegment"": 276, ""selectedText"": ""summary server log information, emails, and information collected from Web-based forms"", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 536, ""startIndexInSegment"": 459, ""selectedText"": ""in some cases we may be compelled by Open Records law to release information."", ""value"": ""Legal requirement""}}",1224,"Austin Community College (ACC) is committed to ensuring the privacy of personal information. We do not actively share personal information gathered from our Web servers. However, because ACC is a public institution, some information collected from the ACC web site, including summary server log information, emails, and information collected from Web-based forms, may be subject to. This means that while we do not share or sell information unless solicited, in some cases we may be compelled by Open Records law to release information.  "
