annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
18557,121,0,Other,"{""Other Type"": {""selectedText"": ""Yahoo Privacy Center"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 20, ""value"": ""Introductory/Generic""}}",1361,Yahoo Privacy Center  
16854,116,0,Other,"{""Other Type"": {""selectedText"": ""Yahoo Privacy Center"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 20, ""value"": ""Introductory/Generic""}}",1361,Yahoo Privacy Center  
18185,117,0,Other,"{""Other Type"": {""selectedText"": ""Yahoo Privacy Center"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 20, ""value"": ""Introductory/Generic""}}",1361,Yahoo Privacy Center  
18558,121,1,Other,"{""Other Type"": {""selectedText"": ""Welcome to the Yahoo Privacy Center -- take a look around. You'll learn how Yahoo treats your personal information, along with ways to control your preferences and settings. As always, Yahoo is committed to gaining your trust."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 231, ""value"": ""Introductory/Generic""}}",1361,"Welcome to the Yahoo Privacy Center -- take a look around. You'll learn how Yahoo treats your personal information, along with ways to control your preferences and settings. As always, Yahoo is committed to gaining your trust.  "
16855,116,1,Other,"{""Other Type"": {""selectedText"": ""Welcome to the Yahoo Privacy Center -- take a look around. You'll learn how Yahoo treats your personal information, along with ways to control your preferences and settings. As always, Yahoo is committed to gaining your trust."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 226, ""value"": ""Introductory/Generic""}}",1361,"Welcome to the Yahoo Privacy Center -- take a look around. You'll learn how Yahoo treats your personal information, along with ways to control your preferences and settings. As always, Yahoo is committed to gaining your trust.  "
18186,117,1,Other,"{""Other Type"": {""selectedText"": ""Welcome to the Yahoo Privacy Center -- take a look around. You'll learn how Yahoo treats your personal information, along with ways to control your preferences and settings. As always, Yahoo is committed to gaining your trust."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 226, ""value"": ""Introductory/Generic""}}",1361,"Welcome to the Yahoo Privacy Center -- take a look around. You'll learn how Yahoo treats your personal information, along with ways to control your preferences and settings. As always, Yahoo is committed to gaining your trust.  "
18559,121,2,Other,"{""Other Type"": {""selectedText"": ""WHAT THIS PRIVACY POLICY COVERS Yahoo takes your privacy seriously. Please read the following to learn more about our privacy policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 186, ""value"": ""Introductory/Generic""}}",1361," WHAT THIS PRIVACY POLICY COVERS     Yahoo takes your privacy seriously. Please read the following to learn more about our privacy policy.    The federal government and technology industry have developed practical tips to help you guard against Internet fraud, secure your computer and protect your personal information.  "
18560,121,2,Other,"{""Other Type"": {""selectedText"": ""The federal government and technology industry have developed practical tips to help you guard against Internet fraud, secure your computer and protect your personal information."", ""startIndexInSegment"": 187, ""endIndexInSegment"": 370, ""value"": ""Other""}}",1361," WHAT THIS PRIVACY POLICY COVERS     Yahoo takes your privacy seriously. Please read the following to learn more about our privacy policy.    The federal government and technology industry have developed practical tips to help you guard against Internet fraud, secure your computer and protect your personal information.  "
16856,116,2,Data Security,"{""Security Measure"": {""selectedText"": ""Yahoo takes your privacy seriously."", ""startIndexInSegment"": 70, ""endIndexInSegment"": 105, ""value"": ""Generic""}}",1361," WHAT THIS PRIVACY POLICY COVERS     Yahoo takes your privacy seriously. Please read the following to learn more about our privacy policy.    The federal government and technology industry have developed practical tips to help you guard against Internet fraud, secure your computer and protect your personal information.  "
16857,116,2,Other,"{""Other Type"": {""selectedText"": ""Please read the following to learn more about our privacy policy. </strong> <br> <br> The federal government and technology industry have developed practical tips to help you guard against Internet fraud, secure your computer and protect your personal information."", ""startIndexInSegment"": 106, ""endIndexInSegment"": 370, ""value"": ""Other""}}",1361," WHAT THIS PRIVACY POLICY COVERS     Yahoo takes your privacy seriously. Please read the following to learn more about our privacy policy.    The federal government and technology industry have developed practical tips to help you guard against Internet fraud, secure your computer and protect your personal information.  "
18187,117,2,Other,"{""Other Type"": {""selectedText"": ""Yahoo takes your privacy seriously. Please read the following to learn more about our privacy policy. The federal government and technology industry have developed practical tips to help you guard against Internet fraud, secure your computer and protect your personal information."", ""startIndexInSegment"": 61, ""endIndexInSegment"": 370, ""value"": ""Introductory/Generic""}}",1361," WHAT THIS PRIVACY POLICY COVERS     Yahoo takes your privacy seriously. Please read the following to learn more about our privacy policy.    The federal government and technology industry have developed practical tips to help you guard against Internet fraud, secure your computer and protect your personal information.  "
