annotation_ID,segment_ID,category,attr_val,policy_ID,segment_text
15594,0,Policy Change,"{""Change Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 72, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 77, ""value"": ""Unspecified""}, ""Notification Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 77, ""value"": ""General notice in privacy policy""}}",1539," PRIVACY POLICY    Last updated: March 25, 2015  "
17860,0,Other,"{""Other Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 72, ""value"": ""Introductory/Generic""}}",1539," PRIVACY POLICY    Last updated: March 25, 2015  "
14702,0,Other,"{""Other Type"": {""selectedText"": ""Last updated: March 25, 2015"", ""startIndexInSegment"": 44, ""endIndexInSegment"": 72, ""value"": ""Other""}}",1539," PRIVACY POLICY    Last updated: March 25, 2015  "
15595,1,Data Security,"{""Security Measure"": {""selectedText"": ""Groundspeak, Inc. is dedicated to protecting your privacy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 58, ""value"": ""Generic""}}",1539,"Groundspeak, Inc. is dedicated to protecting your privacy. This Privacy Policy pertains to the following services of Groundspeak: GEOCACHING.COM website and mobile applications;  SHOP.GEOCACHING.COM website;  WAYMARKING.COM website;  WHERIGO.COM website and mobile application;  GROUNDSPEAK.COM, including discussion forums  BLOG.GEOCACHING.COM website; and  MYGEOCACHINGPROFILE.COM website. "
15596,1,Other,"{""Other Type"": {""selectedText"": ""This Privacy Policy pertains to the following services of Groundspeak: GEOCACHING.COM website and mobile applications; SHOP.GEOCACHING.COM website; WAYMARKING.COM website; WHERIGO.COM website and mobile application; GROUNDSPEAK.COM, including discussion forums BLOG.GEOCACHING.COM website; and MYGEOCACHINGPROFILE.COM website."", ""startIndexInSegment"": 59, ""endIndexInSegment"": 415, ""value"": ""Introductory/Generic""}}",1539,"Groundspeak, Inc. is dedicated to protecting your privacy. This Privacy Policy pertains to the following services of Groundspeak: GEOCACHING.COM website and mobile applications;  SHOP.GEOCACHING.COM website;  WAYMARKING.COM website;  WHERIGO.COM website and mobile application;  GROUNDSPEAK.COM, including discussion forums  BLOG.GEOCACHING.COM website; and  MYGEOCACHINGPROFILE.COM website. "
17861,1,Other,"{""Other Type"": {""selectedText"": ""Groundspeak, Inc. is dedicated to protecting your privacy. This Privacy Policy pertains to the following services of Groundspeak: GEOCACHING.COM website and mobile applications; SHOP.GEOCACHING.COM website; WAYMARKING.COM website; WHERIGO.COM website and mobile application; GROUNDSPEAK.COM, including discussion forums BLOG.GEOCACHING.COM website; and MYGEOCACHINGPROFILE.COM website."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 415, ""value"": ""Introductory/Generic""}}",1539,"Groundspeak, Inc. is dedicated to protecting your privacy. This Privacy Policy pertains to the following services of Groundspeak: GEOCACHING.COM website and mobile applications;  SHOP.GEOCACHING.COM website;  WAYMARKING.COM website;  WHERIGO.COM website and mobile application;  GROUNDSPEAK.COM, including discussion forums  BLOG.GEOCACHING.COM website; and  MYGEOCACHINGPROFILE.COM website. "
14703,1,Other,"{""Other Type"": {""selectedText"": ""Groundspeak, Inc. is dedicated to protecting your privacy. This Privacy Policy pertains to the following services of Groundspeak: GEOCACHING.COM website and mobile applications; SHOP.GEOCACHING.COM website; WAYMARKING.COM website; WHERIGO.COM website and mobile application; GROUNDSPEAK.COM, including discussion forums BLOG.GEOCACHING.COM website; and MYGEOCACHINGPROFILE.COM website."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 415, ""value"": ""Introductory/Generic""}}",1539,"Groundspeak, Inc. is dedicated to protecting your privacy. This Privacy Policy pertains to the following services of Groundspeak: GEOCACHING.COM website and mobile applications;  SHOP.GEOCACHING.COM website;  WAYMARKING.COM website;  WHERIGO.COM website and mobile application;  GROUNDSPEAK.COM, including discussion forums  BLOG.GEOCACHING.COM website; and  MYGEOCACHINGPROFILE.COM website. "
15597,2,Other,"{""Other Type"": {""selectedText"": ""This Privacy Policy covers information that you give us about yourself as you use our websites, applications and other services, register to become a member or to receive information from us, or volunteer information. Our services are hosted on servers located in the United States. Our websites and applications use cookies and other common automated data collection technologies. Please see \""How We Use Cookies\"" for more information about these technologies and how you can opt out of their use."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 497, ""value"": ""Introductory/Generic""}}",1539,"This Privacy Policy covers information that you give us about yourself as you use our websites, applications and other services, register to become a member or to receive information from us, or volunteer information. Our services are hosted on servers located in the United States. Our websites and applications use cookies and other common automated data collection technologies. Please see ""How We Use Cookies"" for more information about these technologies and how you can opt out of their use.  "
17862,2,Other,"{""Other Type"": {""selectedText"": ""This Privacy Policy covers information that you give us about yourself as you use our websites, applications and other services, register to become a member or to receive information from us, or volunteer information. Our services are hosted on servers located in the United States. Our websites and applications use cookies and other common automated data collection technologies. Please see \""How We Use Cookies\"" for more information about these technologies and how you can opt out of their use."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 497, ""value"": ""Introductory/Generic""}}",1539,"This Privacy Policy covers information that you give us about yourself as you use our websites, applications and other services, register to become a member or to receive information from us, or volunteer information. Our services are hosted on servers located in the United States. Our websites and applications use cookies and other common automated data collection technologies. Please see ""How We Use Cookies"" for more information about these technologies and how you can opt out of their use.  "
14704,2,Other,"{""Other Type"": {""selectedText"": ""This Privacy Policy covers information that you give us about yourself as you use our websites, applications and other services, register to become a member or to receive information from us, or volunteer information. Our services are hosted on servers located in the United States. Our websites and applications use cookies and other common automated data collection technologies. Please see \""How We Use Cookies\"" for more information about these technologies and how you can opt out of their use."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 502, ""value"": ""Introductory/Generic""}}",1539,"This Privacy Policy covers information that you give us about yourself as you use our websites, applications and other services, register to become a member or to receive information from us, or volunteer information. Our services are hosted on servers located in the United States. Our websites and applications use cookies and other common automated data collection technologies. Please see ""How We Use Cookies"" for more information about these technologies and how you can opt out of their use.  "
15598,3,Policy Change,"{""Change Type"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""User participation""}, ""Notification Type"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""Unspecified""}}",1539,"By using any of the services above, you are accepting the practices described in our Privacy Policy.  "
17863,3,Other,"{""Other Type"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""Introductory/Generic""}}",1539,"By using any of the services above, you are accepting the practices described in our Privacy Policy.  "
14705,3,Other,"{""Other Type"": {""selectedText"": ""By using any of the services above, you are accepting the practices described in our Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 100, ""value"": ""Introductory/Generic""}}",1539,"By using any of the services above, you are accepting the practices described in our Privacy Policy.  "
15599,4,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""We receive and store any information you give us when interacting with our services or in any other way,"", ""startIndexInSegment"": 101, ""endIndexInSegment"": 205, ""value"": ""Other""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 126, ""endIndexInSegment"": 137, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""We receive and store any information you give us when interacting with our services or in any other way, including through Geocaching API-enabled third party applications or services"", ""startIndexInSegment"": 101, ""endIndexInSegment"": 283, ""value"": ""Unspecified""}}",1539," 1. WHAT INFORMATION DO WE COLLECT FROM YOU?    A. Information You Give Us. We receive and store any information you give us when interacting with our services or in any other way, including through Geocaching API-enabled third party applications or services. For example: Name and email address when registering for an account with us  Name, billing address, shipping address, phone number, email address and credit card information for purchase of Premium membership and purchases from Shop Geocaching (shop.geocaching.com).  Profile information such as your home location, your profile photo, your occupation, your address, any photo uploads, etc.  Any information required by contest or sweepstakes entries or other promotions.  Information and content you provide through the discussion forums, your geocache and trackable logs or by email to us.  Email address when you sign up to receive our newsletter or other communications from us.  Email addresses of people you know when you participate in a referral program.  Messages you send or receive through our communications services.  Information you provide in an application and resume when applying for a job with us.  Any information you choose to share with us as part of surveys you do for us (or a third party acting on our behalf) "
