annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
21008,95,0,Other,"{""Other Type"": {""selectedText"": ""Privacy Policy Tulsaworld.com's Privacy Policy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 56, ""value"": ""Introductory/Generic""}}",1673,Privacy Policy   Tulsaworld.com's Privacy Policy  
21623,118,0,Other,"{""Other Type"": {""selectedText"": ""Tulsaworld.com's Privacy Policy"", ""startIndexInSegment"": 25, ""endIndexInSegment"": 56, ""value"": ""Introductory/Generic""}}",1673,Privacy Policy   Tulsaworld.com's Privacy Policy  
18111,103,1,Other,"{""Other Type"": {""selectedText"": ""Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this \""Website\"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 279, ""value"": ""Practice not covered""}}",1673,"Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this ""Website"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy. There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party. If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage, or you may contact Tulsaworld.com as set forth at the end of this policy.  "
18131,103,1,Other,"{""Other Type"": {""selectedText"": ""There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party. If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage, or you may contact Tulsaworld.com as set forth at the end of this policy."", ""startIndexInSegment"": 280, ""endIndexInSegment"": 831, ""value"": ""Introductory/Generic""}}",1673,"Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this ""Website"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy. There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party. If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage, or you may contact Tulsaworld.com as set forth at the end of this policy.  "
21009,95,1,Other,"{""Other Type"": {""selectedText"": ""Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this \""Website\"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy. There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party. If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage, or you may contact Tulsaworld.com as set forth at the end of this policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 831, ""value"": ""Introductory/Generic""}}",1673,"Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this ""Website"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy. There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party. If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage, or you may contact Tulsaworld.com as set forth at the end of this policy.  "
21794,118,1,Other,"{""Other Type"": {""selectedText"": ""Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this \""Website\"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 279, ""value"": ""Introductory/Generic""}}",1673,"Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this ""Website"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy. There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party. If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage, or you may contact Tulsaworld.com as set forth at the end of this policy.  "
21795,118,1,Other,"{""Other Type"": {""selectedText"": ""There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party."", ""startIndexInSegment"": 280, ""endIndexInSegment"": 575, ""value"": ""Practice not covered""}}",1673,"Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this ""Website"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy. There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party. If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage, or you may contact Tulsaworld.com as set forth at the end of this policy.  "
21796,118,1,Other,"{""Other Type"": {""selectedText"": ""you may contact Tulsaworld.com as set forth at the end of this policy"", ""startIndexInSegment"": 761, ""endIndexInSegment"": 830, ""value"": ""Privacy contact information""}}",1673,"Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this ""Website"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy. There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party. If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage, or you may contact Tulsaworld.com as set forth at the end of this policy.  "
21797,118,1,Other,"{""Other Type"": {""selectedText"": ""If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage"", ""startIndexInSegment"": 576, ""endIndexInSegment"": 756, ""value"": ""Other""}}",1673,"Welcome to Tulsaworld.com, home of the Tulsa World Online Edition. References in this Privacy Policy to Tulsaworld.com or this ""Website"" include the webpages that are directly accessed through the navigation bars on Tulsaworld.com which have a direct link to this Privacy Policy. There may be some webpages or sections of Tulsaworld.com which are directly accessed through the navigation bar on Tulsaworld.com which are maintained by third parties with whom we have a business relationship. These webpages may link to a separate privacy policy maintained by that third party. If you are not sure if this privacy policy applies to any webpage directly accessed through Tulsaworld.com, you should click on the privacy policy link at the bottom of the webpage, or you may contact Tulsaworld.com as set forth at the end of this policy.  "
18132,103,2,Other,"{""Other Type"": {""selectedText"": ""We understand that privacy is very important to our visitors. We want to make sure that you understand why we collect certain information, how we use it, and how we protect it. We want our guests to feel confident that their information is handled with great care."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 269, ""value"": ""Introductory/Generic""}}",1673,"We understand that privacy is very important to our visitors. We want to make sure that you understand why we collect certain information, how we use it, and how we protect it. We want our guests to feel confident that their information is handled with great care.  "
21010,95,2,Other,"{""Other Type"": {""selectedText"": ""We understand that privacy is very important to our visitors. We want to make sure that you understand why we collect certain information, how we use it, and how we protect it. We want our guests to feel confident that their information is handled with great care."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 264, ""value"": ""Introductory/Generic""}}",1673,"We understand that privacy is very important to our visitors. We want to make sure that you understand why we collect certain information, how we use it, and how we protect it. We want our guests to feel confident that their information is handled with great care.  "
