annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
5154,84,0,Other,"{""Other Type"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy"", ""value"": ""Introductory/Generic""}}",1694,Privacy Policy  
6229,88,0,Other,"{""Other Type"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy"", ""value"": ""Introductory/Generic""}}",1694,Privacy Policy  
6942,82,0,Other,"{""Other Type"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 1, ""selectedText"": ""rivacy Policy"", ""value"": ""Introductory/Generic""}}",1694,Privacy Policy  
5155,84,1,Other,"{""Other Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: August 26, 2014"", ""value"": ""Introductory/Generic""}}",1694,"Last updated: August 26, 2014  "
6230,88,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: August 26, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: August 26, 2014"", ""value"": ""General notice in privacy policy""}}",1694,"Last updated: August 26, 2014  "
6943,82,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Last updated: August 26, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",1694,"Last updated: August 26, 2014  "
5156,84,2,Other,"{""Other Type"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 36, ""selectedText"": ""Hat World values your time, respects your privacy, and seeks to earn your trust."", ""value"": ""Introductory/Generic""}}",1694,"Our Commitment to Privacy   Hat World values your time, respects your privacy, and seeks to earn your trust.  "
6231,88,2,Other,"{""Other Type"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 4, ""selectedText"": ""Commitment to Privacy Hat World values your time, respects your privacy, and seeks to earn your trust."", ""value"": ""Introductory/Generic""}}",1694,"Our Commitment to Privacy   Hat World values your time, respects your privacy, and seeks to earn your trust.  "
6944,82,2,Other,"{""Other Type"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 0, ""selectedText"": ""Our Commitment to Privacy Hat World values your time, respects your privacy, and seeks to earn your trust."", ""value"": ""Introductory/Generic""}}",1694,"Our Commitment to Privacy   Hat World values your time, respects your privacy, and seeks to earn your trust.  "
5157,84,3,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 68, ""startIndexInSegment"": 51, ""selectedText"": ""through the Sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 10, ""startIndexInSegment"": 3, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 123, ""selectedText"": ""improve"", ""value"": ""Personalization/Customization""}}",1694,"We collect information about you in our stores and through the Sites ( lids.com, lids.ca and hatworld.com) in an effort to improve your shopping experience and to tell you about our products, services, contests and promotions. Your trust is essential to us, and we are not in the business of selling or renting information about our customers to others. As described in this policy, we may share your information among our brands and, under certain circumstances, with third parties that provide services on our behalf or with whom we have partnered to offer a particular product or service.  "
5158,84,3,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 484, ""startIndexInSegment"": 469, ""selectedText"": ""third parties t"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 591, ""startIndexInSegment"": 550, ""selectedText"": ""to offer a particular product or service."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 389, ""startIndexInSegment"": 386, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 395, ""startIndexInSegment"": 390, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",1694,"We collect information about you in our stores and through the Sites ( lids.com, lids.ca and hatworld.com) in an effort to improve your shopping experience and to tell you about our products, services, contests and promotions. Your trust is essential to us, and we are not in the business of selling or renting information about our customers to others. As described in this policy, we may share your information among our brands and, under certain circumstances, with third parties that provide services on our behalf or with whom we have partnered to offer a particular product or service.  "
6232,88,3,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 354, ""selectedText"": ""As described in this policy, we may share your information among our brands"", ""value"": ""Other part of company/affiliate""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 354, ""selectedText"": ""As described in this policy, we may share your information among our brands"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 429, ""startIndexInSegment"": 354, ""selectedText"": ""As described in this policy, we may share your information among our brands"", ""value"": ""Receive/Shared with""}}",1694,"We collect information about you in our stores and through the Sites ( lids.com, lids.ca and hatworld.com) in an effort to improve your shopping experience and to tell you about our products, services, contests and promotions. Your trust is essential to us, and we are not in the business of selling or renting information about our customers to others. As described in this policy, we may share your information among our brands and, under certain circumstances, with third parties that provide services on our behalf or with whom we have partnered to offer a particular product or service.  "
