annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
2441,84,0,Other,"{""Other Type"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 44, ""selectedText"": ""PLEASE READ THIS PRIVACY POLICY (THIS \""PRIVACY POLICY\"") CAREFULLY BEFORE USING OUR WEBSITE, APPLICATIONS OR ANY OTHER MLB ADVANCED MEDIA, L.P. PRODUCT OR SERVICE."", ""value"": ""Introductory/Generic""}}",175," Privacy Policy    PLEASE READ THIS PRIVACY POLICY (THIS ""PRIVACY POLICY"") CAREFULLY BEFORE USING OUR WEBSITE, APPLICATIONS OR ANY OTHER MLB ADVANCED MEDIA, L.P. PRODUCT OR SERVICE.  "
3367,82,0,Other,"{""Other Type"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 44, ""selectedText"": ""PLEASE READ THIS PRIVACY POLICY (THIS \""PRIVACY POLICY\"") CAREFULLY BEFORE USING OUR WEBSITE, APPLICATIONS OR ANY OTHER MLB ADVANCED MEDIA, L.P. PRODUCT OR SERVICE."", ""value"": ""Introductory/Generic""}}",175," Privacy Policy    PLEASE READ THIS PRIVACY POLICY (THIS ""PRIVACY POLICY"") CAREFULLY BEFORE USING OUR WEBSITE, APPLICATIONS OR ANY OTHER MLB ADVANCED MEDIA, L.P. PRODUCT OR SERVICE.  "
3417,88,0,Other,"{""Other Type"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 44, ""selectedText"": ""PLEASE READ THIS PRIVACY POLICY (THIS \""PRIVACY POLICY\"") CAREFULLY BEFORE USING OUR WEBSITE, APPLICATIONS OR ANY OTHER MLB ADVANCED MEDIA, L.P. PRODUCT OR SERVICE."", ""value"": ""Introductory/Generic""}}",175," Privacy Policy    PLEASE READ THIS PRIVACY POLICY (THIS ""PRIVACY POLICY"") CAREFULLY BEFORE USING OUR WEBSITE, APPLICATIONS OR ANY OTHER MLB ADVANCED MEDIA, L.P. PRODUCT OR SERVICE.  "
2442,84,1,Other,"{""Other Type"": {""endIndexInSegment"": 1069, ""startIndexInSegment"": 0, ""selectedText"": ""MLB Advanced Media, L.P. is the organization that produces and publishes the Official Website of Major League Baseball, which encompasses MLB.com, the Official Websites of the thirty (30) Major League Baseball (\""MLB\"") Clubs, the Official Websites of certain other MLB-related properties (collectively, this \""Website\""), downloadable mobile applications (e.g. MLB.com At Bat, MLB.com At the Ballpark) available from third party application storefronts (\""Application(s)\""\""), mobile games available from third party application storefronts (e.g. MLB.com Beat the Streak, MLB.com) (\""Mobile Games\"") and games and other applications available from third party social media locations and gaming websites (\""Social Games\""). This Privacy Policy is applicable to this Website, the Applications, Mobile Games and the Social Games, all of which will be called \""Services\"" throughout this Privacy Policy, and describes what information we collect, how we may use that information and the choices we offer for you to manage the information we collect related to your use of our Services."", ""value"": ""Introductory/Generic""}}",175,"MLB Advanced Media, L.P. is the organization that produces and publishes the Official Website of Major League Baseball, which encompasses MLB.com, the Official Websites of the thirty (30) Major League Baseball (""MLB"") Clubs, the Official Websites of certain other MLB-related properties (collectively, this ""Website""), downloadable mobile applications (e.g. MLB.com At Bat, MLB.com At the Ballpark) available from third party application storefronts (""Application(s)""""), mobile games available from third party application storefronts (e.g. MLB.com Beat the Streak, MLB.com) (""Mobile Games"") and games and other applications available from third party social media locations and gaming websites (""Social Games""). This Privacy Policy is applicable to this Website, the Applications, Mobile Games and the Social Games, all of which will be called ""Services"" throughout this Privacy Policy, and describes what information we collect, how we may use that information and the choices we offer for you to manage the information we collect related to your use of our Services.     Personal Information Collected Via Our Services     How We Use and Share Your Personal Information     Additional Information About Collection of Location Data     Additional Information About Our Access to Your Contacts     Other Information Collected And Shared Within Our Services.     Other Circumstances When Your Data May Be Shared     Managing Your Information     Other Information  "
3368,82,1,Other,"{""Other Type"": {""endIndexInSegment"": 1605, ""startIndexInSegment"": 0, ""selectedText"": ""MLB Advanced Media, L.P. is the organization that produces and publishes the Official Website of Major League Baseball, which encompasses MLB.com, the Official Websites of the thirty (30) Major League Baseball (\""MLB\"") Clubs, the Official Websites of certain other MLB-related properties (collectively, this \""Website\""), downloadable mobile applications (e.g. MLB.com At Bat, MLB.com At the Ballpark) available from third party application storefronts (\""Application(s)\""\""), mobile games available from third party application storefronts (e.g. MLB.com Beat the Streak, MLB.com) (\""Mobile Games\"") and games and other applications available from third party social media locations and gaming websites (\""Social Games\""). This Privacy Policy is applicable to this Website, the Applications, Mobile Games and the Social Games, all of which will be called \""Services\"" throughout this Privacy Policy, and describes what information we collect, how we may use that information and the choices we offer for you to manage the information we collect related to your use of our Services. Personal Information Collected Via Our Services How We Use and Share Your Personal Information Additional Information About Collection of Location Data Additional Information About Our Access to Your Contacts Other Information Collected And Shared Within Our Services. Other Circumstances When Your Data May Be Shared Managing Your Information Other Information"", ""value"": ""Introductory/Generic""}}",175,"MLB Advanced Media, L.P. is the organization that produces and publishes the Official Website of Major League Baseball, which encompasses MLB.com, the Official Websites of the thirty (30) Major League Baseball (""MLB"") Clubs, the Official Websites of certain other MLB-related properties (collectively, this ""Website""), downloadable mobile applications (e.g. MLB.com At Bat, MLB.com At the Ballpark) available from third party application storefronts (""Application(s)""""), mobile games available from third party application storefronts (e.g. MLB.com Beat the Streak, MLB.com) (""Mobile Games"") and games and other applications available from third party social media locations and gaming websites (""Social Games""). This Privacy Policy is applicable to this Website, the Applications, Mobile Games and the Social Games, all of which will be called ""Services"" throughout this Privacy Policy, and describes what information we collect, how we may use that information and the choices we offer for you to manage the information we collect related to your use of our Services.     Personal Information Collected Via Our Services     How We Use and Share Your Personal Information     Additional Information About Collection of Location Data     Additional Information About Our Access to Your Contacts     Other Information Collected And Shared Within Our Services.     Other Circumstances When Your Data May Be Shared     Managing Your Information     Other Information  "
3418,88,1,Other,"{""Other Type"": {""endIndexInSegment"": 1069, ""startIndexInSegment"": 0, ""selectedText"": ""MLB Advanced Media, L.P. is the organization that produces and publishes the Official Website of Major League Baseball, which encompasses MLB.com, the Official Websites of the thirty (30) Major League Baseball (\""MLB\"") Clubs, the Official Websites of certain other MLB-related properties (collectively, this \""Website\""), downloadable mobile applications (e.g. MLB.com At Bat, MLB.com At the Ballpark) available from third party application storefronts (\""Application(s)\""\""), mobile games available from third party application storefronts (e.g. MLB.com Beat the Streak, MLB.com) (\""Mobile Games\"") and games and other applications available from third party social media locations and gaming websites (\""Social Games\""). This Privacy Policy is applicable to this Website, the Applications, Mobile Games and the Social Games, all of which will be called \""Services\"" throughout this Privacy Policy, and describes what information we collect, how we may use that information and the choices we offer for you to manage the information we collect related to your use of our Services."", ""value"": ""Introductory/Generic""}}",175,"MLB Advanced Media, L.P. is the organization that produces and publishes the Official Website of Major League Baseball, which encompasses MLB.com, the Official Websites of the thirty (30) Major League Baseball (""MLB"") Clubs, the Official Websites of certain other MLB-related properties (collectively, this ""Website""), downloadable mobile applications (e.g. MLB.com At Bat, MLB.com At the Ballpark) available from third party application storefronts (""Application(s)""""), mobile games available from third party application storefronts (e.g. MLB.com Beat the Streak, MLB.com) (""Mobile Games"") and games and other applications available from third party social media locations and gaming websites (""Social Games""). This Privacy Policy is applicable to this Website, the Applications, Mobile Games and the Social Games, all of which will be called ""Services"" throughout this Privacy Policy, and describes what information we collect, how we may use that information and the choices we offer for you to manage the information we collect related to your use of our Services.     Personal Information Collected Via Our Services     How We Use and Share Your Personal Information     Additional Information About Collection of Location Data     Additional Information About Our Access to Your Contacts     Other Information Collected And Shared Within Our Services.     Other Circumstances When Your Data May Be Shared     Managing Your Information     Other Information  "
2443,84,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 174, ""startIndexInSegment"": 162, ""selectedText"": ""our Services"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 635, ""startIndexInSegment"": 620, ""selectedText"": ""not limited to:"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 335, ""startIndexInSegment"": 330, ""selectedText"": ""share"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",175," Personal Information Collected Via Our Services     Information You Provide.  You may visit and enjoy many elements of our Services without disclosing any personal information about yourself. However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly. When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:     Full name,     Email address,     Password,     Street address,     Telephone number(s),     Birth date,     Payment card information,     Location data,     Contacts (as stored in your wireless device),     Other personal data as detailed in this Privacy Policy and data that may be requested from and provided by you.  "
2444,84,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 174, ""startIndexInSegment"": 162, ""selectedText"": ""our Services"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 666, ""startIndexInSegment"": 656, ""selectedText"": ""Full name,"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 335, ""startIndexInSegment"": 330, ""selectedText"": ""share"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",175," Personal Information Collected Via Our Services     Information You Provide.  You may visit and enjoy many elements of our Services without disclosing any personal information about yourself. However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly. When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:     Full name,     Email address,     Password,     Street address,     Telephone number(s),     Birth date,     Payment card information,     Location data,     Contacts (as stored in your wireless device),     Other personal data as detailed in this Privacy Policy and data that may be requested from and provided by you.  "
2445,84,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 174, ""startIndexInSegment"": 162, ""selectedText"": ""our Services"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 773, ""startIndexInSegment"": 758, ""selectedText"": ""Street address,"", ""value"": ""Location""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 335, ""startIndexInSegment"": 330, ""selectedText"": ""share"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",175," Personal Information Collected Via Our Services     Information You Provide.  You may visit and enjoy many elements of our Services without disclosing any personal information about yourself. However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly. When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:     Full name,     Email address,     Password,     Street address,     Telephone number(s),     Birth date,     Payment card information,     Location data,     Contacts (as stored in your wireless device),     Other personal data as detailed in this Privacy Policy and data that may be requested from and provided by you.  "
2446,84,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 174, ""startIndexInSegment"": 162, ""selectedText"": ""our Services"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 850, ""startIndexInSegment"": 839, ""selectedText"": ""Birth date,"", ""value"": ""Demographic""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 335, ""startIndexInSegment"": 330, ""selectedText"": ""share"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",175," Personal Information Collected Via Our Services     Information You Provide.  You may visit and enjoy many elements of our Services without disclosing any personal information about yourself. However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly. When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:     Full name,     Email address,     Password,     Street address,     Telephone number(s),     Birth date,     Payment card information,     Location data,     Contacts (as stored in your wireless device),     Other personal data as detailed in this Privacy Policy and data that may be requested from and provided by you.  "
2447,84,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 174, ""startIndexInSegment"": 162, ""selectedText"": ""our Services"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 898, ""startIndexInSegment"": 873, ""selectedText"": ""Payment card information,"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 335, ""startIndexInSegment"": 330, ""selectedText"": ""share"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",175," Personal Information Collected Via Our Services     Information You Provide.  You may visit and enjoy many elements of our Services without disclosing any personal information about yourself. However, to make use of select, special or enhanced elements of the Services, you will need to share with us certain personal information so those elements may function properly. When you use certain enhanced elements within our Services (e.g., create a profile, register for a promotion, make a purchase, or publish a comment), the personal information we collect may include, but is not limited to:     Full name,     Email address,     Password,     Street address,     Telephone number(s),     Birth date,     Payment card information,     Location data,     Contacts (as stored in your wireless device),     Other personal data as detailed in this Privacy Policy and data that may be requested from and provided by you.  "
