annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
275,84,0,Other,"{""Other Type"": {""endIndexInSegment"": 332, ""startIndexInSegment"": 44, ""selectedText"": ""The Walt Disney Company has a rich tradition of bringing great stories, characters and experiences to our guests around the world, and our sites and applications are createdto entertain and connect guests with the best that we have to offer on the platforms and devices our guests prefer."", ""value"": ""Introductory/Generic""}}",186," Privacy Policy    The Walt Disney Company has a rich tradition of bringing great stories, characters and experiences to our guests around the world, and our sites and applications are createdto entertain and connect guests with the best that we have to offer on the platforms and devices our guests prefer.  "
619,82,0,Other,"{""Other Type"": {""endIndexInSegment"": 332, ""startIndexInSegment"": 44, ""selectedText"": ""The Walt Disney Company has a rich tradition of bringing great stories, characters and experiences to our guests around the world, and our sites and applications are createdto entertain and connect guests with the best that we have to offer on the platforms and devices our guests prefer."", ""value"": ""Introductory/Generic""}}",186," Privacy Policy    The Walt Disney Company has a rich tradition of bringing great stories, characters and experiences to our guests around the world, and our sites and applications are createdto entertain and connect guests with the best that we have to offer on the platforms and devices our guests prefer.  "
1332,88,0,Other,"{""Other Type"": {""endIndexInSegment"": 332, ""startIndexInSegment"": 44, ""selectedText"": ""The Walt Disney Company has a rich tradition of bringing great stories, characters and experiences to our guests around the world, and our sites and applications are createdto entertain and connect guests with the best that we have to offer on the platforms and devices our guests prefer."", ""value"": ""Introductory/Generic""}}",186," Privacy Policy    The Walt Disney Company has a rich tradition of bringing great stories, characters and experiences to our guests around the world, and our sites and applications are createdto entertain and connect guests with the best that we have to offer on the platforms and devices our guests prefer.  "
276,84,1,Data Security,"{""Security Measure"": {""endIndexInSegment"": 238, ""startIndexInSegment"": 181, ""selectedText"": ""treating your personal information with care and respect."", ""value"": ""Generic""}}",186,"Our privacy policy is designed to provide transparency into our privacy practices and principles, in a format that our guests can navigate, read and understand. We are dedicated to treating your personal information with care and respect.  "
620,82,1,Other,"{""Other Type"": {""endIndexInSegment"": 160, ""startIndexInSegment"": 0, ""selectedText"": ""Our privacy policy is designed to provide transparency into our privacy practices and principles, in a format that our guests can navigate, read and understand."", ""value"": ""Introductory/Generic""}}",186,"Our privacy policy is designed to provide transparency into our privacy practices and principles, in a format that our guests can navigate, read and understand. We are dedicated to treating your personal information with care and respect.  "
1333,88,1,Other,"{""Other Type"": {""endIndexInSegment"": 238, ""startIndexInSegment"": 0, ""selectedText"": ""Our privacy policy is designed to provide transparency into our privacy practices and principles, in a format that our guests can navigate, read and understand. We are dedicated to treating your personal information with care and respect."", ""value"": ""Introductory/Generic""}}",186,"Our privacy policy is designed to provide transparency into our privacy practices and principles, in a format that our guests can navigate, read and understand. We are dedicated to treating your personal information with care and respect.  "
277,84,2,Other,"{""Other Type"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 44, ""selectedText"": ""Last Modified: June 19, 2015"", ""value"": ""Introductory/Generic""}}",186," Privacy Policy    Last Modified: June 19, 2015  "
621,82,2,Policy Change,"{""Change Type"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 44, ""selectedText"": ""Last Modified: June 19, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",186," Privacy Policy    Last Modified: June 19, 2015  "
622,82,2,Other,"{""Other Type"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 44, ""selectedText"": ""Last Modified: June 19, 2015"", ""value"": ""Introductory/Generic""}}",186," Privacy Policy    Last Modified: June 19, 2015  "
1334,88,2,Policy Change,"{""Change Type"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 44, ""selectedText"": ""Last Modified: June 19, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 44, ""selectedText"": ""Last Modified: June 19, 2015"", ""value"": ""General notice in privacy policy""}}",186," Privacy Policy    Last Modified: June 19, 2015  "
