annotation_ID,segment_ID,category,attr_val,policy_ID,segment_text
189,0,Other,"{""Other Type"": {""endIndexInSegment"": 26, ""startIndexInSegment"": 0, ""selectedText"": ""Published: January 1, 2015"", ""value"": ""Introductory/Generic""}}",200,"Published: January 1, 2015  "
527,0,Other,"{""Other Type"": {""endIndexInSegment"": 26, ""startIndexInSegment"": 0, ""selectedText"": ""Published: January 1, 2015"", ""value"": ""Other""}}",200,"Published: January 1, 2015  "
1010,0,Other,"{""Other Type"": {""endIndexInSegment"": 26, ""startIndexInSegment"": 0, ""selectedText"": ""Published: January 1, 2015"", ""value"": ""Introductory/Generic""}}",200,"Published: January 1, 2015  "
190,1,Other,"{""Other Type"": {""endIndexInSegment"": 497, ""startIndexInSegment"": 0, ""selectedText"": ""The WP Company LLC (The Washington Post) recognizes the importance of protecting the privacy of your personal information, and we have prepared this Privacy Policy to provide you with important information about our privacy practices. This Privacy Policy applies when you use a website, mobile or tablet application, or other online service (collectively, the Services) that links or refers to it. It does not govern or apply to information collected or used by WP Company LLC through other means."", ""value"": ""Introductory/Generic""}}",200,"The WP Company LLC (The Washington Post) recognizes the importance of protecting the privacy of your personal information, and we have prepared this Privacy Policy to provide you with important information about our privacy practices. This Privacy Policy applies when you use a website, mobile or tablet application, or other online service (collectively, the Services) that links or refers to it. It does not govern or apply to information collected or used by WP Company LLC through other means.  "
529,1,Other,"{""Other Type"": {""endIndexInSegment"": 497, ""startIndexInSegment"": 0, ""selectedText"": ""The WP Company LLC (The Washington Post) recognizes the importance of protecting the privacy of your personal information, and we have prepared this Privacy Policy to provide you with important information about our privacy practices. This Privacy Policy applies when you use a website, mobile or tablet application, or other online service (collectively, the Services) that links or refers to it. It does not govern or apply to information collected or used by WP Company LLC through other means."", ""value"": ""Introductory/Generic""}}",200,"The WP Company LLC (The Washington Post) recognizes the importance of protecting the privacy of your personal information, and we have prepared this Privacy Policy to provide you with important information about our privacy practices. This Privacy Policy applies when you use a website, mobile or tablet application, or other online service (collectively, the Services) that links or refers to it. It does not govern or apply to information collected or used by WP Company LLC through other means.  "
1011,1,Other,"{""Other Type"": {""endIndexInSegment"": 397, ""startIndexInSegment"": 0, ""selectedText"": ""The WP Company LLC (The Washington Post) recognizes the importance of protecting the privacy of your personal information, and we have prepared this Privacy Policy to provide you with important information about our privacy practices. This Privacy Policy applies when you use a website, mobile or tablet application, or other online service (collectively, the Services) that links or refers to it."", ""value"": ""Introductory/Generic""}}",200,"The WP Company LLC (The Washington Post) recognizes the importance of protecting the privacy of your personal information, and we have prepared this Privacy Policy to provide you with important information about our privacy practices. This Privacy Policy applies when you use a website, mobile or tablet application, or other online service (collectively, the Services) that links or refers to it. It does not govern or apply to information collected or used by WP Company LLC through other means.  "
1012,1,Other,"{""Other Type"": {""endIndexInSegment"": 497, ""startIndexInSegment"": 398, ""selectedText"": ""It does not govern or apply to information collected or used by WP Company LLC through other means."", ""value"": ""Practice not covered""}}",200,"The WP Company LLC (The Washington Post) recognizes the importance of protecting the privacy of your personal information, and we have prepared this Privacy Policy to provide you with important information about our privacy practices. This Privacy Policy applies when you use a website, mobile or tablet application, or other online service (collectively, the Services) that links or refers to it. It does not govern or apply to information collected or used by WP Company LLC through other means.  "
191,2,Other,"{""Other Type"": {""endIndexInSegment"": 41, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Policy covers the following:"", ""value"": ""Introductory/Generic""}}",200,This Privacy Policy covers the following:   How We Use Information   Sharing of Information   Links to Third Party Sites   Data Security   How to Access or Update Your Information   Changes to this Privacy Policy   Other Important Information  
528,2,Other,"{""Other Type"": {""endIndexInSegment"": 298, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Policy covers the following: How We Use Information Sharing of Information Links to Third Party Sites Data Security How to Access or Update Your Information Changes to this Privacy Policy Other Important Information"", ""value"": ""Introductory/Generic""}}",200,This Privacy Policy covers the following:   How We Use Information   Sharing of Information   Links to Third Party Sites   Data Security   How to Access or Update Your Information   Changes to this Privacy Policy   Other Important Information  
1014,2,Other,"{""Other Type"": {""endIndexInSegment"": 298, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Policy covers the following: How We Use Information Sharing of Information Links to Third Party Sites Data Security How to Access or Update Your Information Changes to this Privacy Policy Other Important Information"", ""value"": ""Introductory/Generic""}}",200,This Privacy Policy covers the following:   How We Use Information   Sharing of Information   Links to Third Party Sites   Data Security   How to Access or Update Your Information   Changes to this Privacy Policy   Other Important Information  
