annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
4756,84,0,Other,"{""Other Type"": {""endIndexInSegment"": 36, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy - Your Privacy Rights"", ""value"": ""Introductory/Generic""}}",207,"Privacy Policy - Your Privacy Rights   Last revised: January 07, 2014  "
5459,82,0,Other,"{""Other Type"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy - Your Privacy Rights Last revised: January 07, 2014"", ""value"": ""Introductory/Generic""}}",207,"Privacy Policy - Your Privacy Rights   Last revised: January 07, 2014  "
5801,88,0,Policy Change,"{""Change Type"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 47, ""selectedText"": ""Last revised: January 07, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 47, ""selectedText"": ""Last revised: January 07, 2014"", ""value"": ""General notice in privacy policy""}}",207,"Privacy Policy - Your Privacy Rights   Last revised: January 07, 2014  "
4757,84,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 216, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 287, ""startIndexInSegment"": 252, ""selectedText"": ""facilitate and improve our services"", ""value"": ""Personalization/Customization""}}",207,"Dictionary.com LLC respects your privacy. When you use Dictionary.com, Reference.com, Thesaurus.com or any other online products or websites that we own (our ""sites"") and mobile applications (our ""apps""), we collect information about you and use it to facilitate and improve our services. Information about you may also be shared with other companies. For instance, companies engaged in ""targeted"" or ""behavioral"" advertising present ads that might be of interest to you based on information about your online activities. We want to be clear about how information about you may be used and what your privacy options are.  "
4758,84,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 216, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 215, ""startIndexInSegment"": 208, ""selectedText"": ""collect"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 262, ""startIndexInSegment"": 252, ""selectedText"": ""facilitate"", ""value"": ""Basic service/feature""}}",207,"Dictionary.com LLC respects your privacy. When you use Dictionary.com, Reference.com, Thesaurus.com or any other online products or websites that we own (our ""sites"") and mobile applications (our ""apps""), we collect information about you and use it to facilitate and improve our services. Information about you may also be shared with other companies. For instance, companies engaged in ""targeted"" or ""behavioral"" advertising present ads that might be of interest to you based on information about your online activities. We want to be clear about how information about you may be used and what your privacy options are.  "
4759,84,1,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 350, ""startIndexInSegment"": 335, ""selectedText"": ""other companies"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 289, ""selectedText"": ""Information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 314, ""startIndexInSegment"": 311, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 329, ""startIndexInSegment"": 323, ""selectedText"": ""shared"", ""value"": ""Receive/Shared with""}}",207,"Dictionary.com LLC respects your privacy. When you use Dictionary.com, Reference.com, Thesaurus.com or any other online products or websites that we own (our ""sites"") and mobile applications (our ""apps""), we collect information about you and use it to facilitate and improve our services. Information about you may also be shared with other companies. For instance, companies engaged in ""targeted"" or ""behavioral"" advertising present ads that might be of interest to you based on information about your online activities. We want to be clear about how information about you may be used and what your privacy options are.  "
4760,84,1,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 413, ""startIndexInSegment"": 366, ""selectedText"": ""companies engaged in \""targeted\"" or \""behavioral\"""", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 425, ""startIndexInSegment"": 414, ""selectedText"": ""advertising"", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 289, ""selectedText"": ""Information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 314, ""startIndexInSegment"": 311, ""selectedText"": ""may"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 329, ""startIndexInSegment"": 323, ""selectedText"": ""shared"", ""value"": ""Receive/Shared with""}}",207,"Dictionary.com LLC respects your privacy. When you use Dictionary.com, Reference.com, Thesaurus.com or any other online products or websites that we own (our ""sites"") and mobile applications (our ""apps""), we collect information about you and use it to facilitate and improve our services. Information about you may also be shared with other companies. For instance, companies engaged in ""targeted"" or ""behavioral"" advertising present ads that might be of interest to you based on information about your online activities. We want to be clear about how information about you may be used and what your privacy options are.  "
5460,82,1,Other,"{""Other Type"": {""endIndexInSegment"": 620, ""startIndexInSegment"": 0, ""selectedText"": ""Dictionary.com LLC respects your privacy. When you use Dictionary.com, Reference.com, Thesaurus.com or any other online products or websites that we own (our \""sites\"") and mobile applications (our \""apps\""), we collect information about you and use it to facilitate and improve our services. Information about you may also be shared with other companies. For instance, companies engaged in \""targeted\"" or \""behavioral\"" advertising present ads that might be of interest to you based on information about your online activities. We want to be clear about how information about you may be used and what your privacy options are."", ""value"": ""Introductory/Generic""}}",207,"Dictionary.com LLC respects your privacy. When you use Dictionary.com, Reference.com, Thesaurus.com or any other online products or websites that we own (our ""sites"") and mobile applications (our ""apps""), we collect information about you and use it to facilitate and improve our services. Information about you may also be shared with other companies. For instance, companies engaged in ""targeted"" or ""behavioral"" advertising present ads that might be of interest to you based on information about your online activities. We want to be clear about how information about you may be used and what your privacy options are.  "
5463,82,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 226, ""startIndexInSegment"": 205, ""selectedText"": ""we collect informatio"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 216, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 287, ""startIndexInSegment"": 242, ""selectedText"": ""use it to facilitate and improve our services"", ""value"": ""Basic service/feature""}}",207,"Dictionary.com LLC respects your privacy. When you use Dictionary.com, Reference.com, Thesaurus.com or any other online products or websites that we own (our ""sites"") and mobile applications (our ""apps""), we collect information about you and use it to facilitate and improve our services. Information about you may also be shared with other companies. For instance, companies engaged in ""targeted"" or ""behavioral"" advertising present ads that might be of interest to you based on information about your online activities. We want to be clear about how information about you may be used and what your privacy options are.  "
5464,82,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 226, ""startIndexInSegment"": 205, ""selectedText"": ""we collect informatio"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 216, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 287, ""startIndexInSegment"": 267, ""selectedText"": ""improve our services"", ""value"": ""Analytics/Research""}}",207,"Dictionary.com LLC respects your privacy. When you use Dictionary.com, Reference.com, Thesaurus.com or any other online products or websites that we own (our ""sites"") and mobile applications (our ""apps""), we collect information about you and use it to facilitate and improve our services. Information about you may also be shared with other companies. For instance, companies engaged in ""targeted"" or ""behavioral"" advertising present ads that might be of interest to you based on information about your online activities. We want to be clear about how information about you may be used and what your privacy options are.  "
