annotation_ID,segment_ID,category,attr_val,policy_ID,segment_text
2840,0,Other,"{""Other Type"": {""endIndexInSegment"": 762, ""startIndexInSegment"": 100, ""selectedText"": ""At the Atlantic Monthly Group, Inc. (\""The Atlantic\""), we want you to enjoy and benefit from our websites and online services secure in the knowledge that we have implemented fair information practices designed to protect your privacy. Our privacy policy is applicable to The Atlantic, and The Atlantics affiliates and subsidiaries whose websites, mobile applications and other online services are directly linked (the Sites). The privacy policy describes the kinds of information we may gather during your visit to these Sites, how we use your information, when we might disclose your personally identifiable information, and how you can manage your information."", ""value"": ""Introductory/Generic""}}",20," Privacy Policy     Effective: January 1, 2015    At the Atlantic Monthly Group, Inc. (""The Atlantic""), we want you to enjoy and benefit from our websites and online services secure in the knowledge that we have implemented fair information practices designed to protect your privacy. Our privacy policy is applicable to The Atlantic, and The Atlantics affiliates and subsidiaries whose websites, mobile applications and other online services are directly linked (the Sites). The privacy policy describes the kinds of information we may gather during your visit to these Sites, how we use your information, when we might disclose your personally identifiable information, and how you can manage your information.  "
3616,0,Other,"{""Other Type"": {""endIndexInSegment"": 762, ""startIndexInSegment"": 100, ""selectedText"": ""At the Atlantic Monthly Group, Inc. (\""The Atlantic\""), we want you to enjoy and benefit from our websites and online services secure in the knowledge that we have implemented fair information practices designed to protect your privacy. Our privacy policy is applicable to The Atlantic, and The Atlantics affiliates and subsidiaries whose websites, mobile applications and other online services are directly linked (the Sites). The privacy policy describes the kinds of information we may gather during your visit to these Sites, how we use your information, when we might disclose your personally identifiable information, and how you can manage your information."", ""value"": ""Introductory/Generic""}}",20," Privacy Policy     Effective: January 1, 2015    At the Atlantic Monthly Group, Inc. (""The Atlantic""), we want you to enjoy and benefit from our websites and online services secure in the knowledge that we have implemented fair information practices designed to protect your privacy. Our privacy policy is applicable to The Atlantic, and The Atlantics affiliates and subsidiaries whose websites, mobile applications and other online services are directly linked (the Sites). The privacy policy describes the kinds of information we may gather during your visit to these Sites, how we use your information, when we might disclose your personally identifiable information, and how you can manage your information.  "
4069,0,Other,"{""Other Type"": {""endIndexInSegment"": 762, ""startIndexInSegment"": 100, ""selectedText"": ""At the Atlantic Monthly Group, Inc. (\""The Atlantic\""), we want you to enjoy and benefit from our websites and online services secure in the knowledge that we have implemented fair information practices designed to protect your privacy. Our privacy policy is applicable to The Atlantic, and The Atlantics affiliates and subsidiaries whose websites, mobile applications and other online services are directly linked (the Sites). The privacy policy describes the kinds of information we may gather during your visit to these Sites, how we use your information, when we might disclose your personally identifiable information, and how you can manage your information."", ""value"": ""Introductory/Generic""}}",20," Privacy Policy     Effective: January 1, 2015    At the Atlantic Monthly Group, Inc. (""The Atlantic""), we want you to enjoy and benefit from our websites and online services secure in the knowledge that we have implemented fair information practices designed to protect your privacy. Our privacy policy is applicable to The Atlantic, and The Atlantics affiliates and subsidiaries whose websites, mobile applications and other online services are directly linked (the Sites). The privacy policy describes the kinds of information we may gather during your visit to these Sites, how we use your information, when we might disclose your personally identifiable information, and how you can manage your information.  "
2841,1,Other,"{""Other Type"": {""endIndexInSegment"": 219, ""startIndexInSegment"": 0, ""selectedText"": ""This privacy policy does not apply to Sites maintained by other companies or organizations to which we may link or who may link to us. We are not responsible for the actions and privacy policies of third party websites."", ""value"": ""Introductory/Generic""}}",20,This privacy policy does not apply to Sites maintained by other companies or organizations to which we may link or who may link to us. We are not responsible for the actions and privacy policies of third party websites.  
3617,1,Other,"{""Other Type"": {""endIndexInSegment"": 219, ""startIndexInSegment"": 0, ""selectedText"": ""This privacy policy does not apply to Sites maintained by other companies or organizations to which we may link or who may link to us. We are not responsible for the actions and privacy policies of third party websites."", ""value"": ""Practice not covered""}}",20,This privacy policy does not apply to Sites maintained by other companies or organizations to which we may link or who may link to us. We are not responsible for the actions and privacy policies of third party websites.  
4070,1,Other,"{""Other Type"": {""endIndexInSegment"": 219, ""startIndexInSegment"": 0, ""selectedText"": ""This privacy policy does not apply to Sites maintained by other companies or organizations to which we may link or who may link to us. We are not responsible for the actions and privacy policies of third party websites."", ""value"": ""Practice not covered""}}",20,This privacy policy does not apply to Sites maintained by other companies or organizations to which we may link or who may link to us. We are not responsible for the actions and privacy policies of third party websites.  
2842,2,Policy Change,"{""Change Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 450, ""startIndexInSegment"": 335, ""selectedText"": ""Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes."", ""value"": ""None""}, ""Notification Type"": {""endIndexInSegment"": 333, ""startIndexInSegment"": 319, ""selectedText"": ""without notice"", ""value"": ""No notification""}}",20,"By visiting our Sites, you are accepting the practices described in our privacy policy, including our use of cookies and similar online tools. If you do not agree to the terms of this privacy policy, please do not use the Sites. We reserve the right to modify or amend the terms of our privacy policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes. If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use.   What Information Is Collected?     How Do the Sites Use Cookies and Other Tracking Technologies?     How Do We Use Your Information?     Who Can See Your Information?     What Are Your Choices?     Other Important Information     Governing Law & Notice to Non-U.S. Users     Questions About this Policy; Access to Your Information  "
2843,2,Other,"{""Other Type"": {""endIndexInSegment"": 754, ""startIndexInSegment"": 724, ""selectedText"": ""What Information Is Collected?"", ""value"": ""Introductory/Generic""}}",20,"By visiting our Sites, you are accepting the practices described in our privacy policy, including our use of cookies and similar online tools. If you do not agree to the terms of this privacy policy, please do not use the Sites. We reserve the right to modify or amend the terms of our privacy policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes. If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use.   What Information Is Collected?     How Do the Sites Use Cookies and Other Tracking Technologies?     How Do We Use Your Information?     Who Can See Your Information?     What Are Your Choices?     Other Important Information     Governing Law & Notice to Non-U.S. Users     Questions About this Policy; Access to Your Information  "
3618,2,Policy Change,"{""Change Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 229, ""selectedText"": ""We reserve the right to modify or amend the terms of our privacy policy"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 333, ""startIndexInSegment"": 302, ""selectedText"": ""rom time to time without notice"", ""value"": ""No notification""}}",20,"By visiting our Sites, you are accepting the practices described in our privacy policy, including our use of cookies and similar online tools. If you do not agree to the terms of this privacy policy, please do not use the Sites. We reserve the right to modify or amend the terms of our privacy policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes. If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use.   What Information Is Collected?     How Do the Sites Use Cookies and Other Tracking Technologies?     How Do We Use Your Information?     Who Can See Your Information?     What Are Your Choices?     Other Important Information     Governing Law & Notice to Non-U.S. Users     Questions About this Policy; Access to Your Information  "
3619,2,Policy Change,"{""Change Type"": {""endIndexInSegment"": 609, ""startIndexInSegment"": 451, ""selectedText"": ""If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession"", ""value"": ""Other""}, ""User Choice"": {""endIndexInSegment"": 713, ""startIndexInSegment"": 683, ""selectedText"": ""eek your consent for such use."", ""value"": ""Opt-in""}, ""Notification Type"": {""endIndexInSegment"": 713, ""startIndexInSegment"": 611, ""selectedText"": ""we will provide you with notice of the modifications or amendments and seek your consent for such use."", ""value"": ""Other""}}",20,"By visiting our Sites, you are accepting the practices described in our privacy policy, including our use of cookies and similar online tools. If you do not agree to the terms of this privacy policy, please do not use the Sites. We reserve the right to modify or amend the terms of our privacy policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes. If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use.   What Information Is Collected?     How Do the Sites Use Cookies and Other Tracking Technologies?     How Do We Use Your Information?     Who Can See Your Information?     What Are Your Choices?     Other Important Information     Governing Law & Notice to Non-U.S. Users     Questions About this Policy; Access to Your Information  "
3620,2,Other,"{""Other Type"": {""endIndexInSegment"": 1180, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting our Sites, you are accepting the practices described in our privacy policy, including our use of cookies and similar online tools. If you do not agree to the terms of this privacy policy, please do not use the Sites. We reserve the right to modify or amend the terms of our privacy policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes. If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use. What Information Is Collected? How Do the Sites Use Cookies and Other Tracking Technologies? How Do We Use Your Information? Who Can See Your Information? What Are Your Choices? Other Important Information Governing Law & Notice to Non-U.S. Users Questions About this Policy; Access to Your Information"", ""value"": ""Introductory/Generic""}}",20,"By visiting our Sites, you are accepting the practices described in our privacy policy, including our use of cookies and similar online tools. If you do not agree to the terms of this privacy policy, please do not use the Sites. We reserve the right to modify or amend the terms of our privacy policy from time to time without notice. Your continued use of our Sites following the posting of changes to these terms will mean you accept those changes. If we intend to apply the modifications or amendments to this privacy policy retroactively or to personally identifiable information already in our possession, we will provide you with notice of the modifications or amendments and seek your consent for such use.   What Information Is Collected?     How Do the Sites Use Cookies and Other Tracking Technologies?     How Do We Use Your Information?     Who Can See Your Information?     What Are Your Choices?     Other Important Information     Governing Law & Notice to Non-U.S. Users     Questions About this Policy; Access to Your Information  "
