annotation_ID,segment_ID,category,attr_val,policy_ID,segment_text
16222,0,Other,"{""Other Type"": {""selectedText"": ""Full Privacy Policy Last updated: 14 January 2015"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 59, ""value"": ""Introductory/Generic""}}",33,Full Privacy Policy   Last updated: 14 January 2015  
14012,1,Other,"{""Other Type"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Policy describes the privacy practices of NBCUniversal Media LLC including our affiliate companies (\""NBCUniversal\"", \""we\"", \""our\"" or \""us\""). You can find information about NBCUniversal, including our affiliates, here."", ""value"": ""Practice not covered""}}",33,"This Privacy Policy describes the privacy practices of NBCUniversal Media LLC including our affiliate companies (""NBCUniversal"", ""we"", ""our"" or ""us""). You can find information about NBCUniversal, including our affiliates, here.  "
16223,1,Other,"{""Other Type"": {""selectedText"": ""This Privacy Policy describes the privacy practices of NBCUniversal Media LLC including our affiliate companies (\""NBCUniversal\"", \""we\"", \""our\"" or \""us\""). You can find information about NBCUniversal, including our affiliates, here."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 227, ""value"": ""Introductory/Generic""}}",33,"This Privacy Policy describes the privacy practices of NBCUniversal Media LLC including our affiliate companies (""NBCUniversal"", ""we"", ""our"" or ""us""). You can find information about NBCUniversal, including our affiliates, here.  "
21875,1,Other,"{""Other Type"": {""selectedText"": ""This Privacy Policy describes the privacy practices of NBCUniversal Media LLC including our affiliate companies (\""NBCUniversal\"", \""we\"", \""our\"" or \""us\""). You can find information about NBCUniversal, including our affiliates, here."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 232, ""value"": ""Introductory/Generic""}}",33,"This Privacy Policy describes the privacy practices of NBCUniversal Media LLC including our affiliate companies (""NBCUniversal"", ""we"", ""our"" or ""us""). You can find information about NBCUniversal, including our affiliates, here.  "
14013,2,Other,"{""Other Type"": {""endIndexInSegment"": 807, ""startIndexInSegment"": 0, ""selectedText"": ""This Privacy Policy explains how we collect, use, disclose and transfer the information you provide when you interact with us including (but not limited to) via our websites, downloadable applications, such as games, interactive TV and Mobile Apps (as defined below) that link to this policy (\""online services\""). This policy only applies to those online services that link to this policy. This policy also tells you how we use tracking technologies, cookies and browsing data we collect from your use of the online services, the measures we take to protect the security of the information you provide to us through the online services, and how you can contact us if you have any questions regarding the online services (including if you want to unsubscribe from our services or update your contact details)."", ""value"": ""Introductory/Generic""}}",33,"This Privacy Policy explains how we collect, use, disclose and transfer the information you provide when you interact with us including (but not limited to) via our websites, downloadable applications, such as games, interactive TV and Mobile Apps (as defined below) that link to this policy (""online services""). This policy only applies to those online services that link to this policy. This policy also tells you how we use tracking technologies, cookies and browsing data we collect from your use of the online services, the measures we take to protect the security of the information you provide to us through the online services, and how you can contact us if you have any questions regarding the online services (including if you want to unsubscribe from our services or update your contact details).  "
16224,2,Other,"{""Other Type"": {""selectedText"": ""This Privacy Policy explains how we collect, use, disclose and transfer the information you provide when you interact with us including (but not limited to) via our websites, downloadable applications, such as games, interactive TV and Mobile Apps (as defined below) that link to this policy (\""online services\""). This policy only applies to those online services that link to this policy. This policy also tells you how we use tracking technologies, cookies and browsing data we collect from your use of the online services, the measures we take to protect the security of the information you provide to us through the online services, and how you can contact us if you have any questions regarding the online services (including if you want to unsubscribe from our services or update your contact details)."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 807, ""value"": ""Introductory/Generic""}}",33,"This Privacy Policy explains how we collect, use, disclose and transfer the information you provide when you interact with us including (but not limited to) via our websites, downloadable applications, such as games, interactive TV and Mobile Apps (as defined below) that link to this policy (""online services""). This policy only applies to those online services that link to this policy. This policy also tells you how we use tracking technologies, cookies and browsing data we collect from your use of the online services, the measures we take to protect the security of the information you provide to us through the online services, and how you can contact us if you have any questions regarding the online services (including if you want to unsubscribe from our services or update your contact details).  "
21876,2,Other,"{""Other Type"": {""selectedText"": ""This Privacy Policy explains how we collect, use, disclose and transfer the information you provide when you interact with us including (but not limited to) via our websites, downloadable applications, such as games, interactive TV and Mobile Apps (as defined below) that link to this policy (\""online services\""). This policy only applies to those online services that link to this policy. This policy also tells you how we use tracking technologies, cookies and browsing data we collect from your use of the online services, the measures we take to protect the security of the information you provide to us through the online services, and how you can contact us if you have any questions regarding the online services (including if you want to unsubscribe from our services or update your contact details)."", ""startIndexInSegment"": 0, ""endIndexInSegment"": 812, ""value"": ""Introductory/Generic""}}",33,"This Privacy Policy explains how we collect, use, disclose and transfer the information you provide when you interact with us including (but not limited to) via our websites, downloadable applications, such as games, interactive TV and Mobile Apps (as defined below) that link to this policy (""online services""). This policy only applies to those online services that link to this policy. This policy also tells you how we use tracking technologies, cookies and browsing data we collect from your use of the online services, the measures we take to protect the security of the information you provide to us through the online services, and how you can contact us if you have any questions regarding the online services (including if you want to unsubscribe from our services or update your contact details).  "
16225,3,Other,"{""Other Type"": {""selectedText"": ""1. SCOPE AND CONSENT 2. TYPES OF INFORMATION WE COLLECT 3. HOW WE COLLECT YOUR INFORMATION 4. HOW WE USE YOUR INFORMATION 5. HOW WE SHARE YOUR INFORMATION 6. CHILDREN 7. HOW WE PROTECT YOUR INFORMATION 8. YOUR RIGHTS AND CHOICES 9. WHERE YOUR INFORMATION WILL BE USED 10. COOKIES AND OTHER TECHNOLOGIES 11. MOBILE APPS 12. IMPORTANT INFORMATION 13. UPDATES TO OUR PRIVACY POLICY 14. CONTACT US"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 523, ""value"": ""Introductory/Generic""}}",33,1. SCOPE AND CONSENT   2. TYPES OF INFORMATION WE COLLECT   3. HOW WE COLLECT YOUR INFORMATION   4. HOW WE USE YOUR INFORMATION   5. HOW WE SHARE YOUR INFORMATION   6. CHILDREN   7. HOW WE PROTECT YOUR INFORMATION   8. YOUR RIGHTS AND CHOICES   9. WHERE YOUR INFORMATION WILL BE USED   10. COOKIES AND OTHER TECHNOLOGIES   11. MOBILE APPS   12. IMPORTANT INFORMATION   13. UPDATES TO OUR PRIVACY POLICY   14. CONTACT US  
21877,3,Other,"{""Other Type"": {""selectedText"": ""1. SCOPE AND CONSENT 2. TYPES OF INFORMATION WE COLLECT 3. HOW WE COLLECT YOUR INFORMATION 4. HOW WE USE YOUR INFORMATION 5. HOW WE SHARE YOUR INFORMATION 6. CHILDREN 7. HOW WE PROTECT YOUR INFORMATION 8. YOUR RIGHTS AND CHOICES 9. WHERE YOUR INFORMATION WILL BE USED 10. COOKIES AND OTHER TECHNOLOGIES 11. MOBILE APPS 12. IMPORTANT INFORMATION 13. UPDATES TO OUR PRIVACY POLICY 14. CONTACT US"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 528, ""value"": ""Introductory/Generic""}}",33,1. SCOPE AND CONSENT   2. TYPES OF INFORMATION WE COLLECT   3. HOW WE COLLECT YOUR INFORMATION   4. HOW WE USE YOUR INFORMATION   5. HOW WE SHARE YOUR INFORMATION   6. CHILDREN   7. HOW WE PROTECT YOUR INFORMATION   8. YOUR RIGHTS AND CHOICES   9. WHERE YOUR INFORMATION WILL BE USED   10. COOKIES AND OTHER TECHNOLOGIES   11. MOBILE APPS   12. IMPORTANT INFORMATION   13. UPDATES TO OUR PRIVACY POLICY   14. CONTACT US  
14014,4,International and Specific Audiences,"{""Audience Type"": {""endIndexInSegment"": 185, ""startIndexInSegment"": 104, ""selectedText"": ""If you reside outside of the United States, NBCUniversal is your data controller."", ""value"": ""Citizens from other countries""}}",33,"1. SCOPE AND CONSENT   When you use the online services, you are contracting with NBCUniversal. If you reside outside of the United States, NBCUniversal is your data controller. By using the online services, you expressly consent to our collection, use, disclosure, and retention of your personal information as described in this Privacy Policy.  "
