annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
4682,95,0,Other,"{""Other Type"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 0, ""selectedText"": ""Walmart Privacy Policy Last Updated: March 2015"", ""value"": ""Introductory/Generic""}}",348,Walmart Privacy Policy    Last Updated: March 2015   
7971,103,0,Other,"{""Other Type"": {""endIndexInSegment"": 22, ""startIndexInSegment"": 0, ""selectedText"": ""Walmart Privacy Policy"", ""value"": ""Introductory/Generic""}}",348,Walmart Privacy Policy    Last Updated: March 2015   
7972,103,0,Other,"{""Other Type"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 42, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""Practice not covered""}}",348,Walmart Privacy Policy    Last Updated: March 2015   
17767,123,0,Other,"{""Other Type"": {""endIndexInSegment"": 66, ""startIndexInSegment"": 42, ""selectedText"": ""Last Updated: March 2015"", ""value"": ""Other""}}",348,Walmart Privacy Policy    Last Updated: March 2015   
4683,95,1,Other,"{""Other Type"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 0, ""selectedText"": ""At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices. The information you share with Walmart allows us to provide the products and services you need and want while giving you the very best shopping experience."", ""value"": ""Introductory/Generic""}}",348,"At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices. The information you share with Walmart allows us to provide the products and services you need and want while giving you the very best shopping experience.  "
7973,103,1,Other,"{""Other Type"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 0, ""selectedText"": ""At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices. The information you share with Walmart allows us to provide the products and services you need and want while giving you the very best shopping experience."", ""value"": ""Introductory/Generic""}}",348,"At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices. The information you share with Walmart allows us to provide the products and services you need and want while giving you the very best shopping experience.  "
17768,123,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 161, ""selectedText"": ""information you share with"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 161, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 173, ""selectedText"": ""you share with"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 251, ""startIndexInSegment"": 206, ""selectedText"": ""to provide the products and services you need"", ""value"": ""Basic service/feature""}}",348,"At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices. The information you share with Walmart allows us to provide the products and services you need and want while giving you the very best shopping experience.  "
17769,123,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 161, ""selectedText"": ""information you share with"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 161, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 187, ""startIndexInSegment"": 173, ""selectedText"": ""you share with"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 312, ""startIndexInSegment"": 267, ""selectedText"": ""giving you the very best shopping experience."", ""value"": ""Unspecified""}}",348,"At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices. The information you share with Walmart allows us to provide the products and services you need and want while giving you the very best shopping experience.  "
17770,123,1,Other,"{""Other Type"": {""endIndexInSegment"": 156, ""startIndexInSegment"": 0, ""selectedText"": ""At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices."", ""value"": ""Introductory/Generic""}}",348,"At Walmart, our customers are number one - always. That's why everything we do is focused on providing excellent customer service and delivering low prices. The information you share with Walmart allows us to provide the products and services you need and want while giving you the very best shopping experience.  "
4684,95,2,Other,"{""Other Type"": {""endIndexInSegment"": 495, ""startIndexInSegment"": 0, ""selectedText"": ""Our founder Sam Walton reminded us that \""a promise we make is a promise we keep,\"" and it's our promise to customers that we respect the trust you place in us and the privacy of the information you share. Part of providing superior customer service includes making sure that we're building a relationship of trust with customers. Our way of doing that is to let you know in a clear, prominent, and easily accessible way how we collect, use, share, and above all protect your personal information."", ""value"": ""Introductory/Generic""}}",348,"Our founder Sam Walton reminded us that ""a promise we make is a promise we keep,"" and it's our promise to customers that we respect the trust you place in us and the privacy of the information you share. Part of providing superior customer service includes making sure that we're building a relationship of trust with customers. Our way of doing that is to let you know in a clear, prominent, and easily accessible way how we collect, use, share, and above all protect your personal information.  "
