annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
3028,84,0,Other,"{""Other Type"": {""endIndexInSegment"": 76, ""startIndexInSegment"": 44, ""selectedText"": ""Effective Date: January 1, 2013."", ""value"": ""Introductory/Generic""}}",394," Privacy Policy    Effective Date: January 1, 2013.  "
3781,82,0,Other,"{""Other Type"": {""endIndexInSegment"": 76, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy Effective Date: January 1, 2013."", ""value"": ""Introductory/Generic""}}",394," Privacy Policy    Effective Date: January 1, 2013.  "
3029,84,1,Other,"{""Other Type"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 0, ""selectedText"": ""The Media Research Center (THE MRC or we) is the owner and operator of NewsBusters.org (the Website), a multimedia news and commentary website."", ""value"": ""Introductory/Generic""}}",394,"The Media Research Center (THE MRC or we) is the owner and operator of NewsBusters.org (the Website), a multimedia news and commentary website.  "
3782,82,1,Other,"{""Other Type"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 0, ""selectedText"": ""The Media Research Center (THE MRC or we) is the owner and operator of NewsBusters.org (the Website), a multimedia news and commentary website."", ""value"": ""Introductory/Generic""}}",394,"The Media Research Center (THE MRC or we) is the owner and operator of NewsBusters.org (the Website), a multimedia news and commentary website.  "
4194,88,1,Other,"{""Other Type"": {""endIndexInSegment"": 143, ""startIndexInSegment"": 0, ""selectedText"": ""The Media Research Center (THE MRC or we) is the owner and operator of NewsBusters.org (the Website), a multimedia news and commentary website."", ""value"": ""Introductory/Generic""}}",394,"The Media Research Center (THE MRC or we) is the owner and operator of NewsBusters.org (the Website), a multimedia news and commentary website.  "
3031,84,2,Other,"{""Other Type"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 0, ""selectedText"": ""In this Privacy Policy (Policy), we describe the information that we collect about you as you use our Website and our products and services contained in our Website (collectively, our Services). This Policy applies to information that we collect online and offline."", ""value"": ""Introductory/Generic""}}",394,"In this Privacy Policy (Policy), we describe the information that we collect about you as you use our Website and our products and services contained in our Website (collectively, our Services). This Policy applies to information that we collect online and offline.  "
3783,82,2,Other,"{""Other Type"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 0, ""selectedText"": ""In this Privacy Policy (Policy), we describe the information that we collect about you as you use our Website and our products and services contained in our Website (collectively, our Services). This Policy applies to information that we collect online and offline."", ""value"": ""Introductory/Generic""}}",394,"In this Privacy Policy (Policy), we describe the information that we collect about you as you use our Website and our products and services contained in our Website (collectively, our Services). This Policy applies to information that we collect online and offline.  "
4195,88,2,Other,"{""Other Type"": {""endIndexInSegment"": 265, ""startIndexInSegment"": 0, ""selectedText"": ""In this Privacy Policy (Policy), we describe the information that we collect about you as you use our Website and our products and services contained in our Website (collectively, our Services). This Policy applies to information that we collect online and offline."", ""value"": ""Introductory/Generic""}}",394,"In this Privacy Policy (Policy), we describe the information that we collect about you as you use our Website and our products and services contained in our Website (collectively, our Services). This Policy applies to information that we collect online and offline.  "
3030,84,3,Other,"{""Other Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 0, ""selectedText"": ""We are operated entirely within the United States. If you are located outside of the United States, please note that any information including personal data that we collect about you will be transferred to and processed in the United States. You hereby consent to these transfers."", ""value"": ""Introductory/Generic""}}",394,"We are operated entirely within the United States. If you are located outside of the United States, please note that any information including personal data that we collect about you will be transferred to and processed in the United States. You hereby consent to these transfers.  "
3784,82,3,International and Specific Audiences,"{""Audience Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 0, ""selectedText"": ""We are operated entirely within the United States. If you are located outside of the United States, please note that any information including personal data that we collect about you will be transferred to and processed in the United States. You hereby consent to these transfers."", ""value"": ""Citizens from other countries""}}",394,"We are operated entirely within the United States. If you are located outside of the United States, please note that any information including personal data that we collect about you will be transferred to and processed in the United States. You hereby consent to these transfers.  "
4196,88,3,International and Specific Audiences,"{""Audience Type"": {""endIndexInSegment"": 280, ""startIndexInSegment"": 0, ""selectedText"": ""We are operated entirely within the United States. If you are located outside of the United States, please note that any information including personal data that we collect about you will be transferred to and processed in the United States. You hereby consent to these transfers."", ""value"": ""Citizens from other countries""}}",394,"We are operated entirely within the United States. If you are located outside of the United States, please note that any information including personal data that we collect about you will be transferred to and processed in the United States. You hereby consent to these transfers.  "
3032,84,4,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 112, ""startIndexInSegment"": 108, ""selectedText"": ""FROM"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 96, ""startIndexInSegment"": 61, ""selectedText"": ""PERSONALLY IDENTIFIABLE INFORMATION"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 72, ""selectedText"": ""IDENTIFIABLE"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 26, ""selectedText"": ""DO"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",394,WHAT TYPES OF INFORMATION DO WE COLLECT?     PERSONALLY IDENTIFIABLE INFORMATION WE COLLECT FROM AND ABOUT YOU     INFORMATION COLLECTED AUTOMATICALLY WHEN USING OUR SERVICES   HOW DO WE USE YOUR INFORMATION?   WITH WHOM DO WE SHARE THE INFORMATION WE COLLECT?   HOW CAN YOU MAKE CHOICES ABOUT THE INFORMATION THAT WE COLLECT ABOUT YOU?   ADVERTISING   LINKS TO OTHER (THIRD PARTY) WEBSITES   HOW DO WE SECURE YOUR PERSONALLY IDENTIFIABLE INFORMATION?   CHILDREN   CHANGES TO THIS PRIVACY POLICY   SPECIAL NOTICE TO CALIFORNIA CONSUMERS   HOW TO CONTACT US  
3033,84,4,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 122, ""startIndexInSegment"": 117, ""selectedText"": ""ABOUT"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 96, ""startIndexInSegment"": 61, ""selectedText"": ""PERSONALLY IDENTIFIABLE INFORMATION"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 72, ""selectedText"": ""IDENTIFIABLE"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 26, ""selectedText"": ""DO"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",394,WHAT TYPES OF INFORMATION DO WE COLLECT?     PERSONALLY IDENTIFIABLE INFORMATION WE COLLECT FROM AND ABOUT YOU     INFORMATION COLLECTED AUTOMATICALLY WHEN USING OUR SERVICES   HOW DO WE USE YOUR INFORMATION?   WITH WHOM DO WE SHARE THE INFORMATION WE COLLECT?   HOW CAN YOU MAKE CHOICES ABOUT THE INFORMATION THAT WE COLLECT ABOUT YOU?   ADVERTISING   LINKS TO OTHER (THIRD PARTY) WEBSITES   HOW DO WE SECURE YOUR PERSONALLY IDENTIFIABLE INFORMATION?   CHILDREN   CHANGES TO THIS PRIVACY POLICY   SPECIAL NOTICE TO CALIFORNIA CONSUMERS   HOW TO CONTACT US  
3034,84,4,Other,"{""Other Type"": {""endIndexInSegment"": 672, ""startIndexInSegment"": 263, ""selectedText"": ""WITH WHOM DO WE SHARE THE INFORMATION WE COLLECT? HOW CAN YOU MAKE CHOICES ABOUT THE INFORMATION THAT WE COLLECT ABOUT YOU? ADVERTISING LINKS TO OTHER (THIRD PARTY) WEBSITES HOW DO WE SECURE YOUR PERSONALLY IDENTIFIABLE INFORMATION? CHILDREN CHANGES TO THIS PRIVACY POLICY SPECIAL NOTICE TO CALIFORNIA CONSUMERS HOW TO CONTACT US"", ""value"": ""Introductory/Generic""}}",394,WHAT TYPES OF INFORMATION DO WE COLLECT?     PERSONALLY IDENTIFIABLE INFORMATION WE COLLECT FROM AND ABOUT YOU     INFORMATION COLLECTED AUTOMATICALLY WHEN USING OUR SERVICES   HOW DO WE USE YOUR INFORMATION?   WITH WHOM DO WE SHARE THE INFORMATION WE COLLECT?   HOW CAN YOU MAKE CHOICES ABOUT THE INFORMATION THAT WE COLLECT ABOUT YOU?   ADVERTISING   LINKS TO OTHER (THIRD PARTY) WEBSITES   HOW DO WE SECURE YOUR PERSONALLY IDENTIFIABLE INFORMATION?   CHILDREN   CHANGES TO THIS PRIVACY POLICY   SPECIAL NOTICE TO CALIFORNIA CONSUMERS   HOW TO CONTACT US  
