annotation_ID,segment_ID,category,attr_val,policy_ID,segment_text
16493,0,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""visit the Washingtonian.com site."", ""startIndexInSegment"": 297, ""endIndexInSegment"": 330, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""information (your name, e-mail address, street address, telephone number)"", ""startIndexInSegment"": 75, ""endIndexInSegment"": 148, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""personally identifiable"", ""startIndexInSegment"": 51, ""endIndexInSegment"": 74, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",414,"Privacy Policy   Washingtonian.com may use personally identifiable information (your name, e-mail address, street address, telephone number) subject to the terms of this privacy policy. This privacy policy pertains to information collected when you subscribe to Washingtonian magazine and visit the Washingtonian.com site.  "
16494,0,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""when you subscribe to Washingtonian magazine"", ""startIndexInSegment"": 248, ""endIndexInSegment"": 292, ""value"": ""Other""}, ""Personal Information Type"": {""selectedText"": ""information (your name, e-mail address, street address, telephone number)"", ""startIndexInSegment"": 75, ""endIndexInSegment"": 148, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""personally identifiable"", ""startIndexInSegment"": 51, ""endIndexInSegment"": 74, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",414,"Privacy Policy   Washingtonian.com may use personally identifiable information (your name, e-mail address, street address, telephone number) subject to the terms of this privacy policy. This privacy policy pertains to information collected when you subscribe to Washingtonian magazine and visit the Washingtonian.com site.  "
15787,0,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""collected when you subscribe to Washingtonian magazine and visit the Washingtonian.com site."", ""startIndexInSegment"": 238, ""endIndexInSegment"": 330, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""personally identifiable information"", ""startIndexInSegment"": 51, ""endIndexInSegment"": 86, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Washingtonian.com may use personally identifiable information (your name, e-mail address, street address, telephone number) subject to the terms of this privacy policy. This privacy policy pertains to information collected when you subscribe to Washingtonian magazine and visit the Washingtonian.com site."", ""startIndexInSegment"": 25, ""endIndexInSegment"": 330, ""value"": ""Unspecified""}}",414,"Privacy Policy   Washingtonian.com may use personally identifiable information (your name, e-mail address, street address, telephone number) subject to the terms of this privacy policy. This privacy policy pertains to information collected when you subscribe to Washingtonian magazine and visit the Washingtonian.com site.  "
17953,0,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""information collected when you subscribe"", ""startIndexInSegment"": 226, ""endIndexInSegment"": 266, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""collected when you subscribe to Washingtonian magazine and visit the Washingtonian.com site."", ""startIndexInSegment"": 238, ""endIndexInSegment"": 330, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""your name, e-mail address, street address, telephone number"", ""startIndexInSegment"": 88, ""endIndexInSegment"": 147, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",414,"Privacy Policy   Washingtonian.com may use personally identifiable information (your name, e-mail address, street address, telephone number) subject to the terms of this privacy policy. This privacy policy pertains to information collected when you subscribe to Washingtonian magazine and visit the Washingtonian.com site.  "
16495,1,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""On certain pages, however, you may be asked to provide"", ""startIndexInSegment"": 219, ""endIndexInSegment"": 273, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 274, ""endIndexInSegment"": 294, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""subscribe to Washingtonian Magazine, renew your subscription, purchase a holiday gift subscription, submit a customer service inquiry, or make a purchase"", ""startIndexInSegment"": 318, ""endIndexInSegment"": 471, ""value"": ""Basic service/feature""}}",414," Information We Collect from You    The information we collect varies depending on the services you ask us to provide. You can visit most pages on our website without providing any information. On certain pages, however, you may be asked to provide personal information--examples are when you subscribe to Washingtonian Magazine, renew your subscription, purchase a holiday gift subscription, submit a customer service inquiry, or make a purchase. You may also be asked to provide personal information if you participate in sweepstakes and contests, surveys, message boards and chat rooms, or other interactive areas of our site.  "
16496,1,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""On certain pages, however, you may be asked to provide"", ""startIndexInSegment"": 219, ""endIndexInSegment"": 273, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 274, ""endIndexInSegment"": 294, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""if you participate in sweepstakes and contests, surveys, message boards and chat rooms, or other interactive areas of our site."", ""startIndexInSegment"": 527, ""endIndexInSegment"": 659, ""value"": ""Marketing""}}",414," Information We Collect from You    The information we collect varies depending on the services you ask us to provide. You can visit most pages on our website without providing any information. On certain pages, however, you may be asked to provide personal information--examples are when you subscribe to Washingtonian Magazine, renew your subscription, purchase a holiday gift subscription, submit a customer service inquiry, or make a purchase. You may also be asked to provide personal information if you participate in sweepstakes and contests, surveys, message boards and chat rooms, or other interactive areas of our site.  "
15788,1,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""we collect"", ""startIndexInSegment"": 77, ""endIndexInSegment"": 87, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""The information"", ""startIndexInSegment"": 61, ""endIndexInSegment"": 76, ""value"": ""Unspecified""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""varies depending on the services you ask us to provide"", ""startIndexInSegment"": 88, ""endIndexInSegment"": 142, ""value"": ""Unspecified""}}",414," Information We Collect from You    The information we collect varies depending on the services you ask us to provide. You can visit most pages on our website without providing any information. On certain pages, however, you may be asked to provide personal information--examples are when you subscribe to Washingtonian Magazine, renew your subscription, purchase a holiday gift subscription, submit a customer service inquiry, or make a purchase. You may also be asked to provide personal information if you participate in sweepstakes and contests, surveys, message boards and chat rooms, or other interactive areas of our site.  "
15789,1,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""provide"", ""startIndexInSegment"": 266, ""endIndexInSegment"": 273, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""you may be asked to provide"", ""startIndexInSegment"": 246, ""endIndexInSegment"": 273, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 274, ""endIndexInSegment"": 294, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""when you subscribe to Washingtonian Magazine, renew your subscription, purchase a holiday gift subscription, submit a customer service inquiry, or make a purchase"", ""startIndexInSegment"": 309, ""endIndexInSegment"": 471, ""value"": ""Additional service/feature""}}",414," Information We Collect from You    The information we collect varies depending on the services you ask us to provide. You can visit most pages on our website without providing any information. On certain pages, however, you may be asked to provide personal information--examples are when you subscribe to Washingtonian Magazine, renew your subscription, purchase a holiday gift subscription, submit a customer service inquiry, or make a purchase. You may also be asked to provide personal information if you participate in sweepstakes and contests, surveys, message boards and chat rooms, or other interactive areas of our site.  "
15790,1,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""provide"", ""startIndexInSegment"": 498, ""endIndexInSegment"": 505, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""You may also be asked to provide"", ""startIndexInSegment"": 473, ""endIndexInSegment"": 505, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 506, ""endIndexInSegment"": 526, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""if you participate in sweepstakes and contests,"", ""startIndexInSegment"": 527, ""endIndexInSegment"": 574, ""value"": ""Marketing""}}",414," Information We Collect from You    The information we collect varies depending on the services you ask us to provide. You can visit most pages on our website without providing any information. On certain pages, however, you may be asked to provide personal information--examples are when you subscribe to Washingtonian Magazine, renew your subscription, purchase a holiday gift subscription, submit a customer service inquiry, or make a purchase. You may also be asked to provide personal information if you participate in sweepstakes and contests, surveys, message boards and chat rooms, or other interactive areas of our site.  "
15791,1,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""provide"", ""startIndexInSegment"": 498, ""endIndexInSegment"": 505, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""You may also be asked to provide"", ""startIndexInSegment"": 473, ""endIndexInSegment"": 505, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""personal information"", ""startIndexInSegment"": 506, ""endIndexInSegment"": 526, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""surveys, message boards and chat rooms, or other interactive areas of our site."", ""startIndexInSegment"": 575, ""endIndexInSegment"": 659, ""value"": ""Other""}}",414," Information We Collect from You    The information we collect varies depending on the services you ask us to provide. You can visit most pages on our website without providing any information. On certain pages, however, you may be asked to provide personal information--examples are when you subscribe to Washingtonian Magazine, renew your subscription, purchase a holiday gift subscription, submit a customer service inquiry, or make a purchase. You may also be asked to provide personal information if you participate in sweepstakes and contests, surveys, message boards and chat rooms, or other interactive areas of our site.  "
