annotation_ID,segment_ID,category,attr_val,policy_ID,segment_text
5419,0,Other,"{""Other Type"": {""endIndexInSegment"": 214, ""startIndexInSegment"": 57, ""selectedText"": ""THIS NOTICE DESCRIBES HOW MEDICAL INFORMATION ABOUT YOU MAY BE USED AND DISCLOSED AND HOW YOU CAN GET ACCESS TO THIS INFORMATION. PLEASE REVIEW IT CAREFULLY."", ""value"": ""Introductory/Generic""}}",517, NOTICE OF PRIVACY PRACTICES    THIS NOTICE DESCRIBES HOW MEDICAL INFORMATION ABOUT YOU MAY BE USED AND DISCLOSED AND HOW YOU CAN GET ACCESS TO THIS INFORMATION. PLEASE REVIEW IT CAREFULLY.  
6419,0,Other,"{""Other Type"": {""endIndexInSegment"": 214, ""startIndexInSegment"": 57, ""selectedText"": ""THIS NOTICE DESCRIBES HOW MEDICAL INFORMATION ABOUT YOU MAY BE USED AND DISCLOSED AND HOW YOU CAN GET ACCESS TO THIS INFORMATION. PLEASE REVIEW IT CAREFULLY."", ""value"": ""Introductory/Generic""}}",517, NOTICE OF PRIVACY PRACTICES    THIS NOTICE DESCRIBES HOW MEDICAL INFORMATION ABOUT YOU MAY BE USED AND DISCLOSED AND HOW YOU CAN GET ACCESS TO THIS INFORMATION. PLEASE REVIEW IT CAREFULLY.  
7118,0,Other,"{""Other Type"": {""endIndexInSegment"": 214, ""startIndexInSegment"": 57, ""selectedText"": ""THIS NOTICE DESCRIBES HOW MEDICAL INFORMATION ABOUT YOU MAY BE USED AND DISCLOSED AND HOW YOU CAN GET ACCESS TO THIS INFORMATION. PLEASE REVIEW IT CAREFULLY."", ""value"": ""Introductory/Generic""}}",517, NOTICE OF PRIVACY PRACTICES    THIS NOTICE DESCRIBES HOW MEDICAL INFORMATION ABOUT YOU MAY BE USED AND DISCLOSED AND HOW YOU CAN GET ACCESS TO THIS INFORMATION. PLEASE REVIEW IT CAREFULLY.  
5420,1,Other,"{""Other Type"": {""endIndexInSegment"": 216, ""startIndexInSegment"": 210, ""selectedText"": ""breach"", ""value"": ""Other""}}",517,"Kaleida Health is required by law to protect the privacy of health information that may reveal your identity, to provide you with this notice of our privacy practices, and to notify you if we become aware of a breach of your health information. A copy of our current notice is posted in our reception areas. You will also be able to obtain your own copies by accessing our website at www.Kaleidahealth.org, calling our office at 716-859- 8559 or asking for one at the time of your next visit.  "
6421,1,Data Security,"{""Security Measure"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 0, ""selectedText"": ""Kaleida Health is required by law to protect the privacy of health information that may reveal your identity"", ""value"": ""Other""}}",517,"Kaleida Health is required by law to protect the privacy of health information that may reveal your identity, to provide you with this notice of our privacy practices, and to notify you if we become aware of a breach of your health information. A copy of our current notice is posted in our reception areas. You will also be able to obtain your own copies by accessing our website at www.Kaleidahealth.org, calling our office at 716-859- 8559 or asking for one at the time of your next visit.  "
7119,1,Other,"{""Other Type"": {""endIndexInSegment"": 492, ""startIndexInSegment"": 0, ""selectedText"": ""Kaleida Health is required by law to protect the privacy of health information that may reveal your identity, to provide you with this notice of our privacy practices, and to notify you if we become aware of a breach of your health information. A copy of our current notice is posted in our reception areas. You will also be able to obtain your own copies by accessing our website at www.Kaleidahealth.org, calling our office at 716-859- 8559 or asking for one at the time of your next visit."", ""value"": ""Introductory/Generic""}}",517,"Kaleida Health is required by law to protect the privacy of health information that may reveal your identity, to provide you with this notice of our privacy practices, and to notify you if we become aware of a breach of your health information. A copy of our current notice is posted in our reception areas. You will also be able to obtain your own copies by accessing our website at www.Kaleidahealth.org, calling our office at 716-859- 8559 or asking for one at the time of your next visit.  "
7120,1,Other,"{""Other Type"": {""endIndexInSegment"": 492, ""startIndexInSegment"": 244, ""selectedText"": ""A copy of our current notice is posted in our reception areas. You will also be able to obtain your own copies by accessing our website at www.Kaleidahealth.org, calling our office at 716-859- 8559 or asking for one at the time of your next visit."", ""value"": ""Privacy contact information""}}",517,"Kaleida Health is required by law to protect the privacy of health information that may reveal your identity, to provide you with this notice of our privacy practices, and to notify you if we become aware of a breach of your health information. A copy of our current notice is posted in our reception areas. You will also be able to obtain your own copies by accessing our website at www.Kaleidahealth.org, calling our office at 716-859- 8559 or asking for one at the time of your next visit.  "
5421,2,Other,"{""Other Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 0, ""selectedText"": ""If you have any questions about this notice or would like further information, please contact the Kaleida Health Privacy Officer at 716-859-8559."", ""value"": ""Privacy contact information""}}",517,"If you have any questions about this notice or would like further information, please contact the Kaleida Health Privacy Officer at 716-859-8559.  "
6420,2,Other,"{""Other Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 98, ""selectedText"": ""Kaleida Health Privacy Officer at 716-859-8559."", ""value"": ""Privacy contact information""}}",517,"If you have any questions about this notice or would like further information, please contact the Kaleida Health Privacy Officer at 716-859-8559.  "
7121,2,Other,"{""Other Type"": {""endIndexInSegment"": 145, ""startIndexInSegment"": 0, ""selectedText"": ""If you have any questions about this notice or would like further information, please contact the Kaleida Health Privacy Officer at 716-859-8559."", ""value"": ""Privacy contact information""}}",517,"If you have any questions about this notice or would like further information, please contact the Kaleida Health Privacy Officer at 716-859-8559.  "
