annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
13126,121,0,Other,"{""Other Type"": {""endIndexInSegment"": 45, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy, Security, and Accessibility Policies"", ""value"": ""Introductory/Generic""}}",523,"Privacy, Security, and Accessibility Policies  "
12888,117,0,Other,"{""Other Type"": {""endIndexInSegment"": 45, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy, Security, and Accessibility Policies"", ""value"": ""Introductory/Generic""}}",523,"Privacy, Security, and Accessibility Policies  "
11934,118,0,Other,"{""Other Type"": {""endIndexInSegment"": 45, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy, Security, and Accessibility Policies"", ""value"": ""Introductory/Generic""}}",523,"Privacy, Security, and Accessibility Policies  "
13127,121,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 73, ""selectedText"": ""unless you choose to provide that information."", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 45, ""selectedText"": ""when you visit our web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 24, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 73, ""selectedText"": ""unless you choose to provide that information."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 23, ""startIndexInSegment"": 8, ""selectedText"": ""doesn't collect"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",523,USA.gov doesn't collect personal information when you visit our web site unless you choose to provide that information.  
12889,117,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 118, ""startIndexInSegment"": 84, ""selectedText"": ""choose to provide that information"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 45, ""selectedText"": ""when you visit our web site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 24, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 23, ""startIndexInSegment"": 8, ""selectedText"": ""doesn't collect"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",523,USA.gov doesn't collect personal information when you visit our web site unless you choose to provide that information.  
11935,118,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 72, ""startIndexInSegment"": 45, ""selectedText"": ""when you visit our web site"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": 118, ""startIndexInSegment"": 94, ""selectedText"": ""provide that information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 23, ""startIndexInSegment"": 0, ""selectedText"": ""USA.gov doesn't collect"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 24, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 73, ""selectedText"": ""unless you choose to provide that information."", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 15, ""startIndexInSegment"": 8, ""selectedText"": ""doesn't"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",523,USA.gov doesn't collect personal information when you visit our web site unless you choose to provide that information.  
13128,121,2,Other,"{""Other Type"": {""endIndexInSegment"": 308, ""startIndexInSegment"": 0, ""selectedText"": ""What's on This Page Information Collected and Stored Automatically Site Security Use of Persistent Cookies Accessibility Policy External Links If You Send Us Personal Information"", ""value"": ""Introductory/Generic""}}",523,What's on This Page     Information Collected and Stored Automatically     Site Security     Use of Persistent Cookies     Accessibility Policy     External Links     If You Send Us Personal Information  
12890,117,2,Other,"{""Other Type"": {""endIndexInSegment"": 19, ""startIndexInSegment"": 0, ""selectedText"": ""What's on This Page"", ""value"": ""Introductory/Generic""}}",523,What's on This Page     Information Collected and Stored Automatically     Site Security     Use of Persistent Cookies     Accessibility Policy     External Links     If You Send Us Personal Information  
11936,118,2,Other,"{""Other Type"": {""endIndexInSegment"": 308, ""startIndexInSegment"": 0, ""selectedText"": ""What's on This Page Information Collected and Stored Automatically Site Security Use of Persistent Cookies Accessibility Policy External Links If You Send Us Personal Information"", ""value"": ""Introductory/Generic""}}",523,What's on This Page     Information Collected and Stored Automatically     Site Security     Use of Persistent Cookies     Accessibility Policy     External Links     If You Send Us Personal Information  
13129,121,3,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 55, ""startIndexInSegment"": 42, ""selectedText"": ""Automatically"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 98, ""startIndexInSegment"": 76, ""selectedText"": ""When you visit USA.gov"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 172, ""startIndexInSegment"": 143, ""selectedText"": ""the Internet protocol address"", ""value"": ""IP address and device IDs""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 21, ""selectedText"": ""Collected"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",523," Information Collected and Stored Automatically    When you visit USA.gov, we may store some or all of the following: the Internet protocol address from which you access USA.gov, date and time, the name of the web site from which you linked to USA.gov, the name of the file or words you searched, items clicked on a page, and the browser and operating system used.  "
