annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
13372,121,0,Other,"{""Other Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 9, ""selectedText"": ""PRIVACY POLICY Copyright 2008 Abita and ABITA.COM, LLC TM. All Right Reserved."", ""value"": ""Introductory/Generic""}}",571," PRIVACY POLICY    Copyright 2008 Abita and ABITA.COM, LLC TM. All Right Reserved.  "
13653,116,0,Other,"{""Other Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 9, ""selectedText"": ""PRIVACY POLICY </strong> <br> <br> Copyright 2008 Abita and ABITA.COM, LLC TM. All Right Reserved."", ""value"": ""Other""}}",571," PRIVACY POLICY    Copyright 2008 Abita and ABITA.COM, LLC TM. All Right Reserved.  "
12432,118,0,Other,"{""Other Type"": {""endIndexInSegment"": 107, ""startIndexInSegment"": 44, ""selectedText"": ""Copyright 2008 Abita and ABITA.COM, LLC TM. All Right Reserved."", ""value"": ""Introductory/Generic""}}",571," PRIVACY POLICY    Copyright 2008 Abita and ABITA.COM, LLC TM. All Right Reserved.  "
13373,121,1,Other,"{""Other Type"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 0, ""selectedText"": ""Abita is committed to protecting your privacy."", ""value"": ""Introductory/Generic""}}",571,"Abita is committed to protecting your privacy. By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.  "
13374,121,1,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 113, ""selectedText"": ""ollection and use"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 100, ""selectedText"": ""information"", ""value"": ""Unspecified""}}",571,"Abita is committed to protecting your privacy. By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.  "
13654,116,1,Data Security,"{""Security Measure"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 0, ""selectedText"": ""Abita is committed to protecting your privacy."", ""value"": ""Generic""}}",571,"Abita is committed to protecting your privacy. By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.  "
13655,116,1,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 176, ""startIndexInSegment"": 112, ""selectedText"": ""collection and use practices described in this privacy statement"", ""value"": ""First party collection""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 96, ""selectedText"": ""the information"", ""value"": ""Unspecified""}}",571,"Abita is committed to protecting your privacy. By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.  "
13656,116,1,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 130, ""startIndexInSegment"": 127, ""selectedText"": ""use"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 47, ""selectedText"": ""By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 111, ""startIndexInSegment"": 96, ""selectedText"": ""the information"", ""value"": ""Unspecified""}}",571,"Abita is committed to protecting your privacy. By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.  "
12433,118,1,Other,"{""Other Type"": {""endIndexInSegment"": 177, ""startIndexInSegment"": 0, ""selectedText"": ""Abita is committed to protecting your privacy. By accessing this website, you are consenting to the information collection and use practices described in this privacy statement."", ""value"": ""Introductory/Generic""}}",571,"Abita is committed to protecting your privacy. By accessing this website, you are consenting to the information collection and use practices described in this privacy statement.  "
13375,121,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 531, ""startIndexInSegment"": 500, ""selectedText"": ""personal information we collect"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 543, ""startIndexInSegment"": 532, ""selectedText"": ""may include"", ""value"": ""Other""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 494, ""startIndexInSegment"": 168, ""selectedText"": ""allows us to contact you to provide a service or carry out a transaction that you have requested such as receiving information about Abita products and services, entering a contest, ordering e-mail newsletters, joining a limited-access premium site or service, or when purchasing, downloading and/or registering Abita products"", ""value"": ""Basic service/feature""}}",571," Collection of your Personal Information:    We will ask you when we need information that personally identifies you (personal information) or allows us to contact you to provide a service or carry out a transaction that you have requested such as receiving information about Abita products and services, entering a contest, ordering e-mail newsletters, joining a limited-access premium site or service, or when purchasing, downloading and/or registering Abita products. The personal information we collect may include your name, title, company or organization name, work e-mail, work phone, work or home address, information about your job function, information about your company, information about circumstances related to your purchase, and payment information.  "
