annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
16572,121,0,User Choice/Control,"{""Choice Type"": {""selectedText"": ""by using our website, you accept and agree to the terms stated below."", ""startIndexInSegment"": 134, ""endIndexInSegment"": 203, ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",627," PRIVACY STATEMENT    Effective June 4, 2014   Please read this privacy statement carefully, because by using our website, you accept and agree to the terms stated below. We may change the terms of this privacy statement at any time, and your continued use of this site is your agreement to any change in terms.  "
16573,121,0,Policy Change,"{""Change Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""selectedText"": ""We may change the terms of this privacy statement at any time, and your continued use of this site is your agreement to any change in terms."", ""startIndexInSegment"": 204, ""endIndexInSegment"": 349, ""value"": ""None""}, ""Notification Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",627," PRIVACY STATEMENT    Effective June 4, 2014   Please read this privacy statement carefully, because by using our website, you accept and agree to the terms stated below. We may change the terms of this privacy statement at any time, and your continued use of this site is your agreement to any change in terms.  "
18103,117,0,Policy Change,"{""Change Type"": {""selectedText"": ""We may change the terms of this privacy statement at any time"", ""startIndexInSegment"": 204, ""endIndexInSegment"": 265, ""value"": ""Privacy relevant change""}, ""User Choice"": {""selectedText"": ""your continued use of this site is your agreement to any change in terms"", ""startIndexInSegment"": 271, ""endIndexInSegment"": 343, ""value"": ""None""}, ""Notification Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",627," PRIVACY STATEMENT    Effective June 4, 2014   Please read this privacy statement carefully, because by using our website, you accept and agree to the terms stated below. We may change the terms of this privacy statement at any time, and your continued use of this site is your agreement to any change in terms.  "
17162,118,0,Other,"{""Other Type"": {""selectedText"": ""Please read this privacy statement carefully, because by using our website, you accept and agree to the terms stated below. We may change the terms of this privacy statement at any time, and your continued use of this site is your agreement to any change in terms."", ""startIndexInSegment"": 80, ""endIndexInSegment"": 344, ""value"": ""Introductory/Generic""}}",627," PRIVACY STATEMENT    Effective June 4, 2014   Please read this privacy statement carefully, because by using our website, you accept and agree to the terms stated below. We may change the terms of this privacy statement at any time, and your continued use of this site is your agreement to any change in terms.  "
16571,121,1,Other,"{""Other Type"": {""selectedText"": ""We collect information through our website in a couple different ways."", ""startIndexInSegment"": 57, ""endIndexInSegment"": 137, ""value"": ""Introductory/Generic""}}",627, COLLECTION & USE OF INFORMATION.    We collect information through our website in a couple different ways.  
18104,117,1,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""We collect"", ""startIndexInSegment"": 62, ""endIndexInSegment"": 72, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""information"", ""startIndexInSegment"": 73, ""endIndexInSegment"": 84, ""value"": ""Generic personal information""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",627, COLLECTION & USE OF INFORMATION.    We collect information through our website in a couple different ways.  
17163,118,1,Other,"{""Other Type"": {""selectedText"": ""We collect information through our website in a couple different ways."", ""startIndexInSegment"": 62, ""endIndexInSegment"": 132, ""value"": ""Introductory/Generic""}}",627, COLLECTION & USE OF INFORMATION.    We collect information through our website in a couple different ways.  
16576,121,2,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""You give u"", ""startIndexInSegment"": 24, ""endIndexInSegment"": 34, ""value"": ""Explicit""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""selectedText"": ""when you join one of our loyalty clubs, enter one of our surveys, contests or sweepstakes, if you submit a question, comment or complaint, if you request or submit information about becoming a franchisee, if you submit an employment application, or for an online cake order."", ""startIndexInSegment"": 57, ""endIndexInSegment"": 331, ""value"": ""Other""}, ""Personal Information Type"": {""selectedText"": ""such as"", ""startIndexInSegment"": 411, ""endIndexInSegment"": 418, ""value"": ""Other""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""identifiable individual"", ""startIndexInSegment"": 386, ""endIndexInSegment"": 409, ""value"": ""Identifiable""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}}",627,"Information You Submit. You give us personal information when you join one of our loyalty clubs, enter one of our surveys, contests or sweepstakes, if you submit a question, comment or complaint, if you request or submit information about becoming a franchisee, if you submit an employment application, or for an online cake order. ""Personal information"" means any information about an identifiable individual, such as name, address, phone number, email, birth date, gender or zip code/postal code. Except with your consent or as required or permitted by law, we will use the information you submit for the purposes for which it is submitted or as otherwise described in this privacy statement. If you join one of our loyalty clubs, you may receive newsletters, email or special offers, which you may unsubscribe from at any time using the unsubscribe link at the bottom of the email.  "
16579,121,2,User Choice/Control,"{""Choice Type"": {""selectedText"": ""which you may unsubscribe from at any time using the unsubscribe link at the bottom of the email."", ""startIndexInSegment"": 787, ""endIndexInSegment"": 884, ""value"": ""Opt-out link""}, ""Choice Scope"": {""selectedText"": ""If you join one of our loyalty clubs, you may receive newsletters, email or special offers,"", ""startIndexInSegment"": 695, ""endIndexInSegment"": 786, ""value"": ""First party use""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""selectedText"": ""unsubscribe"", ""startIndexInSegment"": 801, ""endIndexInSegment"": 812, ""value"": ""Unspecified""}}",627,"Information You Submit. You give us personal information when you join one of our loyalty clubs, enter one of our surveys, contests or sweepstakes, if you submit a question, comment or complaint, if you request or submit information about becoming a franchisee, if you submit an employment application, or for an online cake order. ""Personal information"" means any information about an identifiable individual, such as name, address, phone number, email, birth date, gender or zip code/postal code. Except with your consent or as required or permitted by law, we will use the information you submit for the purposes for which it is submitted or as otherwise described in this privacy statement. If you join one of our loyalty clubs, you may receive newsletters, email or special offers, which you may unsubscribe from at any time using the unsubscribe link at the bottom of the email.  "
18105,117,2,First Party Collection/Use,"{""Collection Mode"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""selectedText"": ""Information You Submit"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 22, ""value"": ""Collect on website""}, ""Personal Information Type"": {""selectedText"": ""name, address, phone number, email, birth date, gender or zip code/postal code."", ""startIndexInSegment"": 419, ""endIndexInSegment"": 498, ""value"": ""Contact""}, ""Choice Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""null"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""selectedText"": ""If you join one of our loyalty clubs, you may receive newsletters, email or special offers,"", ""startIndexInSegment"": 695, ""endIndexInSegment"": 786, ""value"": ""Additional service/feature""}}",627,"Information You Submit. You give us personal information when you join one of our loyalty clubs, enter one of our surveys, contests or sweepstakes, if you submit a question, comment or complaint, if you request or submit information about becoming a franchisee, if you submit an employment application, or for an online cake order. ""Personal information"" means any information about an identifiable individual, such as name, address, phone number, email, birth date, gender or zip code/postal code. Except with your consent or as required or permitted by law, we will use the information you submit for the purposes for which it is submitted or as otherwise described in this privacy statement. If you join one of our loyalty clubs, you may receive newsletters, email or special offers, which you may unsubscribe from at any time using the unsubscribe link at the bottom of the email.  "
