annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
7637,95,0,Other,"{""Other Type"": {""endIndexInSegment"": 428, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy Last updated: December 31, 2014 GameStop knows that you care about your privacy and the use of your personal information. This notice describes our Privacy Policy. This Privacy Policy applies to information we collect about you from any source - through our Websites, in our retail stores, through our Power-Up Rewards Program, in any contest or promotion, or any other way."", ""value"": ""Introductory/Generic""}}",640," Privacy Policy    Last updated: December 31, 2014   GameStop knows that you care about your privacy and the use of your personal information. This notice describes our Privacy Policy. This Privacy Policy applies to information we collect about you from any source - through our Websites, in our retail stores, through our Power-Up Rewards Program, in any contest or promotion, or any other way.  "
8636,103,0,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 428, ""startIndexInSegment"": 218, ""selectedText"": ""This Privacy Policy applies to information we collect about you from any source - through our Websites, in our retail stores, through our Power-Up Rewards Program, in any contest or promotion, or any other way."", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 297, ""startIndexInSegment"": 249, ""selectedText"": ""information we collect about you from any source"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",640," Privacy Policy    Last updated: December 31, 2014   GameStop knows that you care about your privacy and the use of your personal information. This notice describes our Privacy Policy. This Privacy Policy applies to information we collect about you from any source - through our Websites, in our retail stores, through our Power-Up Rewards Program, in any contest or promotion, or any other way.  "
8638,103,0,Other,"{""Other Type"": {""endIndexInSegment"": 175, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy Policy Last updated: December 31, 2014 GameStop knows that you care about your privacy and the use of your personal information."", ""value"": ""Introductory/Generic""}}",640," Privacy Policy    Last updated: December 31, 2014   GameStop knows that you care about your privacy and the use of your personal information. This notice describes our Privacy Policy. This Privacy Policy applies to information we collect about you from any source - through our Websites, in our retail stores, through our Power-Up Rewards Program, in any contest or promotion, or any other way.  "
8639,103,0,Other,"{""Other Type"": {""endIndexInSegment"": 428, ""startIndexInSegment"": 218, ""selectedText"": ""This Privacy Policy applies to information we collect about you from any source - through our Websites, in our retail stores, through our Power-Up Rewards Program, in any contest or promotion, or any other way."", ""value"": ""Privacy contact information""}}",640," Privacy Policy    Last updated: December 31, 2014   GameStop knows that you care about your privacy and the use of your personal information. This notice describes our Privacy Policy. This Privacy Policy applies to information we collect about you from any source - through our Websites, in our retail stores, through our Power-Up Rewards Program, in any contest or promotion, or any other way.  "
22271,123,0,Other,"{""Other Type"": {""endIndexInSegment"": 428, ""startIndexInSegment"": 44, ""selectedText"": ""Last updated: December 31, 2014 GameStop knows that you care about your privacy and the use of your personal information. This notice describes our Privacy Policy. This Privacy Policy applies to information we collect about you from any source - through our Websites, in our retail stores, through our Power-Up Rewards Program, in any contest or promotion, or any other way."", ""value"": ""Introductory/Generic""}}",640," Privacy Policy    Last updated: December 31, 2014   GameStop knows that you care about your privacy and the use of your personal information. This notice describes our Privacy Policy. This Privacy Policy applies to information we collect about you from any source - through our Websites, in our retail stores, through our Power-Up Rewards Program, in any contest or promotion, or any other way.  "
7638,95,1,Other,"{""Other Type"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting a GameStop Website or retail store, participating in our PowerUp Rewards Program, or otherwise providing information to GameStop you are accepting the practices described in this Privacy Policy."", ""value"": ""Introductory/Generic""}}",640,"By visiting a GameStop Website or retail store, participating in our PowerUp Rewards Program, or otherwise providing information to GameStop you are accepting the practices described in this Privacy Policy.  "
8637,103,1,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting a GameStop Website or retail store, participating in our PowerUp Rewards Program, or otherwise providing information to GameStop you are accepting the practices described in this Privacy Policy."", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",640,"By visiting a GameStop Website or retail store, participating in our PowerUp Rewards Program, or otherwise providing information to GameStop you are accepting the practices described in this Privacy Policy.  "
22272,123,1,Other,"{""Other Type"": {""endIndexInSegment"": 206, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting a GameStop Website or retail store, participating in our PowerUp Rewards Program, or otherwise providing information to GameStop you are accepting the practices described in this Privacy Policy."", ""value"": ""Introductory/Generic""}}",640,"By visiting a GameStop Website or retail store, participating in our PowerUp Rewards Program, or otherwise providing information to GameStop you are accepting the practices described in this Privacy Policy.  "
7639,95,2,Other,"{""Other Type"": {""endIndexInSegment"": 687, ""startIndexInSegment"": 0, ""selectedText"": ""In this Privacy Policy, \""GameStop\"" means GameStop, Inc., its Websites and its retail stores located in the United States, Guam, and Puerto Rico. \""Website(s)\"" means GameStop operated websites and mobile applications, including GameStop.com and PowerUpRewards.com. Our Websites may contain links to other websites. GameStop is not responsible for the privacy practices or the content of such other websites. This Privacy Policy does not apply to other GameStop brands such as BuyMyTronics, Game Informer, Kongregate, or PC Downloads, each of which has its own privacy policy. The word \""computer\"" means any device used to connect to a Website, including, but not limited to, mobile devices."", ""value"": ""Introductory/Generic""}}",640,"In this Privacy Policy, ""GameStop"" means GameStop, Inc., its Websites and its retail stores located in the United States, Guam, and Puerto Rico. ""Website(s)"" means GameStop operated websites and mobile applications, including GameStop.com and PowerUpRewards.com. Our Websites may contain links to other websites. GameStop is not responsible for the privacy practices or the content of such other websites. This Privacy Policy does not apply to other GameStop brands such as BuyMyTronics, Game Informer, Kongregate, or PC Downloads, each of which has its own privacy policy. The word ""computer"" means any device used to connect to a Website, including, but not limited to, mobile devices.  "
8640,103,2,Other,"{""Other Type"": {""endIndexInSegment"": 573, ""startIndexInSegment"": 313, ""selectedText"": ""GameStop is not responsible for the privacy practices or the content of such other websites. This Privacy Policy does not apply to other GameStop brands such as BuyMyTronics, Game Informer, Kongregate, or PC Downloads, each of which has its own privacy policy."", ""value"": ""Practice not covered""}}",640,"In this Privacy Policy, ""GameStop"" means GameStop, Inc., its Websites and its retail stores located in the United States, Guam, and Puerto Rico. ""Website(s)"" means GameStop operated websites and mobile applications, including GameStop.com and PowerUpRewards.com. Our Websites may contain links to other websites. GameStop is not responsible for the privacy practices or the content of such other websites. This Privacy Policy does not apply to other GameStop brands such as BuyMyTronics, Game Informer, Kongregate, or PC Downloads, each of which has its own privacy policy. The word ""computer"" means any device used to connect to a Website, including, but not limited to, mobile devices.  "
