annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
4858,84,0,Other,"{""Other Type"": {""endIndexInSegment"": 211, ""startIndexInSegment"": 52, ""selectedText"": ""Trust is a cornerstone of our mission at CBS Interactive. We are committed to gaining and maintaining your trust by following a core set of Privacy Principles."", ""value"": ""Introductory/Generic""}}",641,CBS Interactive Privacy Policy Highlights   Trust is a cornerstone of our mission at CBS Interactive. We are committed to gaining and maintaining your trust by following a core set of Privacy Principles.  
5906,88,0,Other,"{""Other Type"": {""endIndexInSegment"": 211, ""startIndexInSegment"": 52, ""selectedText"": ""Trust is a cornerstone of our mission at CBS Interactive. We are committed to gaining and maintaining your trust by following a core set of Privacy Principles."", ""value"": ""Other""}}",641,CBS Interactive Privacy Policy Highlights   Trust is a cornerstone of our mission at CBS Interactive. We are committed to gaining and maintaining your trust by following a core set of Privacy Principles.  
6405,82,0,Other,"{""Other Type"": {""endIndexInSegment"": 211, ""startIndexInSegment"": 0, ""selectedText"": ""CBS Interactive Privacy Policy Highlights Trust is a cornerstone of our mission at CBS Interactive. We are committed to gaining and maintaining your trust by following a core set of Privacy Principles."", ""value"": ""Introductory/Generic""}}",641,CBS Interactive Privacy Policy Highlights   Trust is a cornerstone of our mission at CBS Interactive. We are committed to gaining and maintaining your trust by following a core set of Privacy Principles.  
4859,84,1,Other,"{""Other Type"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 0, ""selectedText"": ""Note: The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy. Click here for more information about the updates."", ""value"": ""Introductory/Generic""}}",641,"Note: The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy. Click here for more information about the updates.  "
5907,88,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 254, ""startIndexInSegment"": 6, ""selectedText"": ""The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 254, ""startIndexInSegment"": 153, ""selectedText"": ""By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 58, ""startIndexInSegment"": 6, ""selectedText"": ""The CBS Interactive Privacy Policy has been updated."", ""value"": ""General notice in privacy policy""}}",641,"Note: The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy. Click here for more information about the updates.  "
6407,82,1,Other,"{""Other Type"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 0, ""selectedText"": ""Note: The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy. Click here for more information about the updates."", ""value"": ""Introductory/Generic""}}",641,"Note: The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy. Click here for more information about the updates.  "
6408,82,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 305, ""startIndexInSegment"": 0, ""selectedText"": ""Note: The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy. Click here for more information about the updates."", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",641,"Note: The CBS Interactive Privacy Policy has been updated. Please review the updated privacy policy carefully before using the CBS Interactive Services. By using any of the CBS Interactive Services, you consent to the terms of the updated privacy policy. Click here for more information about the updates.  "
4860,84,2,Other,"{""Other Type"": {""endIndexInSegment"": 410, ""startIndexInSegment"": 34, ""selectedText"": ""CBS Interactive owns, operates, or provides access to, several interactive web sites and other interactive features that provide an authorized link to the CBS Interactive Privacy Policy (collectively \""CBS Interactive Services\""). This Privacy Policy, last modified on May 28, 2015, is guided by a core set of Privacy Principles and applies only to the CBS Interactive Services."", ""value"": ""Introductory/Generic""}}",641,"Scope of Privacy Policy   CBS Interactive owns, operates, or provides access to, several interactive web sites and other interactive features that provide an authorized link to the CBS Interactive Privacy Policy (collectively ""CBS Interactive Services""). This Privacy Policy, last modified on May 28, 2015, is guided by a core set of Privacy Principles and applies only to the CBS Interactive Services.  "
5908,88,2,Other,"{""Other Type"": {""endIndexInSegment"": 410, ""startIndexInSegment"": 34, ""selectedText"": ""CBS Interactive owns, operates, or provides access to, several interactive web sites and other interactive features that provide an authorized link to the CBS Interactive Privacy Policy (collectively \""CBS Interactive Services\""). This Privacy Policy, last modified on May 28, 2015, is guided by a core set of Privacy Principles and applies only to the CBS Interactive Services."", ""value"": ""Introductory/Generic""}}",641,"Scope of Privacy Policy   CBS Interactive owns, operates, or provides access to, several interactive web sites and other interactive features that provide an authorized link to the CBS Interactive Privacy Policy (collectively ""CBS Interactive Services""). This Privacy Policy, last modified on May 28, 2015, is guided by a core set of Privacy Principles and applies only to the CBS Interactive Services.  "
6409,82,2,Other,"{""Other Type"": {""endIndexInSegment"": 410, ""startIndexInSegment"": 34, ""selectedText"": ""CBS Interactive owns, operates, or provides access to, several interactive web sites and other interactive features that provide an authorized link to the CBS Interactive Privacy Policy (collectively \""CBS Interactive Services\""). This Privacy Policy, last modified on May 28, 2015, is guided by a core set of Privacy Principles and applies only to the CBS Interactive Services."", ""value"": ""Introductory/Generic""}}",641,"Scope of Privacy Policy   CBS Interactive owns, operates, or provides access to, several interactive web sites and other interactive features that provide an authorized link to the CBS Interactive Privacy Policy (collectively ""CBS Interactive Services""). This Privacy Policy, last modified on May 28, 2015, is guided by a core set of Privacy Principles and applies only to the CBS Interactive Services.  "
