annotation_ID,segment_ID,category,attr_val,policy_ID,segment_text
4461,0,Other,"{""Other Type"": {""endIndexInSegment"": 59, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy statement Farlex, Inc."", ""value"": ""Introductory/Generic""}}",642," Privacy statement    Farlex, Inc.  "
14160,0,Other,"{""Other Type"": {""endIndexInSegment"": 59, ""startIndexInSegment"": 9, ""selectedText"": ""Privacy statement Farlex, Inc."", ""value"": ""Introductory/Generic""}}",642," Privacy statement    Farlex, Inc.  "
4462,1,Other,"{""Other Type"": {""endIndexInSegment"": 443, ""startIndexInSegment"": 0, ""selectedText"": ""Farlex is a privately owned corporation operating in Pennsylvania, USA. Farlex is committed to providing you with excellent service for all of our products. We respect your right to privacy, and have developed this Privacy Statement to inform you about our privacy practices for the entire Farlex Web site and all its entities (which includes the farlex.com, thefreedictionary.com, thefreelibrary.com, tfd.com, and spellingcenter.com domains)."", ""value"": ""Introductory/Generic""}}",642,"Farlex is a privately owned corporation operating in Pennsylvania, USA. Farlex is committed to providing you with excellent service for all of our products. We respect your right to privacy, and have developed this Privacy Statement to inform you about our privacy practices for the entire Farlex Web site and all its entities (which includes the farlex.com, thefreedictionary.com, thefreelibrary.com, tfd.com, and spellingcenter.com domains).  "
7500,1,Other,"{""Other Type"": {""endIndexInSegment"": 443, ""startIndexInSegment"": 0, ""selectedText"": ""Farlex is a privately owned corporation operating in Pennsylvania, USA. Farlex is committed to providing you with excellent service for all of our products. We respect your right to privacy, and have developed this Privacy Statement to inform you about our privacy practices for the entire Farlex Web site and all its entities (which includes the farlex.com, thefreedictionary.com, thefreelibrary.com, tfd.com, and spellingcenter.com domains)."", ""value"": ""Introductory/Generic""}}",642,"Farlex is a privately owned corporation operating in Pennsylvania, USA. Farlex is committed to providing you with excellent service for all of our products. We respect your right to privacy, and have developed this Privacy Statement to inform you about our privacy practices for the entire Farlex Web site and all its entities (which includes the farlex.com, thefreedictionary.com, thefreelibrary.com, tfd.com, and spellingcenter.com domains).  "
14161,1,Other,"{""Other Type"": {""endIndexInSegment"": 443, ""startIndexInSegment"": 0, ""selectedText"": ""Farlex is a privately owned corporation operating in Pennsylvania, USA. Farlex is committed to providing you with excellent service for all of our products. We respect your right to privacy, and have developed this Privacy Statement to inform you about our privacy practices for the entire Farlex Web site and all its entities (which includes the farlex.com, thefreedictionary.com, thefreelibrary.com, tfd.com, and spellingcenter.com domains)."", ""value"": ""Introductory/Generic""}}",642,"Farlex is a privately owned corporation operating in Pennsylvania, USA. Farlex is committed to providing you with excellent service for all of our products. We respect your right to privacy, and have developed this Privacy Statement to inform you about our privacy practices for the entire Farlex Web site and all its entities (which includes the farlex.com, thefreedictionary.com, thefreelibrary.com, tfd.com, and spellingcenter.com domains).  "
4463,2,Other,"{""Other Type"": {""endIndexInSegment"": 276, ""startIndexInSegment"": 38, ""selectedText"": ""Privacy is of great concern to most users of the Internet, and is a critical part of an enjoyable and satisfactory user experience. We at Farlex are sensitive to the privacy concerns of our subscribers and other visitors to our Web sites."", ""value"": ""Introductory/Generic""}}",642," Overview    Privacy is of great concern to most users of the Internet, and is a critical part of an enjoyable and satisfactory user experience. We at Farlex are sensitive to the privacy concerns of our subscribers and other visitors to our Web sites. Whether you are a subscriber or a visitor to our site, we assure you that we do not collect personal information from you unless you provide it to us . If you are subscribing to our premium products, you may be asked to provide certain personal and credit card information. Please note, however, that we are asking for this information for the limited purposes of managing your subscription. You should also be assured that we do not provide or sell information about our customers or site visitors to anyone except our payment gateway provider for the sole purpose of credit card processing. Please note that our sites contain links to other sites. Farlex is not responsible for the privacy practices, privacy statements, or content regarding these other sites.  "
4464,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 426, ""startIndexInSegment"": 361, ""selectedText"": ""collect personal information from you unless you provide it to us"", ""value"": ""Implicit""}, ""Choice Scope"": {""endIndexInSegment"": 426, ""startIndexInSegment"": 361, ""selectedText"": ""collect personal information from you unless you provide it to us"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 398, ""startIndexInSegment"": 361, ""selectedText"": ""collect personal information from you"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 426, ""startIndexInSegment"": 399, ""selectedText"": ""unless you provide it to us"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 389, ""startIndexInSegment"": 369, ""selectedText"": ""personal information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 360, ""startIndexInSegment"": 351, ""selectedText"": ""we do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",642," Overview    Privacy is of great concern to most users of the Internet, and is a critical part of an enjoyable and satisfactory user experience. We at Farlex are sensitive to the privacy concerns of our subscribers and other visitors to our Web sites. Whether you are a subscriber or a visitor to our site, we assure you that we do not collect personal information from you unless you provide it to us . If you are subscribing to our premium products, you may be asked to provide certain personal and credit card information. Please note, however, that we are asking for this information for the limited purposes of managing your subscription. You should also be assured that we do not provide or sell information about our customers or site visitors to anyone except our payment gateway provider for the sole purpose of credit card processing. Please note that our sites contain links to other sites. Farlex is not responsible for the privacy practices, privacy statements, or content regarding these other sites.  "
4465,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 549, ""startIndexInSegment"": 497, ""selectedText"": ""provide certain personal and credit card information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 266, ""selectedText"": ""Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 429, ""selectedText"": ""If you are subscribing to our premium products"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 440, ""selectedText"": ""subscribing to our premium products"", ""value"": ""Additional service/feature""}}",642," Overview    Privacy is of great concern to most users of the Internet, and is a critical part of an enjoyable and satisfactory user experience. We at Farlex are sensitive to the privacy concerns of our subscribers and other visitors to our Web sites. Whether you are a subscriber or a visitor to our site, we assure you that we do not collect personal information from you unless you provide it to us . If you are subscribing to our premium products, you may be asked to provide certain personal and credit card information. Please note, however, that we are asking for this information for the limited purposes of managing your subscription. You should also be assured that we do not provide or sell information about our customers or site visitors to anyone except our payment gateway provider for the sole purpose of credit card processing. Please note that our sites contain links to other sites. Farlex is not responsible for the privacy practices, privacy statements, or content regarding these other sites.  "
4466,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 549, ""startIndexInSegment"": 497, ""selectedText"": ""provide certain personal and credit card information"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 266, ""selectedText"": ""Web sites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 549, ""startIndexInSegment"": 526, ""selectedText"": ""credit card information"", ""value"": ""Financial""}, ""Choice Type"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 429, ""selectedText"": ""If you are subscribing to our premium products"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": 521, ""startIndexInSegment"": 505, ""selectedText"": ""certain personal"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 504, ""startIndexInSegment"": 477, ""selectedText"": ""you may be asked to provide"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 475, ""startIndexInSegment"": 440, ""selectedText"": ""subscribing to our premium products"", ""value"": ""Additional service/feature""}}",642," Overview    Privacy is of great concern to most users of the Internet, and is a critical part of an enjoyable and satisfactory user experience. We at Farlex are sensitive to the privacy concerns of our subscribers and other visitors to our Web sites. Whether you are a subscriber or a visitor to our site, we assure you that we do not collect personal information from you unless you provide it to us . If you are subscribing to our premium products, you may be asked to provide certain personal and credit card information. Please note, however, that we are asking for this information for the limited purposes of managing your subscription. You should also be assured that we do not provide or sell information about our customers or site visitors to anyone except our payment gateway provider for the sole purpose of credit card processing. Please note that our sites contain links to other sites. Farlex is not responsible for the privacy practices, privacy statements, or content regarding these other sites.  "
4467,2,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 785, ""startIndexInSegment"": 779, ""selectedText"": ""anyone"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 738, ""startIndexInSegment"": 727, ""selectedText"": ""information"", ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 710, ""startIndexInSegment"": 704, ""selectedText"": ""do not"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 718, ""startIndexInSegment"": 711, ""selectedText"": ""provide"", ""value"": ""Receive/Shared with""}}",642," Overview    Privacy is of great concern to most users of the Internet, and is a critical part of an enjoyable and satisfactory user experience. We at Farlex are sensitive to the privacy concerns of our subscribers and other visitors to our Web sites. Whether you are a subscriber or a visitor to our site, we assure you that we do not collect personal information from you unless you provide it to us . If you are subscribing to our premium products, you may be asked to provide certain personal and credit card information. Please note, however, that we are asking for this information for the limited purposes of managing your subscription. You should also be assured that we do not provide or sell information about our customers or site visitors to anyone except our payment gateway provider for the sole purpose of credit card processing. Please note that our sites contain links to other sites. Farlex is not responsible for the privacy practices, privacy statements, or content regarding these other sites.  "
