annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
14956,95,0,Other,"{""Other Type"": {""endIndexInSegment"": 7, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy"", ""value"": ""Introductory/Generic""}}",676,Privacy  
24592,118,0,Other,"{""Other Type"": {""selectedText"": ""Privacy"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 7, ""value"": ""Introductory/Generic""}}",676,Privacy  
13743,103,1,Other,"{""Other Type"": {""endIndexInSegment"": 386, ""startIndexInSegment"": 23, ""selectedText"": ""Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used. To make this notice easy to find, we make it available on our homepage and at every point where personally identifiable information may be requested."", ""value"": ""Introductory/Generic""}}",676,"Your Privacy   Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used. To make this notice easy to find, we make it available on our homepage and at every point where personally identifiable information may be requested.  "
14957,95,1,Other,"{""Other Type"": {""endIndexInSegment"": 386, ""startIndexInSegment"": 0, ""selectedText"": ""Your Privacy Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used. To make this notice easy to find, we make it available on our homepage and at every point where personally identifiable information may be requested."", ""value"": ""Introductory/Generic""}}",676,"Your Privacy   Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used. To make this notice easy to find, we make it available on our homepage and at every point where personally identifiable information may be requested.  "
24593,118,1,Other,"{""Other Type"": {""selectedText"": ""Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used. To make this notice easy to find, we make it available on our homepage and at every point where personally identifiable information may be requested."", ""startIndexInSegment"": 23, ""endIndexInSegment"": 386, ""value"": ""Introductory/Generic""}}",676,"Your Privacy   Your privacy is important to us. To better protect your privacy we provide this notice explaining our online information practices and the choices you can make about the way your information is collected and used. To make this notice easy to find, we make it available on our homepage and at every point where personally identifiable information may be requested.  "
13744,103,2,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 102, ""startIndexInSegment"": 57, ""selectedText"": ""Google, as a third party advertisement vendor"", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 306, ""startIndexInSegment"": 117, ""selectedText"": ""to serve ads on this site. The use of DART cookies by Google enables them to serve adverts to visitors that are based on their visits to this website as well as other sites on the internet."", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 104, ""selectedText"": ""uses cookies to serve ads on this site. The use of DART cookies"", ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 219, ""startIndexInSegment"": 211, ""selectedText"": ""visitors"", ""value"": ""Other""}, ""Action Third Party"": {""endIndexInSegment"": 306, ""startIndexInSegment"": 57, ""selectedText"": ""Google, as a third party advertisement vendor, uses cookies to serve ads on this site. The use of DART cookies by Google enables them to serve adverts to visitors that are based on their visits to this website as well as other sites on the internet."", ""value"": ""Track on first party website/app""}}",676,"Google Adsense and the DoubleClick DART Cookie   Google, as a third party advertisement vendor, uses cookies to serve ads on this site. The use of DART cookies by Google enables them to serve adverts to visitors that are based on their visits to this website as well as other sites on the internet.  "
14958,95,2,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 14, ""startIndexInSegment"": 0, ""selectedText"": ""Google Adsense"", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 129, ""startIndexInSegment"": 126, ""selectedText"": ""ads"", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 306, ""startIndexInSegment"": 244, ""selectedText"": ""visits to this website as well as other sites on the internet."", ""value"": ""User online activities""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 116, ""startIndexInSegment"": 104, ""selectedText"": ""uses cookies"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 142, ""startIndexInSegment"": 104, ""selectedText"": ""uses cookies to serve ads on this site"", ""value"": ""Collect on first party website/app""}}",676,"Google Adsense and the DoubleClick DART Cookie   Google, as a third party advertisement vendor, uses cookies to serve ads on this site. The use of DART cookies by Google enables them to serve adverts to visitors that are based on their visits to this website as well as other sites on the internet.  "
24594,118,2,Third Party Sharing/Collection,"{""Third Party Entity"": {""selectedText"": ""Google, as a third party advertisement vendor,"", ""startIndexInSegment"": 57, ""endIndexInSegment"": 103, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads on this site. The use of DART cookies by Google enables them to serve adverts"", ""startIndexInSegment"": 117, ""endIndexInSegment"": 207, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""cookies"", ""startIndexInSegment"": 109, ""endIndexInSegment"": 116, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""uses"", ""startIndexInSegment"": 104, ""endIndexInSegment"": 108, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""to visitors"", ""startIndexInSegment"": 208, ""endIndexInSegment"": 219, ""value"": ""User without account""}, ""Action Third Party"": {""selectedText"": ""that are based on their visits to this website"", ""startIndexInSegment"": 220, ""endIndexInSegment"": 266, ""value"": ""Track on first party website/app""}}",676,"Google Adsense and the DoubleClick DART Cookie   Google, as a third party advertisement vendor, uses cookies to serve ads on this site. The use of DART cookies by Google enables them to serve adverts to visitors that are based on their visits to this website as well as other sites on the internet.  "
24595,118,2,Third Party Sharing/Collection,"{""Third Party Entity"": {""selectedText"": ""Google, as a third party advertisement vendor,"", ""startIndexInSegment"": 57, ""endIndexInSegment"": 103, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads on this site. The use of DART cookies by Google enables them to serve adverts"", ""startIndexInSegment"": 117, ""endIndexInSegment"": 207, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""cookies"", ""startIndexInSegment"": 109, ""endIndexInSegment"": 116, ""value"": ""Cookies and tracking elements""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""uses"", ""startIndexInSegment"": 104, ""endIndexInSegment"": 108, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""to visitors"", ""startIndexInSegment"": 208, ""endIndexInSegment"": 219, ""value"": ""User without account""}, ""Action Third Party"": {""selectedText"": ""other sites on the internet."", ""startIndexInSegment"": 278, ""endIndexInSegment"": 306, ""value"": ""Other""}}",676,"Google Adsense and the DoubleClick DART Cookie   Google, as a third party advertisement vendor, uses cookies to serve ads on this site. The use of DART cookies by Google enables them to serve adverts to visitors that are based on their visits to this website as well as other sites on the internet.  "
24596,118,2,Third Party Sharing/Collection,"{""Third Party Entity"": {""selectedText"": ""Google, as a third party advertisement vendor,"", ""startIndexInSegment"": 57, ""endIndexInSegment"": 103, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads on this site. The use of DART cookies by Google enables them to serve adverts"", ""startIndexInSegment"": 117, ""endIndexInSegment"": 207, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""their visits to this website as well as other sites"", ""startIndexInSegment"": 238, ""endIndexInSegment"": 289, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""uses"", ""startIndexInSegment"": 104, ""endIndexInSegment"": 108, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""to visitors"", ""startIndexInSegment"": 208, ""endIndexInSegment"": 219, ""value"": ""User without account""}, ""Action Third Party"": {""selectedText"": ""that are based on their visits to this website"", ""startIndexInSegment"": 220, ""endIndexInSegment"": 266, ""value"": ""Track on first party website/app""}}",676,"Google Adsense and the DoubleClick DART Cookie   Google, as a third party advertisement vendor, uses cookies to serve ads on this site. The use of DART cookies by Google enables them to serve adverts to visitors that are based on their visits to this website as well as other sites on the internet.  "
24597,118,2,Third Party Sharing/Collection,"{""Third Party Entity"": {""selectedText"": ""Google, as a third party advertisement vendor,"", ""startIndexInSegment"": 57, ""endIndexInSegment"": 103, ""value"": ""Named third party""}, ""Choice Scope"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""to serve ads on this site. The use of DART cookies by Google enables them to serve adverts"", ""startIndexInSegment"": 117, ""endIndexInSegment"": 207, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""their visits to this website as well as other sites"", ""startIndexInSegment"": 238, ""endIndexInSegment"": 289, ""value"": ""User online activities""}, ""Choice Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""selectedText"": ""uses"", ""startIndexInSegment"": 104, ""endIndexInSegment"": 108, ""value"": ""Does""}, ""User Type"": {""selectedText"": ""to visitors"", ""startIndexInSegment"": 208, ""endIndexInSegment"": 219, ""value"": ""User without account""}, ""Action Third Party"": {""selectedText"": ""other sites on the internet."", ""startIndexInSegment"": 278, ""endIndexInSegment"": 306, ""value"": ""Other""}}",676,"Google Adsense and the DoubleClick DART Cookie   Google, as a third party advertisement vendor, uses cookies to serve ads on this site. The use of DART cookies by Google enables them to serve adverts to visitors that are based on their visits to this website as well as other sites on the internet.  "
13745,103,3,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 252, ""startIndexInSegment"": 0, ""selectedText"": ""To opt out of the DART cookies you may visit the Google ad and content network privacy policy at the following url http://www.google.com/privacy_ads.html Tracking of users through the DART cookie mechanisms are subject to Google's own privacy policies."", ""value"": ""Third-party privacy controls""}, ""Choice Scope"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 0, ""selectedText"": ""To opt out of the DART cookies"", ""value"": ""Third party sharing/collection""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 58, ""startIndexInSegment"": 49, ""selectedText"": ""Google ad"", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 18, ""selectedText"": ""DART cookies"", ""value"": ""Cookies and tracking elements""}}",676,To opt out of the DART cookies you may visit the Google ad and content network privacy policy at the following url http://www.google.com/privacy_ads.html Tracking of users through the DART cookie mechanisms are subject to Google's own privacy policies.  
14959,95,3,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 153, ""startIndexInSegment"": 0, ""selectedText"": ""To opt out of the DART cookies you may visit the Google ad and content network privacy policy at the following url http://www.google.com/privacy_ads.html"", ""value"": ""Opt-out link""}, ""Choice Scope"": {""endIndexInSegment"": 30, ""startIndexInSegment"": 3, ""selectedText"": ""opt out of the DART cookies"", ""value"": ""Third party sharing/collection""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 58, ""startIndexInSegment"": 56, ""selectedText"": ""ad"", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",676,To opt out of the DART cookies you may visit the Google ad and content network privacy policy at the following url http://www.google.com/privacy_ads.html Tracking of users through the DART cookie mechanisms are subject to Google's own privacy policies.  
24598,118,3,User Choice/Control,"{""Choice Type"": {""selectedText"": ""To opt out of the DART cookies you may visit the Google ad and content network privacy policy at the following url http://www.google.com/privacy_ads.html"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 153, ""value"": ""Opt-out link""}, ""Choice Scope"": {""selectedText"": ""To opt out of the DART cookies you may visit the Google ad and content network"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 78, ""value"": ""Third party sharing/collection""}, ""User Type"": {""selectedText"": ""Not selected"", ""startIndexInSegment"": -1, ""endIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""selectedText"": ""ad"", ""startIndexInSegment"": 56, ""endIndexInSegment"": 58, ""value"": ""Advertising""}, ""Personal Information Type"": {""selectedText"": ""DART cookies"", ""startIndexInSegment"": 18, ""endIndexInSegment"": 30, ""value"": ""Cookies and tracking elements""}}",676,To opt out of the DART cookies you may visit the Google ad and content network privacy policy at the following url http://www.google.com/privacy_ads.html Tracking of users through the DART cookie mechanisms are subject to Google's own privacy policies.  
24599,118,3,Other,"{""Other Type"": {""selectedText"": ""Tracking of users through the DART cookie mechanisms are subject to Google's own privacy policies."", ""startIndexInSegment"": 154, ""endIndexInSegment"": 252, ""value"": ""Practice not covered""}}",676,To opt out of the DART cookies you may visit the Google ad and content network privacy policy at the following url http://www.google.com/privacy_ads.html Tracking of users through the DART cookie mechanisms are subject to Google's own privacy policies.  
