annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
2957,84,0,Other,"{""Other Type"": {""endIndexInSegment"": 844, ""startIndexInSegment"": 98, ""selectedText"": ""The Disinformation Company Ltd. (Disinformation) values the users of our website (the Website). Your privacy and trust are very important to us. We recognize that you may be concerned about our collection, use, and disclosure of the personally identifiable information (Personal Information) that we collect when you use the Website and the services offered on the Website (Disinformation Services). This Privacy Policy describes the information that we collect from you, how we collect this information, and what we do with it after we collect it. By using the Website you are accepting the practices described in this Privacy Policy. If you have any questions or comments regarding this Privacy Policy, please contact us using our Contact Form."", ""value"": ""Introductory/Generic""}}",862," Privacy     Revision Date: October 14, 2009    The Disinformation Company Ltd. (Disinformation) values the users of our website (the Website). Your privacy and trust are very important to us. We recognize that you may be concerned about our collection, use, and disclosure of the personally identifiable information (Personal Information) that we collect when you use the Website and the services offered on the Website (Disinformation Services). This Privacy Policy describes the information that we collect from you, how we collect this information, and what we do with it after we collect it. By using the Website you are accepting the practices described in this Privacy Policy. If you have any questions or comments regarding this Privacy Policy, please contact us using our Contact Form.  "
3731,82,0,Other,"{""Other Type"": {""endIndexInSegment"": 844, ""startIndexInSegment"": 98, ""selectedText"": ""The Disinformation Company Ltd. (Disinformation) values the users of our website (the Website). Your privacy and trust are very important to us. We recognize that you may be concerned about our collection, use, and disclosure of the personally identifiable information (Personal Information) that we collect when you use the Website and the services offered on the Website (Disinformation Services). This Privacy Policy describes the information that we collect from you, how we collect this information, and what we do with it after we collect it. By using the Website you are accepting the practices described in this Privacy Policy. If you have any questions or comments regarding this Privacy Policy, please contact us using our Contact Form."", ""value"": ""Introductory/Generic""}}",862," Privacy     Revision Date: October 14, 2009    The Disinformation Company Ltd. (Disinformation) values the users of our website (the Website). Your privacy and trust are very important to us. We recognize that you may be concerned about our collection, use, and disclosure of the personally identifiable information (Personal Information) that we collect when you use the Website and the services offered on the Website (Disinformation Services). This Privacy Policy describes the information that we collect from you, how we collect this information, and what we do with it after we collect it. By using the Website you are accepting the practices described in this Privacy Policy. If you have any questions or comments regarding this Privacy Policy, please contact us using our Contact Form.  "
4151,88,0,Other,"{""Other Type"": {""endIndexInSegment"": 844, ""startIndexInSegment"": 98, ""selectedText"": ""The Disinformation Company Ltd. (Disinformation) values the users of our website (the Website). Your privacy and trust are very important to us. We recognize that you may be concerned about our collection, use, and disclosure of the personally identifiable information (Personal Information) that we collect when you use the Website and the services offered on the Website (Disinformation Services). This Privacy Policy describes the information that we collect from you, how we collect this information, and what we do with it after we collect it. By using the Website you are accepting the practices described in this Privacy Policy. If you have any questions or comments regarding this Privacy Policy, please contact us using our Contact Form."", ""value"": ""Introductory/Generic""}}",862," Privacy     Revision Date: October 14, 2009    The Disinformation Company Ltd. (Disinformation) values the users of our website (the Website). Your privacy and trust are very important to us. We recognize that you may be concerned about our collection, use, and disclosure of the personally identifiable information (Personal Information) that we collect when you use the Website and the services offered on the Website (Disinformation Services). This Privacy Policy describes the information that we collect from you, how we collect this information, and what we do with it after we collect it. By using the Website you are accepting the practices described in this Privacy Policy. If you have any questions or comments regarding this Privacy Policy, please contact us using our Contact Form.  "
2958,84,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 480, ""startIndexInSegment"": 472, ""selectedText"": ""material"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 538, ""startIndexInSegment"": 533, ""selectedText"": ""email"", ""value"": ""Personal notice""}}",862," Does Disinformation Ever Make Changes to its Privacy Policy?    If we decide to change our Privacy Policy, we will post those changes to this privacy statement, the home page, and other places we deem appropriate so that you are aware of what information we collect, how we use it, and under what circumstances, if any, we disclose it. We reserve the right to modify this privacy statement at any time, so please review it frequently. If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page. If you receive notification of a change in our Privacy Policy, you must review the new Privacy Policy carefully to make sure you understand our practices and procedures. You may not be able to receive notices from us if your cookies are not set to accept and/or are disabled.  "
2959,84,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 480, ""startIndexInSegment"": 472, ""selectedText"": ""material"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 543, ""selectedText"": ""by means of a notice on our home page"", ""value"": ""General notice on website""}}",862," Does Disinformation Ever Make Changes to its Privacy Policy?    If we decide to change our Privacy Policy, we will post those changes to this privacy statement, the home page, and other places we deem appropriate so that you are aware of what information we collect, how we use it, and under what circumstances, if any, we disclose it. We reserve the right to modify this privacy statement at any time, so please review it frequently. If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page. If you receive notification of a change in our Privacy Policy, you must review the new Privacy Policy carefully to make sure you understand our practices and procedures. You may not be able to receive notices from us if your cookies are not set to accept and/or are disabled.  "
2960,84,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 200, ""startIndexInSegment"": 191, ""selectedText"": ""home page"", ""value"": ""General notice on website""}}",862," Does Disinformation Ever Make Changes to its Privacy Policy?    If we decide to change our Privacy Policy, we will post those changes to this privacy statement, the home page, and other places we deem appropriate so that you are aware of what information we collect, how we use it, and under what circumstances, if any, we disclose it. We reserve the right to modify this privacy statement at any time, so please review it frequently. If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page. If you receive notification of a change in our Privacy Policy, you must review the new Privacy Policy carefully to make sure you understand our practices and procedures. You may not be able to receive notices from us if your cookies are not set to accept and/or are disabled.  "
2961,84,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 238, ""startIndexInSegment"": 206, ""selectedText"": ""other places we deem appropriate"", ""value"": ""Unspecified""}}",862," Does Disinformation Ever Make Changes to its Privacy Policy?    If we decide to change our Privacy Policy, we will post those changes to this privacy statement, the home page, and other places we deem appropriate so that you are aware of what information we collect, how we use it, and under what circumstances, if any, we disclose it. We reserve the right to modify this privacy statement at any time, so please review it frequently. If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page. If you receive notification of a change in our Privacy Policy, you must review the new Privacy Policy carefully to make sure you understand our practices and procedures. You may not be able to receive notices from us if your cookies are not set to accept and/or are disabled.  "
3732,82,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 503, ""startIndexInSegment"": 462, ""selectedText"": ""f we make material changes to this policy"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 528, ""startIndexInSegment"": 505, ""selectedText"": ""we will notify you here"", ""value"": ""General notice in privacy policy""}}",862," Does Disinformation Ever Make Changes to its Privacy Policy?    If we decide to change our Privacy Policy, we will post those changes to this privacy statement, the home page, and other places we deem appropriate so that you are aware of what information we collect, how we use it, and under what circumstances, if any, we disclose it. We reserve the right to modify this privacy statement at any time, so please review it frequently. If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page. If you receive notification of a change in our Privacy Policy, you must review the new Privacy Policy carefully to make sure you understand our practices and procedures. You may not be able to receive notices from us if your cookies are not set to accept and/or are disabled.  "
3733,82,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 503, ""startIndexInSegment"": 462, ""selectedText"": ""f we make material changes to this policy"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 539, ""startIndexInSegment"": 530, ""selectedText"": ""by email,"", ""value"": ""Personal notice""}}",862," Does Disinformation Ever Make Changes to its Privacy Policy?    If we decide to change our Privacy Policy, we will post those changes to this privacy statement, the home page, and other places we deem appropriate so that you are aware of what information we collect, how we use it, and under what circumstances, if any, we disclose it. We reserve the right to modify this privacy statement at any time, so please review it frequently. If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page. If you receive notification of a change in our Privacy Policy, you must review the new Privacy Policy carefully to make sure you understand our practices and procedures. You may not be able to receive notices from us if your cookies are not set to accept and/or are disabled.  "
3734,82,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 503, ""startIndexInSegment"": 462, ""selectedText"": ""f we make material changes to this policy"", ""value"": ""Privacy relevant change""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 580, ""startIndexInSegment"": 543, ""selectedText"": ""by means of a notice on our home page"", ""value"": ""General notice on website""}}",862," Does Disinformation Ever Make Changes to its Privacy Policy?    If we decide to change our Privacy Policy, we will post those changes to this privacy statement, the home page, and other places we deem appropriate so that you are aware of what information we collect, how we use it, and under what circumstances, if any, we disclose it. We reserve the right to modify this privacy statement at any time, so please review it frequently. If we make material changes to this policy, we will notify you here, by email, or by means of a notice on our home page. If you receive notification of a change in our Privacy Policy, you must review the new Privacy Policy carefully to make sure you understand our practices and procedures. You may not be able to receive notices from us if your cookies are not set to accept and/or are disabled.  "
