annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
5605,84,0,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 85, ""startIndexInSegment"": 72, ""selectedText"": ""third parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 68, ""startIndexInSegment"": 62, ""selectedText"": ""emails"", ""value"": ""Contact""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 41, ""selectedText"": ""never"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 52, ""startIndexInSegment"": 47, ""selectedText"": ""rents"", ""value"": ""Receive/Shared with""}}",884,"Privacy Policy   NaturalNews.com never rents or sells emails to third parties. We honor the privacy of our members and users, and unlike some other social networking sites, we DO NOT share user details with advertisers.  "
5607,84,0,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 85, ""startIndexInSegment"": 72, ""selectedText"": ""third parties"", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 226, ""startIndexInSegment"": 215, ""selectedText"": ""advertisers"", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 209, ""startIndexInSegment"": 202, ""selectedText"": ""details"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 46, ""startIndexInSegment"": 41, ""selectedText"": ""never"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 52, ""startIndexInSegment"": 47, ""selectedText"": ""rents"", ""value"": ""Receive/Shared with""}}",884,"Privacy Policy   NaturalNews.com never rents or sells emails to third parties. We honor the privacy of our members and users, and unlike some other social networking sites, we DO NOT share user details with advertisers.  "
6537,88,0,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 181, ""selectedText"": ""we DO NOT share user details with advertisers."", ""value"": ""Unnamed third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 227, ""startIndexInSegment"": 215, ""selectedText"": ""advertisers."", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": 209, ""startIndexInSegment"": 197, ""selectedText"": ""user details"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": 209, ""startIndexInSegment"": 197, ""selectedText"": ""user details"", ""value"": ""Identifiable""}, ""Does/Does Not"": {""endIndexInSegment"": 190, ""startIndexInSegment"": 181, ""selectedText"": ""we DO NOT"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 196, ""startIndexInSegment"": 191, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",884,"Privacy Policy   NaturalNews.com never rents or sells emails to third parties. We honor the privacy of our members and users, and unlike some other social networking sites, we DO NOT share user details with advertisers.  "
7285,82,0,Third Party Sharing/Collection,"{""Third Party Entity"": {""endIndexInSegment"": 226, ""startIndexInSegment"": 215, ""selectedText"": ""advertisers"", ""value"": ""Named third party""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 226, ""startIndexInSegment"": 216, ""selectedText"": ""dvertisers"", ""value"": ""Advertising""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 190, ""startIndexInSegment"": 184, ""selectedText"": ""DO NOT"", ""value"": ""Does Not""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action Third Party"": {""endIndexInSegment"": 196, ""startIndexInSegment"": 191, ""selectedText"": ""share"", ""value"": ""Receive/Shared with""}}",884,"Privacy Policy   NaturalNews.com never rents or sells emails to third parties. We honor the privacy of our members and users, and unlike some other social networking sites, we DO NOT share user details with advertisers.  "
7286,82,0,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 57, ""selectedText"": ""ells"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 61, ""startIndexInSegment"": 56, ""selectedText"": ""sells"", ""value"": ""Other""}}",884,"Privacy Policy   NaturalNews.com never rents or sells emails to third parties. We honor the privacy of our members and users, and unlike some other social networking sites, we DO NOT share user details with advertisers.  "
5608,84,1,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 44, ""startIndexInSegment"": 33, ""selectedText"": ""unsubscribe"", ""value"": ""Opt-out link""}, ""Choice Scope"": {""endIndexInSegment"": 32, ""startIndexInSegment"": 27, ""selectedText"": ""email"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",884,"NaturalNews.com honors all email unsubscribe requests and makes every attempt to honor the privacy of its members, viewers and sponsors.  "
6538,88,1,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 53, ""startIndexInSegment"": 0, ""selectedText"": ""NaturalNews.com honors all email unsubscribe requests"", ""value"": ""Opt-out via contacting company""}, ""Choice Scope"": {""endIndexInSegment"": 53, ""startIndexInSegment"": 0, ""selectedText"": ""NaturalNews.com honors all email unsubscribe requests"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 53, ""startIndexInSegment"": 27, ""selectedText"": ""email unsubscribe requests"", ""value"": ""Contact""}}",884,"NaturalNews.com honors all email unsubscribe requests and makes every attempt to honor the privacy of its members, viewers and sponsors.  "
7284,82,1,Other,"{""Other Type"": {""endIndexInSegment"": 136, ""startIndexInSegment"": 0, ""selectedText"": ""NaturalNews.com honors all email unsubscribe requests and makes every attempt to honor the privacy of its members, viewers and sponsors."", ""value"": ""Introductory/Generic""}}",884,"NaturalNews.com honors all email unsubscribe requests and makes every attempt to honor the privacy of its members, viewers and sponsors.  "
5609,84,2,Other,"{""Other Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 0, ""selectedText"": ""Postmaster Webseed 6336 N. Oracle Rd. 325-315 Tucson, AZ 85704 reply@naturalnews.com"", ""value"": ""Privacy contact information""}}",884,"Postmaster Webseed 6336 N. Oracle Rd. 325-315 Tucson, AZ 85704 reply@naturalnews.com  "
6539,88,2,Other,"{""Other Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 0, ""selectedText"": ""Postmaster Webseed 6336 N. Oracle Rd. 325-315 Tucson, AZ 85704 reply@naturalnews.com"", ""value"": ""Privacy contact information""}}",884,"Postmaster Webseed 6336 N. Oracle Rd. 325-315 Tucson, AZ 85704 reply@naturalnews.com  "
