annotation_ID,segment_ID,category,attr_val,policy_ID,segment_text
5612,0,Other,"{""Other Type"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 60, ""selectedText"": ""This Policy was last changed on October 24, 2014"", ""value"": ""Introductory/Generic""}}",891," Everyday Health Privacy Policy    This Policy was last changed on October 24, 2014  "
6542,0,Policy Change,"{""Change Type"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 60, ""selectedText"": ""This Policy was last changed on October 24, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 60, ""selectedText"": ""This Policy was last changed on October 24, 2014"", ""value"": ""General notice on website""}}",891," Everyday Health Privacy Policy    This Policy was last changed on October 24, 2014  "
7287,0,Policy Change,"{""Change Type"": {""endIndexInSegment"": 108, ""startIndexInSegment"": 61, ""selectedText"": ""his Policy was last changed on October 24, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",891," Everyday Health Privacy Policy    This Policy was last changed on October 24, 2014  "
5613,1,Other,"{""Other Type"": {""endIndexInSegment"": 795, ""startIndexInSegment"": 0, ""selectedText"": ""Everyday Health Media, LLC and its subsidiaries (\""Everyday Health,\"" \""us\"" or \""we\"") operate this website (the \""Site\""), and other health, wellness, diet and fitness websites that are part of the Everyday Health portfolio of websites (collectively, the \""Sites\"") and the services related to or offered on the Sites (hereinafter, the \""Services\""). Some of the Sites are websites that we operate on behalf of third party licensors, for example, JillianMichaels.com, PDRHealth.com and SouthBeachDiet.com (collectively, \""Licensors\""). Everyday Health's Services may include, without limitation, tools, applications, email services, bulletin and message boards, chat areas, news groups, forums, communities, calendars, and downloadable mobile applications related to the Sites or provided through the Sites."", ""value"": ""Introductory/Generic""}}",891,"Everyday Health Media, LLC and its subsidiaries (""Everyday Health,"" ""us"" or ""we"") operate this website (the ""Site""), and other health, wellness, diet and fitness websites that are part of the Everyday Health portfolio of websites (collectively, the ""Sites"") and the services related to or offered on the Sites (hereinafter, the ""Services""). Some of the Sites are websites that we operate on behalf of third party licensors, for example, JillianMichaels.com, PDRHealth.com and SouthBeachDiet.com (collectively, ""Licensors""). Everyday Health's Services may include, without limitation, tools, applications, email services, bulletin and message boards, chat areas, news groups, forums, communities, calendars, and downloadable mobile applications related to the Sites or provided through the Sites.  "
6543,1,Other,"{""Other Type"": {""endIndexInSegment"": 795, ""startIndexInSegment"": 0, ""selectedText"": ""Everyday Health Media, LLC and its subsidiaries (\""Everyday Health,\"" \""us\"" or \""we\"") operate this website (the \""Site\""), and other health, wellness, diet and fitness websites that are part of the Everyday Health portfolio of websites (collectively, the \""Sites\"") and the services related to or offered on the Sites (hereinafter, the \""Services\""). Some of the Sites are websites that we operate on behalf of third party licensors, for example, JillianMichaels.com, PDRHealth.com and SouthBeachDiet.com (collectively, \""Licensors\""). Everyday Health's Services may include, without limitation, tools, applications, email services, bulletin and message boards, chat areas, news groups, forums, communities, calendars, and downloadable mobile applications related to the Sites or provided through the Sites."", ""value"": ""Introductory/Generic""}}",891,"Everyday Health Media, LLC and its subsidiaries (""Everyday Health,"" ""us"" or ""we"") operate this website (the ""Site""), and other health, wellness, diet and fitness websites that are part of the Everyday Health portfolio of websites (collectively, the ""Sites"") and the services related to or offered on the Sites (hereinafter, the ""Services""). Some of the Sites are websites that we operate on behalf of third party licensors, for example, JillianMichaels.com, PDRHealth.com and SouthBeachDiet.com (collectively, ""Licensors""). Everyday Health's Services may include, without limitation, tools, applications, email services, bulletin and message boards, chat areas, news groups, forums, communities, calendars, and downloadable mobile applications related to the Sites or provided through the Sites.  "
7288,1,Other,"{""Other Type"": {""endIndexInSegment"": 795, ""startIndexInSegment"": 0, ""selectedText"": ""Everyday Health Media, LLC and its subsidiaries (\""Everyday Health,\"" \""us\"" or \""we\"") operate this website (the \""Site\""), and other health, wellness, diet and fitness websites that are part of the Everyday Health portfolio of websites (collectively, the \""Sites\"") and the services related to or offered on the Sites (hereinafter, the \""Services\""). Some of the Sites are websites that we operate on behalf of third party licensors, for example, JillianMichaels.com, PDRHealth.com and SouthBeachDiet.com (collectively, \""Licensors\""). Everyday Health's Services may include, without limitation, tools, applications, email services, bulletin and message boards, chat areas, news groups, forums, communities, calendars, and downloadable mobile applications related to the Sites or provided through the Sites."", ""value"": ""Introductory/Generic""}}",891,"Everyday Health Media, LLC and its subsidiaries (""Everyday Health,"" ""us"" or ""we"") operate this website (the ""Site""), and other health, wellness, diet and fitness websites that are part of the Everyday Health portfolio of websites (collectively, the ""Sites"") and the services related to or offered on the Sites (hereinafter, the ""Services""). Some of the Sites are websites that we operate on behalf of third party licensors, for example, JillianMichaels.com, PDRHealth.com and SouthBeachDiet.com (collectively, ""Licensors""). Everyday Health's Services may include, without limitation, tools, applications, email services, bulletin and message boards, chat areas, news groups, forums, communities, calendars, and downloadable mobile applications related to the Sites or provided through the Sites.  "
5614,2,Other,"{""Other Type"": {""endIndexInSegment"": 282, ""startIndexInSegment"": 0, ""selectedText"": ""We provide you this privacy policy (the \""Policy\"") to help you understand the kinds of information we may gather about you when you visit the Site or use any of our Services, how we may use and disclose the information, and how you can control, correct and/or update the information."", ""value"": ""Introductory/Generic""}}",891,"We provide you this privacy policy (the ""Policy"") to help you understand the kinds of information we may gather about you when you visit the Site or use any of our Services, how we may use and disclose the information, and how you can control, correct and/or update the information.  "
6544,2,Other,"{""Other Type"": {""endIndexInSegment"": 282, ""startIndexInSegment"": 0, ""selectedText"": ""We provide you this privacy policy (the \""Policy\"") to help you understand the kinds of information we may gather about you when you visit the Site or use any of our Services, how we may use and disclose the information, and how you can control, correct and/or update the information."", ""value"": ""Introductory/Generic""}}",891,"We provide you this privacy policy (the ""Policy"") to help you understand the kinds of information we may gather about you when you visit the Site or use any of our Services, how we may use and disclose the information, and how you can control, correct and/or update the information.  "
7289,2,Other,"{""Other Type"": {""endIndexInSegment"": 282, ""startIndexInSegment"": 0, ""selectedText"": ""We provide you this privacy policy (the \""Policy\"") to help you understand the kinds of information we may gather about you when you visit the Site or use any of our Services, how we may use and disclose the information, and how you can control, correct and/or update the information."", ""value"": ""Introductory/Generic""}}",891,"We provide you this privacy policy (the ""Policy"") to help you understand the kinds of information we may gather about you when you visit the Site or use any of our Services, how we may use and disclose the information, and how you can control, correct and/or update the information.  "
5615,3,Other,"{""Other Type"": {""endIndexInSegment"": 394, ""startIndexInSegment"": 0, ""selectedText"": ""To be clear about the terminology we are using, when we use the phrase \""Personal Information\"" in this Policy, we mean information that can be used to identify or contact a person, like a person's full name, address, e-mail address, or phone number. When we use the phrase \""Anonymous Information\"" in this Policy, we mean information that cannot reasonably be used to identify individual persons."", ""value"": ""Introductory/Generic""}}",891,"To be clear about the terminology we are using, when we use the phrase ""Personal Information"" in this Policy, we mean information that can be used to identify or contact a person, like a person's full name, address, e-mail address, or phone number. When we use the phrase ""Anonymous Information"" in this Policy, we mean information that cannot reasonably be used to identify individual persons.  "
6545,3,Other,"{""Other Type"": {""endIndexInSegment"": 394, ""startIndexInSegment"": 0, ""selectedText"": ""To be clear about the terminology we are using, when we use the phrase \""Personal Information\"" in this Policy, we mean information that can be used to identify or contact a person, like a person's full name, address, e-mail address, or phone number. When we use the phrase \""Anonymous Information\"" in this Policy, we mean information that cannot reasonably be used to identify individual persons."", ""value"": ""Introductory/Generic""}}",891,"To be clear about the terminology we are using, when we use the phrase ""Personal Information"" in this Policy, we mean information that can be used to identify or contact a person, like a person's full name, address, e-mail address, or phone number. When we use the phrase ""Anonymous Information"" in this Policy, we mean information that cannot reasonably be used to identify individual persons.  "
7290,3,Other,"{""Other Type"": {""endIndexInSegment"": 394, ""startIndexInSegment"": 0, ""selectedText"": ""To be clear about the terminology we are using, when we use the phrase \""Personal Information\"" in this Policy, we mean information that can be used to identify or contact a person, like a person's full name, address, e-mail address, or phone number. When we use the phrase \""Anonymous Information\"" in this Policy, we mean information that cannot reasonably be used to identify individual persons."", ""value"": ""Introductory/Generic""}}",891,"To be clear about the terminology we are using, when we use the phrase ""Personal Information"" in this Policy, we mean information that can be used to identify or contact a person, like a person's full name, address, e-mail address, or phone number. When we use the phrase ""Anonymous Information"" in this Policy, we mean information that cannot reasonably be used to identify individual persons.  "
5616,4,Other,"{""Other Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy."", ""value"": ""Introductory/Generic""}}",891,"By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy.  "
6546,4,Policy Change,"{""Change Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy."", ""value"": ""User participation""}, ""Notification Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy."", ""value"": ""Unspecified""}}",891,"By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy.  "
7291,4,Other,"{""Other Type"": {""endIndexInSegment"": 300, ""startIndexInSegment"": 0, ""selectedText"": ""By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy."", ""value"": ""Introductory/Generic""}}",891,"By visiting this Site or using the Services, you are accepting the policies and practices described in this Policy. Each time you visit the Site or use the Services, you agree and expressly consent to our collection, use and disclosure of the information that you provide as described in this Policy.  "
5618,5,Other,"{""Other Type"": {""endIndexInSegment"": 71, ""startIndexInSegment"": 0, ""selectedText"": ""Your Personal Information will be processed by us in the United States."", ""value"": ""Introductory/Generic""}}",891,Your Personal Information will be processed by us in the United States.  
6547,5,International and Specific Audiences,"{""Audience Type"": {""endIndexInSegment"": 71, ""startIndexInSegment"": 0, ""selectedText"": ""Your Personal Information will be processed by us in the United States."", ""value"": ""Citizens from other countries""}}",891,Your Personal Information will be processed by us in the United States.  
7292,5,International and Specific Audiences,"{""Audience Type"": {""endIndexInSegment"": 70, ""startIndexInSegment"": 0, ""selectedText"": ""Your Personal Information will be processed by us in the United States"", ""value"": ""Citizens from other countries""}}",891,Your Personal Information will be processed by us in the United States.  
5619,6,Other,"{""Other Type"": {""endIndexInSegment"": 319, ""startIndexInSegment"": 0, ""selectedText"": ""In addition to this general Policy, each Service may have additional privacy provisions that are specific to the particular Service. These supplemental disclosures are made adjacent to the particular Service at the time we collect the information. These supplemental disclosures also govern the use of your information."", ""value"": ""Introductory/Generic""}}",891,"In addition to this general Policy, each Service may have additional privacy provisions that are specific to the particular Service. These supplemental disclosures are made adjacent to the particular Service at the time we collect the information. These supplemental disclosures also govern the use of your information.  "
6548,6,Other,"{""Other Type"": {""endIndexInSegment"": 319, ""startIndexInSegment"": 0, ""selectedText"": ""In addition to this general Policy, each Service may have additional privacy provisions that are specific to the particular Service. These supplemental disclosures are made adjacent to the particular Service at the time we collect the information. These supplemental disclosures also govern the use of your information."", ""value"": ""Introductory/Generic""}}",891,"In addition to this general Policy, each Service may have additional privacy provisions that are specific to the particular Service. These supplemental disclosures are made adjacent to the particular Service at the time we collect the information. These supplemental disclosures also govern the use of your information.  "
7293,6,Other,"{""Other Type"": {""endIndexInSegment"": 319, ""startIndexInSegment"": 0, ""selectedText"": ""In addition to this general Policy, each Service may have additional privacy provisions that are specific to the particular Service. These supplemental disclosures are made adjacent to the particular Service at the time we collect the information. These supplemental disclosures also govern the use of your information."", ""value"": ""Introductory/Generic""}}",891,"In addition to this general Policy, each Service may have additional privacy provisions that are specific to the particular Service. These supplemental disclosures are made adjacent to the particular Service at the time we collect the information. These supplemental disclosures also govern the use of your information.  "
5620,7,Other,"{""Other Type"": {""endIndexInSegment"": 113, ""startIndexInSegment"": 58, ""selectedText"": ""We collect information about you in the following ways:"", ""value"": ""Introductory/Generic""}}",891, 1. The Information We Gather    We collect information about you in the following ways:  
6549,7,Other,"{""Other Type"": {""endIndexInSegment"": 37, ""startIndexInSegment"": 9, ""selectedText"": ""1. The Information We Gather"", ""value"": ""Introductory/Generic""}}",891, 1. The Information We Gather    We collect information about you in the following ways:  
