annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
9754,121,0,Other,"{""Other Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy This is the web site of the Federal Reserve Bank of St. Louis. The Bank respects your privacy."", ""value"": ""Introductory/Generic""}}",928,Privacy Policy   This is the web site of the Federal Reserve Bank of St. Louis. The Bank respects your privacy.  
9383,116,0,Other,"{""Other Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 25, ""selectedText"": ""This is the web site of the Federal Reserve Bank of St. Louis. The Bank respects your privacy."", ""value"": ""Introductory/Generic""}}",928,Privacy Policy   This is the web site of the Federal Reserve Bank of St. Louis. The Bank respects your privacy.  
9810,117,0,Other,"{""Other Type"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 25, ""selectedText"": ""This is the web site of the Federal Reserve Bank of St. Louis. The Bank respects your privacy."", ""value"": ""Introductory/Generic""}}",928,Privacy Policy   This is the web site of the Federal Reserve Bank of St. Louis. The Bank respects your privacy.  
9755,121,1,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 109, ""selectedText"": ""personal information you choose to provide us is voluntary"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 217, ""startIndexInSegment"": 194, ""selectedText"": ""provide any information"", ""value"": ""First party use""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 217, ""startIndexInSegment"": 202, ""selectedText"": ""any information"", ""value"": ""Generic personal information""}}",928,Personal Information   You may access and browse our site without disclosing your personal data. The personal information you choose to provide us is voluntary. We do not require you to provide any information about yourself that you do not wish to share.  
9384,116,1,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 66, ""selectedText"": ""without disclosing"", ""value"": ""Other""}, ""Choice Scope"": {""endIndexInSegment"": 84, ""startIndexInSegment"": 39, ""selectedText"": ""access and browse our site without disclosing"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 31, ""selectedText"": ""You may access and browse our site without disclosing your personal data"", ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": 103, ""startIndexInSegment"": 85, ""selectedText"": ""your personal data"", ""value"": ""Generic personal information""}}",928,Personal Information   You may access and browse our site without disclosing your personal data. The personal information you choose to provide us is voluntary. We do not require you to provide any information about yourself that you do not wish to share.  
9811,117,1,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 65, ""startIndexInSegment"": 57, ""selectedText"": ""our site"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": 262, ""startIndexInSegment"": 66, ""selectedText"": ""without disclosing your personal data. The personal information you choose to provide us is voluntary. We do not require you to provide any information about yourself that you do not wish to share"", ""value"": ""Opt-in""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",928,Personal Information   You may access and browse our site without disclosing your personal data. The personal information you choose to provide us is voluntary. We do not require you to provide any information about yourself that you do not wish to share.  
9756,121,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 8, ""selectedText"": ""choose to provide us with personal information"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 18, ""selectedText"": ""provide us"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 72, ""selectedText"": ""you subscribe to our publications or mail lists, send us questions through e-mail, answer our user surveys, register for an event or user account, apply for a job or participate in our online activities."", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 34, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 25, ""startIndexInSegment"": 8, ""selectedText"": ""choose to provide"", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 4, ""selectedText"": ""may choose to provide us with personal information"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 217, ""startIndexInSegment"": 205, ""selectedText"": ""user account"", ""value"": ""User with account""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",928,"You may choose to provide us with personal information if, for example, you subscribe to our publications or mail lists, send us questions through e-mail, answer our user surveys, register for an event or user account, apply for a job or participate in our online activities.  "
9757,121,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 8, ""selectedText"": ""choose to provide us with personal information"", ""value"": ""Explicit""}, ""Choice Scope"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 18, ""selectedText"": ""provide us"", ""value"": ""Collection""}, ""Action First-Party"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 72, ""selectedText"": ""you subscribe to our publications or mail lists, send us questions through e-mail, answer our user surveys, register for an event or user account, apply for a job or participate in our online activities."", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 34, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}, ""Choice Type"": {""endIndexInSegment"": 25, ""startIndexInSegment"": 8, ""selectedText"": ""choose to provide"", ""value"": ""Other""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 4, ""selectedText"": ""may choose to provide us with personal information"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": 201, ""startIndexInSegment"": 72, ""selectedText"": ""you subscribe to our publications or mail lists, send us questions through e-mail, answer our user surveys, register for an event"", ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",928,"You may choose to provide us with personal information if, for example, you subscribe to our publications or mail lists, send us questions through e-mail, answer our user surveys, register for an event or user account, apply for a job or participate in our online activities.  "
9385,116,2,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""You may choose to provide us"", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 0, ""selectedText"": ""You may choose to provide us with personal information if, for example, you subscribe to our publications or mail lists"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 72, ""selectedText"": ""you subscribe to our publications or mail lists"", ""value"": ""Marketing""}, ""Personal Information Type"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 34, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}}",928,"You may choose to provide us with personal information if, for example, you subscribe to our publications or mail lists, send us questions through e-mail, answer our user surveys, register for an event or user account, apply for a job or participate in our online activities.  "
9386,116,2,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""You may choose to provide us"", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": 119, ""startIndexInSegment"": 0, ""selectedText"": ""You may choose to provide us with personal information if, for example, you subscribe to our publications or mail lists"", ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 154, ""startIndexInSegment"": 121, ""selectedText"": ""send us questions through e-mail,"", ""value"": ""Other""}, ""Personal Information Type"": {""endIndexInSegment"": 54, ""startIndexInSegment"": 34, ""selectedText"": ""personal information"", ""value"": ""Generic personal information""}}",928,"You may choose to provide us with personal information if, for example, you subscribe to our publications or mail lists, send us questions through e-mail, answer our user surveys, register for an event or user account, apply for a job or participate in our online activities.  "
