annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
14872,121,0,Other,"{""Other Type"": {""selectedText"": ""Internet Brands Privacy Highlights Privacy Policy Cookie Policy Privacy Contact"", ""startIndexInSegment"": 0, ""endIndexInSegment"": 94, ""value"": ""Introductory/Generic""}}",940,Internet Brands Privacy Highlights  Privacy Policy  Cookie Policy  Privacy Contact 
14238,116,0,Other,"{""Other Type"": {""endIndexInSegment"": 94, ""startIndexInSegment"": 0, ""selectedText"": ""Internet Brands Privacy Highlights Privacy Policy Cookie Policy Privacy Contact"", ""value"": ""Introductory/Generic""}}",940,Internet Brands Privacy Highlights  Privacy Policy  Cookie Policy  Privacy Contact 
14072,118,0,Other,"{""Other Type"": {""endIndexInSegment"": 94, ""startIndexInSegment"": 0, ""selectedText"": ""Internet Brands Privacy Highlights Privacy Policy Cookie Policy Privacy Contact"", ""value"": ""Other""}}",940,Internet Brands Privacy Highlights  Privacy Policy  Cookie Policy  Privacy Contact 
14873,121,1,Other,"{""Other Type"": {""selectedText"": ""Internet Brands, Inc. and its subsidiaries and corporate affiliates (collectively, \""Internet Brands,\"" \""our,\"" \""us,\"" or \""we\"") operate websites, provide products and services through mobile and other applications, and develop software. We refer to these as \""site(s),\"" \""service(s),\"" or \""our sites and services.\"""", ""startIndexInSegment"": 20, ""endIndexInSegment"": 332, ""value"": ""Introductory/Generic""}}",940,"Privacy Policy   Internet Brands, Inc. and its subsidiaries and corporate affiliates (collectively, ""Internet Brands,"" ""our,"" ""us,"" or ""we"") operate websites, provide products and services through mobile and other applications, and develop software. We refer to these as ""site(s),"" ""service(s),"" or ""our sites and services.""  "
14239,116,1,Other,"{""Other Type"": {""endIndexInSegment"": 332, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Policy Internet Brands, Inc. and its subsidiaries and corporate affiliates (collectively, \""Internet Brands,\"" \""our,\"" \""us,\"" or \""we\"") operate websites, provide products and services through mobile and other applications, and develop software. We refer to these as \""site(s),\"" \""service(s),\"" or \""our sites and services.\"""", ""value"": ""Introductory/Generic""}}",940,"Privacy Policy   Internet Brands, Inc. and its subsidiaries and corporate affiliates (collectively, ""Internet Brands,"" ""our,"" ""us,"" or ""we"") operate websites, provide products and services through mobile and other applications, and develop software. We refer to these as ""site(s),"" ""service(s),"" or ""our sites and services.""  "
14073,118,1,Other,"{""Other Type"": {""endIndexInSegment"": 332, ""startIndexInSegment"": 25, ""selectedText"": ""Internet Brands, Inc. and its subsidiaries and corporate affiliates (collectively, \""Internet Brands,\"" \""our,\"" \""us,\"" or \""we\"") operate websites, provide products and services through mobile and other applications, and develop software. We refer to these as \""site(s),\"" \""service(s),\"" or \""our sites and services.\"""", ""value"": ""Introductory/Generic""}}",940,"Privacy Policy   Internet Brands, Inc. and its subsidiaries and corporate affiliates (collectively, ""Internet Brands,"" ""our,"" ""us,"" or ""we"") operate websites, provide products and services through mobile and other applications, and develop software. We refer to these as ""site(s),"" ""service(s),"" or ""our sites and services.""  "
14874,121,2,Other,"{""Other Type"": {""selectedText"": ""This privacy policy does not apply to those sites and services that do not display or link to this privacy policy, or that have their own privacy policies. However, we often acquire new companies to expand our business. Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours."", ""startIndexInSegment"": 120, ""endIndexInSegment"": 462, ""value"": ""Practice not covered""}}",940,"This privacy policy applies to our sites and services on which we display or post a direct link to this privacy policy. This privacy policy does not apply to those sites and services that do not display or link to this privacy policy, or that have their own privacy policies. However, we often acquire new companies to expand our business. Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours.  "
14240,116,2,Other,"{""Other Type"": {""endIndexInSegment"": 462, ""startIndexInSegment"": 0, ""selectedText"": ""This privacy policy applies to our sites and services on which we display or post a direct link to this privacy policy. This privacy policy does not apply to those sites and services that do not display or link to this privacy policy, or that have their own privacy policies. However, we often acquire new companies to expand our business. Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours."", ""value"": ""Introductory/Generic""}}",940,"This privacy policy applies to our sites and services on which we display or post a direct link to this privacy policy. This privacy policy does not apply to those sites and services that do not display or link to this privacy policy, or that have their own privacy policies. However, we often acquire new companies to expand our business. Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours.  "
14074,118,2,Policy Change,"{""Change Type"": {""endIndexInSegment"": 339, ""startIndexInSegment"": 276, ""selectedText"": ""However, we often acquire new companies to expand our business."", ""value"": ""In case of merger or acquisition""}, ""User Choice"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 462, ""startIndexInSegment"": 340, ""selectedText"": ""Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours."", ""value"": ""Other""}}",940,"This privacy policy applies to our sites and services on which we display or post a direct link to this privacy policy. This privacy policy does not apply to those sites and services that do not display or link to this privacy policy, or that have their own privacy policies. However, we often acquire new companies to expand our business. Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours.  "
14076,118,2,Other,"{""Other Type"": {""endIndexInSegment"": 275, ""startIndexInSegment"": 0, ""selectedText"": ""This privacy policy applies to our sites and services on which we display or post a direct link to this privacy policy. This privacy policy does not apply to those sites and services that do not display or link to this privacy policy, or that have their own privacy policies."", ""value"": ""Other""}}",940,"This privacy policy applies to our sites and services on which we display or post a direct link to this privacy policy. This privacy policy does not apply to those sites and services that do not display or link to this privacy policy, or that have their own privacy policies. However, we often acquire new companies to expand our business. Some acquired companies may operate under their own privacy policies until we integrate their privacy practices with ours.  "
