annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
9955,121,0,Other,"{""Other Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""lynda.com Privacy Policy"", ""value"": ""Introductory/Generic""}}",962,lynda.com Privacy Policy  
9463,116,0,Other,"{""Other Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""lynda.com Privacy Policy"", ""value"": ""Introductory/Generic""}}",962,lynda.com Privacy Policy  
9846,117,0,Other,"{""Other Type"": {""endIndexInSegment"": 24, ""startIndexInSegment"": 0, ""selectedText"": ""lynda.com Privacy Policy"", ""value"": ""Introductory/Generic""}}",962,lynda.com Privacy Policy  
9956,121,1,Other,"{""Other Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Effective Date: March 5, 2014"", ""value"": ""Introductory/Generic""}}",962,"Effective Date: March 5, 2014  "
9464,116,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Effective Date: March 5, 2014"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Effective Date: March 5, 2014"", ""value"": ""Unspecified""}, ""Notification Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Effective Date: March 5, 2014"", ""value"": ""General notice in privacy policy""}}",962,"Effective Date: March 5, 2014  "
9847,117,1,Other,"{""Other Type"": {""endIndexInSegment"": 29, ""startIndexInSegment"": 0, ""selectedText"": ""Effective Date: March 5, 2014"", ""value"": ""Introductory/Generic""}}",962,"Effective Date: March 5, 2014  "
9957,121,2,Other,"{""Other Type"": {""endIndexInSegment"": 136, ""startIndexInSegment"": 78, ""selectedText"": ""We are committed to protecting and respecting your privacy"", ""value"": ""Introductory/Generic""}}",962,"We are lynda.com, Inc., located at 6410 Via Real, Carpinteria, CA 93013, USA. We are committed to protecting and respecting your privacy. This Privacy Policy describes the types of information we may collect from you or that you may provide to us when you visit the lynda.com websites located at www.lynda.com, m.lynda.com and www.video2brain.com (the Websites) or the lynda.com mobile application (App) (collectively, the Services) , and our practices for collecting, using, maintaining, protecting and disclosing such information. This Privacy Policy applies to information we collect: (i) through our Services, (ii) in text and electronic messages between you and our Services, and (iii) via mobile applications you download from our Websites, which provide dedicated non-browser-based interactions between you and our Services. This Privacy Policy does not apply to any information collected by us offline or via third-party sites that may be accessed through hyperlinks on our Services.  "
9465,116,2,Data Security,"{""Security Measure"": {""endIndexInSegment"": 137, ""startIndexInSegment"": 78, ""selectedText"": ""We are committed to protecting and respecting your privacy."", ""value"": ""Generic""}}",962,"We are lynda.com, Inc., located at 6410 Via Real, Carpinteria, CA 93013, USA. We are committed to protecting and respecting your privacy. This Privacy Policy describes the types of information we may collect from you or that you may provide to us when you visit the lynda.com websites located at www.lynda.com, m.lynda.com and www.video2brain.com (the Websites) or the lynda.com mobile application (App) (collectively, the Services) , and our practices for collecting, using, maintaining, protecting and disclosing such information. This Privacy Policy applies to information we collect: (i) through our Services, (ii) in text and electronic messages between you and our Services, and (iii) via mobile applications you download from our Websites, which provide dedicated non-browser-based interactions between you and our Services. This Privacy Policy does not apply to any information collected by us offline or via third-party sites that may be accessed through hyperlinks on our Services.  "
9466,116,2,Other,"{""Other Type"": {""endIndexInSegment"": 77, ""startIndexInSegment"": 0, ""selectedText"": ""We are lynda.com, Inc., located at 6410 Via Real, Carpinteria, CA 93013, USA."", ""value"": ""Introductory/Generic""}}",962,"We are lynda.com, Inc., located at 6410 Via Real, Carpinteria, CA 93013, USA. We are committed to protecting and respecting your privacy. This Privacy Policy describes the types of information we may collect from you or that you may provide to us when you visit the lynda.com websites located at www.lynda.com, m.lynda.com and www.video2brain.com (the Websites) or the lynda.com mobile application (App) (collectively, the Services) , and our practices for collecting, using, maintaining, protecting and disclosing such information. This Privacy Policy applies to information we collect: (i) through our Services, (ii) in text and electronic messages between you and our Services, and (iii) via mobile applications you download from our Websites, which provide dedicated non-browser-based interactions between you and our Services. This Privacy Policy does not apply to any information collected by us offline or via third-party sites that may be accessed through hyperlinks on our Services.  "
9467,116,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Action First-Party"": {""endIndexInSegment"": 284, ""startIndexInSegment"": 247, ""selectedText"": ""when you visit the lynda.com websites"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": 192, ""startIndexInSegment"": 172, ""selectedText"": ""types of information"", ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Does/Does Not"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": 207, ""startIndexInSegment"": 193, ""selectedText"": ""we may collect"", ""value"": ""Unspecified""}}",962,"We are lynda.com, Inc., located at 6410 Via Real, Carpinteria, CA 93013, USA. We are committed to protecting and respecting your privacy. This Privacy Policy describes the types of information we may collect from you or that you may provide to us when you visit the lynda.com websites located at www.lynda.com, m.lynda.com and www.video2brain.com (the Websites) or the lynda.com mobile application (App) (collectively, the Services) , and our practices for collecting, using, maintaining, protecting and disclosing such information. This Privacy Policy applies to information we collect: (i) through our Services, (ii) in text and electronic messages between you and our Services, and (iii) via mobile applications you download from our Websites, which provide dedicated non-browser-based interactions between you and our Services. This Privacy Policy does not apply to any information collected by us offline or via third-party sites that may be accessed through hyperlinks on our Services.  "
