annotation_ID,annotator_ID,segment_ID,category,attr_val,policy_ID,segment_text
4329,95,0,Other,"{""Other Type"": {""endIndexInSegment"": 17, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Statement"", ""value"": ""Introductory/Generic""}}",98,Privacy Statement  
13524,123,0,Other,"{""Other Type"": {""endIndexInSegment"": 17, ""startIndexInSegment"": 0, ""selectedText"": ""Privacy Statement"", ""value"": ""Introductory/Generic""}}",98,Privacy Statement  
4330,95,1,Other,"{""Other Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""Introductory/Generic""}}",98,"Last Updated on May 22, 2015  "
4633,103,1,Other,"{""Other Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""Other""}}",98,"Last Updated on May 22, 2015  "
13509,123,1,Policy Change,"{""Change Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""Unspecified""}, ""User Choice"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""None""}, ""Notification Type"": {""endIndexInSegment"": 28, ""startIndexInSegment"": 0, ""selectedText"": ""Last Updated on May 22, 2015"", ""value"": ""General notice in privacy policy""}}",98,"Last Updated on May 22, 2015  "
4331,95,2,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 612, ""startIndexInSegment"": 513, ""selectedText"": ""If you disagree with any part of this Privacy Policy, please do not use any of our Online Services."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": 378, ""startIndexInSegment"": 206, ""selectedText"": ""The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (\""Online Services\"")."", ""value"": ""Basic service/feature""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",98,"New Orleans Tourism Marketing Corporation (""NOTMC"" or ""We"") has created this privacy policy (""Privacy Policy"") to explain our personal information collection practices and your options regarding such data. The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (""Online Services""). By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services.  "
5351,103,2,Other,"{""Other Type"": {""endIndexInSegment"": 612, ""startIndexInSegment"": 0, ""selectedText"": ""New Orleans Tourism Marketing Corporation (\""NOTMC\"" or \""We\"") has created this privacy policy (\""Privacy Policy\"") to explain our personal information collection practices and your options regarding such data. The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (\""Online Services\""). By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services."", ""value"": ""Introductory/Generic""}}",98,"New Orleans Tourism Marketing Corporation (""NOTMC"" or ""We"") has created this privacy policy (""Privacy Policy"") to explain our personal information collection practices and your options regarding such data. The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (""Online Services""). By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services.  "
5352,103,2,User Choice/Control,"{""Choice Type"": {""endIndexInSegment"": 612, ""startIndexInSegment"": 379, ""selectedText"": ""By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services."", ""value"": ""Dont use service/feature""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""not-selected""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",98,"New Orleans Tourism Marketing Corporation (""NOTMC"" or ""We"") has created this privacy policy (""Privacy Policy"") to explain our personal information collection practices and your options regarding such data. The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (""Online Services""). By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services.  "
13515,123,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 122, ""selectedText"": ""our personal information collection practices"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 310, ""startIndexInSegment"": 241, ""selectedText"": ""access and use of the NOTMC Websites (as defined in our Terms of Use)"", ""value"": ""Collect on website""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 122, ""selectedText"": ""our personal information collection practices"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",98,"New Orleans Tourism Marketing Corporation (""NOTMC"" or ""We"") has created this privacy policy (""Privacy Policy"") to explain our personal information collection practices and your options regarding such data. The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (""Online Services""). By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services.  "
13516,123,2,First Party Collection/Use,"{""Collection Mode"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 122, ""selectedText"": ""our personal information collection practices"", ""value"": ""Unspecified""}, ""Choice Scope"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Action First-Party"": {""endIndexInSegment"": 331, ""startIndexInSegment"": 312, ""selectedText"": ""mobile applications"", ""value"": ""Collect in mobile app""}, ""Personal Information Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Choice Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Identifiability"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Does/Does Not"": {""endIndexInSegment"": 167, ""startIndexInSegment"": 122, ""selectedText"": ""our personal information collection practices"", ""value"": ""Does""}, ""User Type"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}, ""Purpose"": {""endIndexInSegment"": -1, ""startIndexInSegment"": -1, ""value"": ""Unspecified""}}",98,"New Orleans Tourism Marketing Corporation (""NOTMC"" or ""We"") has created this privacy policy (""Privacy Policy"") to explain our personal information collection practices and your options regarding such data. The Privacy Policy applies to your access and use of the NOTMC Websites (as defined in our Terms of Use), mobile applications and other online programs (""Online Services""). By using or downloading any of our Online Services, you are agreeing that you have read and agree to be bound by this Privacy Policy. If you disagree with any part of this Privacy Policy, please do not use any of our Online Services.  "
