Count|Tag|Signature|X1|X2
1|label|div div div div form label|6|0
2|p|header div div div div p|56|22
3|h3|div div div div section h3|17|5
4|button|header nav button|9|1
5|label|div div div div form label|16|1
6|button|div div div div form button|16|1
7|button|div div div div form button|5|1
8|p|nav div div div div p|56|22
9|h3|div div div div section h3|17|5
10|button|header nav div button|8|0
11|h2|nav div div ul li h2|14|5
12|p|ul li ul li div p|63|17
13|p|ul li ul li div p|95|26
14|p|ul li ul li div p|75|18
15|p|ul li ul li div p|79|27
16|p|ul li ul li div p|52|12
17|p|ul li ul li div p|74|22
18|p|ul li ul li div p|56|21
19|p|ul li ul li div p|95|30
20|p|ul li ul li div p|76|22
21|h2|nav div div ul li h2|17|1
22|p|ul li ul li div p|62|23
23|p|ul li ul li div p|50|16
24|p|ul li ul li div p|45|11
25|p|ul li ul li div p|81|20
26|p|ul li ul li div p|82|21
27|p|ul li ul li div p|69|22
28|p|ul li ul li div p|61|23
29|p|ul li ul li div p|66|24
30|p|ul li ul li div p|57|11
31|p|ul li ul li div p|59|18
32|p|ul li ul li div p|72|17
33|p|ul li ul li div p|74|14
34|p|ul li ul li div p|80|20
35|p|ul li ul li div p|63|14
36|p|ul li ul li div p|65|18
37|p|ul li ul li div p|91|27
38|p|ul li ul li div p|63|12
39|p|ul li ul li div p|84|17
40|h2|nav div div ul li h2|24|10
41|button|div ul li ul li button|20|10
42|p|ul li ul li div p|99|23
43|p|ul li ul li div p|90|21
44|p|ul li ul li div p|93|22
45|p|ul li ul li div p|90|31
46|p|ul li ul li div p|109|23
47|em|div div ul li p em|15|1
48|p|nav div div ul li p|78|21
49|button|header nav div button|9|0
50|h2|nav div div ul li h2|5|0
51|p|ul li ul li div p|88|23
52|p|ul li ul li div p|68|22
53|p|ul li ul li div p|67|19
54|p|ul li ul li div p|35|10
55|p|ul li ul li div p|78|20
56|p|ul li ul li div p|48|13
57|em|ul li article p a em|59|30
58|p|ul li ul li article p|128|31
59|em|ul li article p a em|69|30
60|p|ul li ul li article p|138|36
61|h2|nav div div ul li h2|9|0
62|button|div ul li ul li button|26|11
63|p|li ul li ul li p|117|29
64|p|ul li ul li div p|98|28
65|p|ul li ul li div p|81|29
66|p|ul li ul li div p|85|23
67|button|div ul li ul li button|14|2
68|p|li ul li ul li p|136|44
69|p|ul li ul li div p|76|19
70|p|ul li ul li div p|89|22
71|p|ul li ul li div p|51|16
72|p|ul li ul li div p|97|26
73|em|div div ul li p em|16|3
74|p|nav div div ul li p|66|22
75|button|header nav div button|11|1
76|p|li ul li ul li p|76|16
77|h3|li ul li ul li h3|8|1
78|em|ul li article p a em|18|8
79|p|ul li ul li article p|93|21
80|em|ul li article p a em|17|5
81|p|ul li ul li article p|79|26
82|p|li ul li ul li p|76|16
83|h3|li ul li ul li h3|15|1
84|em|ul li article p a em|13|2
85|p|ul li ul li article p|49|15
86|em|ul li article p a em|17|3
87|p|ul li ul li article p|95|28
88|p|li ul li ul li p|76|16
89|h3|li ul li ul li h3|5|0
90|em|ul li article p a em|16|6
91|p|ul li ul li article p|90|29
92|em|ul li article p a em|11|2
93|p|ul li ul li article p|76|27
94|p|li ul li ul li p|73|24
95|h3|li ul li ul li h3|8|0
96|em|ul li article p a em|68|23
97|p|ul li ul li article p|171|50
98|em|ul li article p a em|51|19
99|p|ul li ul li article p|230|73
100|p|li ul li ul li p|87|19
101|h3|li ul li ul li h3|9|1
102|em|ul li article p a em|51|12
103|p|ul li ul li article p|126|42
104|em|ul li article p a em|45|16
105|p|ul li ul li article p|133|47
106|p|li ul li ul li p|86|30
107|h3|li ul li ul li h3|4|0
108|em|ul li article p a em|37|9
109|p|ul li ul li article p|51|13
110|em|ul li article p a em|60|15
111|p|ul li ul li article p|229|75
112|em|nav div div div p em|15|1
113|p|header nav div div div p|78|21
114|span|header nav ul li a span|6|0
115|div|header nav ul li button div|6|4
116|button|header nav ul li div button|5|0
117|h1|main section div div div h1|5|0
118|h2|main section div div div h2|14|3
119|span|section div div aside header span|16|5
120|em|section div div section p em|23|6
121|p|main section div div section p|178|53
122|p|main section div div section p|355|111
123|p|main section div div section p|164|55
124|p|main section div div section p|131|34
